親字	同	简化字	类推简化字	讹字	通
㞁	𡯣𡯧𡰃				
㞂	𡯵				
㞃	𡯤				
㞄					
㞅					
㞆					
㞇	𡯹				
㞈					
㞉					
㞊	𡰇𥚋				
㞋					
㞎					
㞏	𡰹				
㞒	屓屭𠫍𡳻		屃		
㞓					
㞔	㢁				
㞖	𡳠				
㞗					
㞚					
㞛	𡲏				
㞜	𡲾󰜐				
㞞			𪨊		
㞟					
㞤					
㞥					
㞦					
㞨					
㞪					
㞬					
㞭					
㞰					
㞱					
㞲					
㞳					
㞴					
㞷	𡴍				
㞻					
㞽					
㟀					
㟂					
㟃					
㟄					
㟅	崸𡼔				
㟇					
㟈					
㟉					
㟊					
㟋					
㟌					
㟍					
㟎	𡽃				
㟏	㟔				
㟐					
㟑					
㟒					
㟖					
㟘					
㟙	𡽞				
㟛					
㟢					
㟤					
㟨					
㟪	嵔				
㟬					
㟮					
㟰					
㟱					
㟳	𦞰				
㟶	㟲				
㟷					
㟹	𡼅				
㟽	㠒				
㟾					
㟿					
㠂	󰚤				
㠄					
㠆	𡼯				
㠇					
㠈					
㠉					
㠊					
㠌					
㠍					
㠎					
㠏					
㠑	𡽕				
㠓					
㠔					
㠖					
㠙					
㠚	𡽵		𫵹		
㠛					
㠟					
㠠			𰎐		
㠡					
㠢	𡾝				
㠣			𫵷		
㠥					
㠦					
㠧	𡻥𡿐				
㠮					
㠱	踑𠶵𢁂			𠴩	
㠲	𢁦				
㠴	𢁯𢂻				
㠵	𢂙𢂪				
㠷					
㠹	𢂵				
㠺					
㠼					
㠽					
㠾					
㠿					
㡀					
㡁	袔				
㡂	𢂥				
㡃	㡆㡛𢁣𢂩𢂾󰚫󰚮				
㡄	䘩				
㡅	𠕰𢄴𣆚𠕝				
㡇	襵𧚊			𢃣	
㡈					
㡉					
㡋					
㡏	䩱				
㡑					
㡒					
㡓	裩褌𢃚		裈𫷅		
㡔					
㡗					
㡘	𢅏				
㡙					
㡚					
㡜					
㡝					
㡞			𰏜		
㡥	𧞎󰔋				
㡦					
㡨					
㡩	帟				
㡫					
㡮	𢇒𢇓				
㡲					
㡳					
㡴					
㡵					
㡶					
㡷					
㡸					
㡹					
㡺					
㡼					
㡽					
㡾					
㢀				𢈠	
㢂					
㢃					
㢄					
㢅					
㢈	㢂𢈹			㢑	
㢉					
㢊					
㢋	㢁				
㢍					
㢎					
㢏					
㢒					
㢔					
㢖					
㢗			𪪑		
㢚				𢊔	
㢛					
㢝	𠫋				
㢞					
㢟	𨖀				
㢥					
㢨	𢏥				
㢩					
㢬					
㢯					
㢰					
㢵					
㢸					
㢻	𢏴				
㢾					
㣀					
㣁	𢐖				
㣂					
㣄					
㣅	𢏵𢐛𢑊𣩳				
㣆				𢑃	
㣇	𠭽𡱃𢑞𧱈󰜃				
㣈	𠭾𠮇𨽼				
㣌					
㣎	𢒮󰛂󰛁			𤽖	
㣑					
㣒					
㣓					
㣔					
㣙					
㣚					
㣛					
㣜					
㣝					
㣞					
㣟					
㣠					
㣢					
㣣					
㣦					
㣪					
㣬	𢕃				
㣭	𨔩				
㣯					
㣰					
㣱					
㣶					
㣷					
㣻					
㣾					
㣿	𢗇				
㤃					
㤄	𢘀𢘨				
㤅					
㤆					
㤇					
㤈					
㤉	𢗬				
㤋					
㤌					
㤍					
㤎					
㤏	𧖂				
㤐					
㤒	𢡋			𢙋	
㤓					
㤔					
㤕					
㤖					
㤚					
㤝					
㤞	𢖲𰑛				
㤠	㤡				
㤡	𢤆				
㤢					
㤥					
㤦					
㤧					
㤨					
㤮	𢞪				
㤯					
㤱					
㤲	悏				
㤳					
㤴				𢛏	
㤶					
㤷					
㤸					
㤻	𢘵			𢘴	
㤾					
㤿	𢜰				
㥀					
㥂					
㥄					
㥅					
㥆	怢𢘶𢠮𢠻				
㥇					
㥈					
㥊					
㥋					
㥌					
㥏	睓			𦖌	
㥒					
㥓					
㥔					
㥖					
㥚	㤤				
㥛	𢞊				
㥜					
㥝					
㥞	𢢝𢤪				
㥟	𢠟				
㥡					
㥢	𢢕				
㥥					
㥨					
㥩					
㥬					
㥮		㤘			
㥯					
㥰					
㥳					
㥴					
㥼					
㥽	𢢻				
㥾					
㦀					
㦁	慩𢣜				
㦃					
㦄					
㦅					
㦆					
