親字	同	简化字	类推简化字	讹字	通
折	㪿𣂚𣂟𣂫𣂲				
抛	抱摽𢱹𢿏𥒙𱟶󰠹󰠷				
抦	㨀				
抧					
抨	拼				平
抪					
披					
抭					
抮					
抯	摣				
抰					
抱	󰡆				
抲					
抳	󰡈				
抴					
抵	拞掋𠥯𠨿𢪔𰓅				
抶	𤙈				
抷					
抸					
抹	瀎				
抺					
抻					
押					
抽	㨨㩅𢭆𢳏				
抾	𢬱				
抿	呡				
拁					
拂	𢿀𣀪𣭘𨋥				費佛
拃					
拄					
担					
拆	󰡅				
拇	胟				
拈					
拉	㩉啦搚摺𢰖𣂲				
拊	䵾捬				
拌					
拍	𢫦				
拎	㩕𢺰				
拏	𢮝				
拐					
拑	㪁				柑
拒					
拓	摕𢫳𢷌𢸨󵅅				
拔	㧞叐抜杮𢪺				
拖	扡拕𰓩				
拗	㑃抝𢰃𢱇𢲷𰔏				
拘	佝抅𢳉				
拙	𢼍				
拚	𢪴𢬵𢱰𢶳𢹔				
招					
拜	拝𡴬𢫶𢮠𢰛𢱭𢴽𢷎𢹄𣬊𣬓𨀪𨀲󰱟				
拤					
拫	掀艮				
括	𢬸				
拭	𢂑				
拮	𢮌				
拯	撜𢫒𢮋			㐼	
拰					
拱	𰓘				
拲	㭟				
拳	㩲搼𡙅𢮙				
拴					
拵					
拶	㭮䆘桚𢹵𥔨				
拷					
拸					
拹	㩉搚				
拺					
拼					
拽	𡲝󰠿			捙	
拾					
拿	㧱				
挀					
持	𠱾				
挂	掛			𨩥	
挃	𢰗𥡫				
挄					
挅	挆				
指	脂𢫾󰲩󰡃				
挈	絜𢭋𢲞				
按					
挋					
挌	𢼛𢾏				
挍					
挎					
挏					
挐					
挑	𢬹󰡄				條
挒	𢴴				
挓					
挖	穵				
挣	𧶄		𬥷		
挨	捱				
挪				𢰓	
挫	𢲖				
挬	𢰏󵏨				
挭	𢯬				
挮	䶏				
振	𢈫𤚾𤚿				
挰					
挲	抄挱𠞰𠟘𠟯𠟿𣴷𭢃𰒱			𢬰	樔
挴	𢯈𭡡				
挶	拘󰠾				
挸	𢹕𢺃𰔻󵅟				
挹					
挺					
挻					
挼					
挽	鋔				
挾	𨋸	挟			接
捀	摓𢪋				
捁					
捂	摀𢫸		𰓆		
捃	攈攟𢹲𰔼󰢍󰢇			𥜢𥜮	
捄					
捅	㪌𢳟󰞬				
捆				祵𢮖	
捇	𢷓				
捈					
捉	󰡀				
捊	㩠抙抱				
捋					
捌					
捍	㪋仠攼			𣑬	
捎					
捏	揑𭡦				
捐	捐				
捑					
捒					
捓					
捔	矠𢳇𤞴𧣀				
捕					
捖					
捗					
捘	捽				
捚					
捝	𢬁				税
换					
捥					
捦	扲󰡓				
捧	摓𢪋				
捨		舍			
捩					
捫	㨺	扪			
捬					
捭	𢬽𢮆				
据					
捯					
捰	挼				
捱	挨				
捲		卷			
捳					
捵					
捶	㪜𢴹󰞲󰡗				
捷	㨗㨩𢱅𢳿𢶝			𢵂	
捸					
捹					
捺					
捻	敜				
捼	挼撋				
捽	𢪄𢫆𢬪				
捾					
掀	搟				
掁			𰓄		
掂	玷				
掃	埽𢱥	扫			騷
掄		抡			
掅					
掆	抗𢭈𢱫𣗵󰡇	㧏			
掇					
授	䛵𥠢𥡑𥡾𥢓𥣍󰦕				
掉	挑𢴿				
掊	抱				
掋					
掌	𤓯𤕄				
掍	𣬑				
掎					
掏	𰓴			𣖑	
掐	搯󰡘󰡋				
掑	𢮜				
排					
掔	孯𡦋󰠳				
掕	𠡭𪋾				
掖					
掗		挜			
掘	堀𢴺𢶵𭠜𰓓			𣔭	
掚					
掜					
掝	𭠵				
掞	㨛𢴵				
掟					
掠	㨼剠𢱊𰔡㔀			稤	
採					
探	𢲘󰡜				
掣	摰𢮓𢳅𢳐𪘔				
掤	𢵁𰔘			𢲰	
接	擑				
掦					
控					
推					
掩	𥦩𨢴掩󰡡				
措	𢵄				
掫	󰡎				
掬	揈𡙳𢱬𥵱𥸭𥸶				
掭					
掮	𠊘				
掯					
掰					
掱					
掾					
掿					
揀		拣			
揁					
揂					
揃	㨵𢵏𢶕𢸄				
揄	𢶖𤻍				
揆	楑𢲕				
揇					
揈					
揉					
揊	扑𠚬𢾇			𠧓	
揋					
揌					
揍					
揎	𢱱				
描	邈				
提					
插	挿捷𢭉𢰔󰡂				
揓	𢴨				
揔	捴𢵃𢷝			惣	
揕	󰡠				
揖	𢯇𢱼				
揗					
揘					
揙					
揚	敭𠭲𣈟𨱝	扬			
揜					
揝					
揞	󰡚				
揟	𢪵				
揠	椻				
握	䌂𦥆				
揢					
揣	㪜摀𢭍𢰚𢵦󰞲󰡤󰡥		𰓆		
揤					
揥					
揦					
揧	𥻌				
揨	𢿦			𣪼	
揩	𢾆𭤀󰖆				
揪					
揫	𢱀𩏷				
揬					
揭	担掲𢶆𢷒󰢁				
揮	㩣𢯷𢰄𢱳𨍂	挥	𫾉		
揯	𢫮𢳖				
揰					
揱	𣕇				
揲	抴𢮕𢶅				
揳	𢰟				
援	𠋠				
揵					
揶					
揸					
揻					
揾	𤛁				
搆	𢰎				
搇					
搈					
搉					
搊	𢬞𢬟𢮢𫼝				
搋	扡拖𢯯𢹓𰔁󰡧				
搌					
損	扻𢿃	损			
搎	𢶛󰡝		𰓧		
搏					
搐					
搑					
搒	㧍挷𢮔				
搓	𢷼󰲮				
搔	㮻𢫼𢮞𢸪𤔢󰡪			𢫺	
搕					
搗	㨶𢷬𦦰𦦺𦦾	捣			
搙					
搚					
搛					
搜	捜𠮍𢅢𢯱𢴼󰡩󰜀󰡐			𢱻	
搝					
搞					
搠					
搡					
搢	𢸰				
搣	󰡙			𢳒	𡟬
搤					
搥	槌𢮒			𢱸	
搦	搻𢾲𢾼𰕛				
搧					
搨	𢴄󰡽				
搩	𢫰				
搪					
搫	㨇㩯				
搬	搫𢲎				
搭	撘				
搮					
搯					
搰					
搱					
搲	攨				
搳	捾󰡛				
搴	𢶊𢷘				
搶	摤𢷇	抢			
搷					
搸	𢸩				
搽					
搿					
摁					
摇	㨱𢭊𢭌𢳘󰡹			摿	
摋					
摌					
摍	𢳔𢴀𤛝󰝫				
摎	㧃𭢢				
摏					
摐	㧿𢰑󰡨󰡏󰡦		𪭢		
摑	𢐚𢧷𢮎𢼛𦄰𧤯𰓳𱝞	掴			
摒	拼				
摓					
摔	𨄮				
摕	梊𢰂󰲫		𰔇		
摖					
摗					
摘	啇擿𠞶𢴨𢸈				
摙			𫽁		
摚	𢻒𰕒				
摛	攡				
摜		掼			
摝	𢮑				
摞					
摟		搂			
摡	𢪑𢷽				
摢					
摣	𢸉𪙾				
摥					
摦	𢶎𥧰				
摧					
摨					
摩	擵攠𢳀𥗂𥗘𪎚				
摪					
摫	𢵅󰡬		𰓻	𢶄	
摬					
摭	摕				
摮	𢳆𢶗				
摯	𢴷	挚			
摰	𢳊𢴸𤕛				
摱	𢶔󰡸󰡯				
摲	㨻		𰓼		
摳	刳挎	抠			
摴	摢󰡭				
摵	𡠽				
摶	㩛塼𢮛𢰁𢰋󰞸	抟		𥛥	
摷	𦾱摷𦾱				
摸	摹			𥡸	
摹	摸撫𢸆𢻲				
摺		折			
摻	𢮥󰡴	掺			
摼	挳		𰓱		
摽	𢶏𢸂𢹰𢿏𰔯				
撂					
撅					
撇	撆蔽			𣘮𣟷	
撈		捞			
撉					
撊	𢵧		𪭾		
撋			𰓷		
撌			𰔋		
撍					
撎					
撏	探𢸧𢸱𧅩	挦			
撑	撐樘𢴤				
撒	𢴻				
撓	㧌摎𢪼	挠			鐃
撔					
撕					
撖					
撗	擴横				
撙					
撚	捵𢲳				
撛	𭣉				
撝			㧑		
撞	𢭩𨀵				
撟	𢱪	挢			
撠					
撢	𢶁				
撣		掸			
撤	𣴾				池
撥	𢯸	拨			
撧			𪮖		
撨					
撩					
撪					
撫	抚𢸮𢻬𢻲𨑟				
撬					
播	𠤻𢿥𨤏𬅱󰮆				
撮	最𢲻𣤜𤑧󰡳󰝓				
撰	𢰅				
撱					
撲	擈𢪗𢷏	扑			
撳	𢵡	揿			
撴					
撻	韃𢹗𢺂𢺉𢽞𢾴𨘈𩋅𩌉𩌘𪯎󰢉	挞			
撼					
撾		挝			
撿	󰡰	捡			
擀	扞				
擁	㨣𢶜𢹬𢹭𢺠	拥			
擂	攂𢺢				
擃	搑				
擄		掳			
擅	𢫔󰢃				
擆	撯𢷷				
擇	択𢍰󰡾󰡣	择			
擉	拺𧣫				
擊	撽	击			隔
擋		挡			
擌					
操	撡𢿾𣀉󰢄				
擎	㢣𢍸				
擏					
擐	𢸃				
擒	扲𬯭				
擓	㨤𢶘	㧟			
擔	担檐𥣲𧭃󰧾				
擖					
擗					
擘	孹擗𢹐				
擙					
據	㨿拠𢴃𢷛	据			
擛	聶				
擟					
擠	㨈𡬚	挤			
擡	抬				
擢					
擣	㨶捯𢶈𦦰𦦺				
擤	㨘				
擦					
擨					
擩	㧫㨎𫼰𭢛				
擪	㩎擫𢵤		𢬍𰓙		
擬	懝譺𣝆	拟			
擭					
擯	𢷤	摈			
擰		拧			
擱		搁			
擲		掷			
擳					
擴	㨯拡挄	扩			
擶					
擷	𨘓𪆋	撷		㩪	
擸	𢴫󰡻				
擹	𢺋				
擺	𢸇󵅓	摆			
擻	󰢂	擞			
擼			撸		
擽	攊		㧰		
擾	𢹎	扰			
擿					
攀	㐴乑𠔀𠬜𡴂𢲔𢸅				
攁					
攃					
攄	捈	摅			
攆		撵			
攇	搟				
攈	攟𢥄				
攉	搉				
攋	揦櫴		𪮶𰘳	𡓒	
攌					
攍	㨕				
攎					
攏		拢			
攐					
攑	㩮				
攓					
攔		拦			
攕	㩥揱󰢈				
攖		撄			
攗	𣟸				
攘	𢭗𢺖𣀮󰢎󰢀				
攙		搀			
攛	𢺱𰔞	撺			
攜	㩗㩦携擕				
攝	挕	摄			
攞	攎		𫽋		
攠	𢳀				
攢	攅𣪁	攒			
攣	䏈𠣈𦘈聮	挛			
攤	𢺋	摊			
攥	揝𢸆				
攦			𰓬		
攧			𭣇		
攩	擴𫽮				
攪	㩭捁撹𰔤	搅			
攫	㸕爴𤔗𤔩𦄰𰠃󵆊󰗴󰢊󰢏			𣡀	
攬	㩜擥𢱯󰲭󰡷󰢌	揽			
攭					
攮					
支	搘𠦙𡽒𢺶𣏃				
攱	庋				
攲	㿲欹𤿯𥀴				
攳			𰕁		
攴	䇚攵𢪊				剥
收	㧃収敊𠬧𤱜				
攷	𣧏				
攸	㳊泅𠈹𣲏			𢻺	
改	󰣵				
攺	𢻰				
攻					
攼					
攽					
放	匚方紡				
政					
敀					
敁	玷				
敂	𢼃𢼒				
敃	𢽹𢾞󰞟				
敄					
故					
敇	赦				
效	効爻󰞤				殽
敉	侎𢘺				
敊					
敌					
敍	叙敘			𣁏	
敏	勄𢼖󰞭				
敐					
救	㤹捄𣪋𧘶𧧷𥘦				
敒					
敔	梧𢾵󰞦			𢻊	
敕	㩽勅勑𠡅𭣴𰅍𱡘󵀅			𢽟	
敖	𢾍𣷫				
敗	贁败𣀕𤖐				
教	敎𠭂𡥉𢺽𢻍𢼂𢼅𤕝𧧿󰞜				
敚	𢼠𭣳				
敜					
敝					
敞	僘				
敠					
敡	𫾻				
敢	𠭖𢼿𢽤𢽿𣪏𰕊󰘱			𣆸	
散	㪔㪚𢻞𢻦𢻾𢿨𢿱𢿷𢿺𣀙𣮠󰝑			𢻎	
敤	㪙				
敥					
敦	㪟𠧈𢼪𣀦𤮩𦎧󰟃󰞧󰞩󰟂				
敧	槣𣀬𨜅󰭰				
敨					
敫					
敬	憼𢾠𢿩𰕔			𣀖	
敱	敳𮲔󰞡			𣪱	
敲	㪣䯨搞𢻤𣫁𩫈𫾣				
整	愸𠢦𠢫𢝗𣦔󰞻			𢿋	
敵	𠢗𢿪𰒰𰚇	敌			適
敷	尃旉𢾭󰱠				溥傅
數	𡢏𢿘𣀭	数			
敹					
敺	𢿛󰣸		𰕅		
敼					
敽	敿𣪽		𰕈		
斀	劅𣀈			𢻧	
斁	歝𰠈		𭣧	𤢕	射
斂	歛󰞼	敛			
斃		毙			
斄	䋱𠩬𣮉𰆙𰚙𱹴		𭤎		
斅	斆				
文					
斐	奜				
斑	賁𤨘				
斒	𣁊			𢼶	
斕	𢿻𣁣	斓			
斗	㪷𠦁𣁬𣂑𤣫𧯞󰕕				
斘					
料	䉼𥸾𰪮				
斛	𧣱𧣼𧤰𩵬				
斜					
斝	䑝斚𠬂				
斟	㪸酙𡉜𣁱𨠇𭅧𰅽				
斠	𣁹				
斡	𨋼𨌝𲄵󰬓			𠦷	
斢	𪏡				
斣	𣂌				
斤	䤺				
斥	㡿𠨺𠩋𡱞𢇛𤵍				
斦					
斧	鈇𢯋𨨞			𤕑	
斨					
斪	𣃖				
斫	剢𥖛				
斬		斩			
斮	𢧉𢨈𣃀				
斯	麗𣂕𣂖󰲵				
新	𢀝𣂺𤗔𤗟𨐏				
斱					
斲	𠠇㓸剢斵𣂡𣂪𣃂𣃃𣃆𣃋𣃏𦘣𨮕𨯴𰕢󵆄󰢻				
斳					
斶					
斷	㫁断𠜷𠝅𠡱𠸿𣂢𣂣𣂱𣂸𣂾𣃔𣦕𰕠𰕤𱡪				
斸	劚𣃁𰕟		㔉		
方	𤙗				祊放
斺					
斻	𣃚				
於	扵𣱏𤋬				
施	𠆹𠇜𠤒𢒃𢻩𢼉𢼊𢼘𦭇				
斿	㫍游𣽩𨒣𨓎				
旁	㝑㫄雱𣃙𣃟𣃪				
旂					
旃	㫋旜襢𣃯𣃼𭥆󰤄				
旄	𢗳𣭅𫷀				
旅	捛魯𢬜𢰈𣃨𣄆𣥏𣥐𤣧𣥓󵇙			挔	臚
旆	斾𣃩󰤅				
旇					
旊					
旋	𡟐𢭀𩙢				
旌	旍𣃢𣄀𦑊𦑖𦲵𧚫󰤃󰠝				
旎					
族	㞺𥎩𥎼𥎽𥏁				
旐	𣃿󵇚				
旒	㐬旈𣽩𦀠				
旓					
旔					
旖	旑				
旗	㫅				
旚	𣄔𣄦𣄪				
旛					
旝			𰕭		
旞	𣄚𣄧				
旟			𭤰	𣄊	
旡	㒫𠑶𠘸			𠑸	
既	旣𰕰				
日	囸𡆠𡆸𡇁𡇗𡈎				
旦					
旧	𡆥				
旨	㫖𠩊𠮛𡱔𣅀𣅌𤮻				
早	𣅼𰆀				
旫					
旬	𠣙𠣚𠣡				
旭	旮				
旮					
旯					
旰	𣈨				
旱					
旲					
旴	晇𣅙𤕐				
旵					
旺	暀𣈧				
旻					
旼					
旽					
旿	㬳𦙗				
昀					
昂					
昃	昗𣅔𣅛𣅦𣅳󰖗			𥠎	稷
昄					
昆	㒭晜罤𣋥𥊽𧲟				
昇	曻陹				
昈				𥄅	
昉	昞				
昊	昦𠕫󰟐				
昋					
昌	旵𣅊𣆫				
昍					
明	朙				
昏	昬𣄼𣄾𣆾𣇲𣉈𣋯𦟲𰖘𰘕󰩅󰟖󰟛				
昐					
昑	󰟉				
昒	𣇤				
易	𡱿				
昔	㫺𦠡󰣑			𣊦	
昕					
昘					
昙					
昛					
昝					
星	〇㽮曐皨𠻖𤯢𤽛𤾪󰦞				
映	暎				
昡					
昢	艴𣅽				
昣	𣆋󰟍				
昤	㬡󰟮				
春	㫩旾萅𣆊𣈤𣊨𦸬				
昧	𣆜				
昨					
昩				𠰌	
昪	𣅹				
昫	胊				
昭	佋巶炤𫞃				
昮					
是	昰𣆞𣊒				
昱	𪰣				
昲	曊		𪰶		
昳					
昴	𣇅𣇯				
昵	𣆓𣽚				
昶	㫤				
昷	𥁕				
昹					
晀					
晁	𣆷				
時	㫑时旹𣅱󰛟			峕𡺞	
晃	㨪兤晄熿𤒼𨉁				
晅	𣉖				
晆					
晇					
晊					
晋	㬐㬜晉𡥨𡦌𣈆𣋤𣋧𦗎			𣌇	
晌					
晎					
晏	𨶁󰦲				
晐					
晑					
晗					
晘					
晙	𣇚				
晚	𣆛𣆶				
晛			𬀪		
晝	𦘘𦘙	昼			
晞	𥅹				
晟					
晠					
晡	䀯𣆫				
晢	㫼晣				
晤	䎸旿𣅎				
晦					
晨	㫳𠔹				
晪					
晫					
晬	𣅢𪰓				
普	暜󰟜				
景	𠎠𠑱𦚎				
晰	𣇮				
晱					
晲	𣅸				
晳	𣇮				
晴	暒甠𩄆				
晵					
晶	晟𣇵𦜳				
晷					
晸					
晹					
智	𢜔𣉻𤾞𥏼𥏾𰖨				
晻					
晼					
晽					
晾					
晿					
暀	𣇭				
暄	𣇥				
暆					
暇	睱				
暈	煇	晕			
暉			晖		
暊					
暋	敃敯𢽹				
暌					
暍	㬞㷎				
暏					
暐			𬀩		
暑					
暔					
暕					
暖	㬉𣆝𣊵𤆱󵄶				
暗	晻隌𣆛𣈇				
暘		旸			
暙					
暚					
暛					
暟					
暠	𣉞				
暡					
暢		畅		󰬡	
暤	暭󰟨				
暥					
暨	𠕨𡍳𡮧				
暩					
暪					
暫	𣊙	暂			
暮					
暯					
暰					
暱					
暲	󰟟				
暳	㬩󰟠󰟘				
暴	㫧㬥曓𣉱𣊴𣊻𣋏𣋳𣋴			𣋦	
暵					
暶					
暷					
暸					
暹					
暻					
暼					
暽					
暾	旽𣌘				
暿					
曀	㙠𣌐				
曂					
曃	𪒡			𥊵	
曄	曅曗𣊚𣋌󰟡	晔			
曆		历			
曇		昙			
曈	晍				
曉	暁皢𣉊𧡼󰲞	晓			
曋				𣊢	
曎					
曏			𬁠		
曑	𣊖				
曒	暞				
曔					
曕	󰟣				
曖		暧			
曘					
曙	𨽉				
曚					
曛					
曜	𣇪𤒂𪏌				
曝	𣌑󰟬				
曞					
曟					
曠	昿爌𣊥𣋷𣼥	旷			
曣	㬫𣋅				
曤	󰲢				
曥	󰩵				
曦	㬢				
曧					
曨		昽			
曩					
曪					
曫					
曬	㬠晒𤑣				
曭			𭧋		
曮	󰟭		𰖈		
曰	𡆦				
曱					
曲	䒼𠚖𨴈				
曳				曵	
更	㪅𠭍󰘯󰘭				
曶	𠯳𡆳𡆷𡇆				
曷					
書	𦘠	书			
曹	曺𣈅𣊛𣌼𣍘󰟦				
曼	㗈㬅𭦗𭦟󰟒				
曾	𭦌				
替	㬱𤽽𤾕				
最	㝡𣤜𥦡󰟚󰟙				
朁					
會	㑹㞧㣛𠃐𠍗𡥋𣌭𣥈󰗮󰗔󰗥	会			
朄	𢃿𣍃			𨌿	
朅	𩿹				
朆	㬟				
朇					
月	⺼囝𠥱𠩉𡇹				
有	𢇔𪠥				
朋					
朌					
服	𣍞𦨕𦩟𨈞				
朎					
朏	𣍧𣍺				
朒	肭				
朓	𰮥				
脁
朔	𣍮𦙚𦚿󰣍				
朕	𣍹𦨶𦩎𦩗			𢀹	
朗	㓪朖朤脼𡦀𣊧				
朚	𦟁󰣖󰟔				
望	朢琞𢾘𣍢𥩿𦣠󰜣				
朝	晁𣎍𦩻󰨯				鼂
期	朞𠔸𣅆𣇳𣍠𣍡𣍣𣔔𥟝𰢪				
朠					
朣					
朦					
朧	󰣥	胧			
木					
未					
末					
本	㮺夲楍𡴩𣖎			𡗢𡗧𡴡	
札	剳劄𤵦				
术	朮				
朱					
朲					
朳	㭭𦓧				
朴	𣞞				
朵	䒳朶杂𣎾𣎿𣏻󰝆󰜓				
朷				㧅	
朸					
朹				𣏒	
机	𥘌				
朻	𣎹				
朽	㱙𣎸𣦿𣧬				
朾	㨃檙𢾊𢿦			𢻓𣪢	
朿	𣐁				
杄					
杅	桙				
杆	檊				
杇	釫鋘𢫸𣑀𨦚		𬬨𬭌		
杈					
杉	檆櫼				
杋	楓				
杌	柮				
李	䤚𣒶				
杏					
材	扐				
村	𡵭				
杒	梕				
杓				𣏐	
杔					
杕					
杖					
杗					
杘	柅𣐉𣒺			𨯡	
杙	樴				
杚	𣏙				
杛					
杜	𡍨𥀁				
杝					
杞	㠱梩𠶵				
束	捒𤙨				
杠	槓				
杣					
杧					
杪					
杫	㮐𣘩				
杬					
杭	󰝄				
杮	𣏕				
杯	㮎柸棓盃𠤯𠥀𠥧𦈧				
杰	𣎶				
東		东			
杲					
杳					
杴	㸝檶𣞘				
杵					
杶	櫄𣝙𣠍				
杷					
杸					
杹					
杺					
杻	扭𣐬𤘶				
杼	䇡𣏗				
杽	扭杻鈕𣐬𨥋				
松	㮤庺枀枩柗梥𰗷󰝔				
板					
极	㭲				
枂					
枃					
枅	𣓖				
枇	朼枈				
枈					
枉	抂𣒈󰞠				
枊					
枋					
枌					
枍	󰝅				
枎					
析	㭊扸𣂔				
枑	𣏛𰟼			𣏳	
枒					
枓	斗𣙞𧯞			𣏸	
枔					
枕	𣏝				
枖	𣓎				
林					
枘					
枙					
枚	𣏽				
枛					
果	菓𣐭𤬁				
枝					
枟					
枮					
枯	𤖲				
枰	檘				
枱	耛𣙼𤹇𨐠				
枲	䢄𦂅				
枳					
枵					
架	榢𢱌				枷
枷					
枸	𣕌𣙱				
枹	𣑿				
枺					
枻	栧				
枼	枽𭩠				
枾	柹𣐈				
柀					
柁	杕				
柂					
柃					
柄	棅秉𥟱				枋
柅	鑈				
柆					
柈	鉡				
柉					
柊					
柋					
柌	枱鈶𣙼				
柍	楧				
柎	枎𣏘𣘧				
柏	栢				
某	厶𣏁				
柑					
柒					
染				𣑱	
柔	𣐱				
柖					
柘	䂞樜𥦼󰦸				
柙	㘡𣘭󰕠				
柚	櫾𣠡				
柛					
柜					
柝	𣔳𣝔𣟄𤗙			𣐼	
柞					
柟					
柠					
柢	楴				
柣					
柤					
查	査				
柦					
柧					
柨					
柩	匛匶柾𠥂𠥬𣡛𰒿				
柪					
柫	柭				
柬					
柭					
柮					
柯	𣝺				
柰	㮏				
柱					
柲					
柳	栁桺橮𣓠𫞉				
柴					
柶					
柷	拀				
柸					
柹					
柺	𣐶𣑍				
柼					
柿	柹𣐈				
栅	册柵𣑭𥬰𥮫𨴕𰃩󰕋				
栐					
栒					
栓					
栗	𡨓𣗴𣡷𣡼𬃄				
栘					
栙					
栚	㮳㯢𣒁				
栛					
栜					
栝	𣐸				
栟					
栠					
校	挍較𤲽				
栣					
栤					
栥					
栦					
栨					
栩					
株					
栫					
栬					
栭					
栮					
栯	㮋				
栰					
栱					
栲	𣐊𣑥𣛖				
栳	硓				
栴	𣑪𣒰				
栵	𣔜𣖊				
栶					
样					
核	𣝗				
根	𣏄𣒨				
栺	󰝉󰝇				
栻					
格	䈷				假
栽	㘽𣒭𣔮𣖋𥯒				
栿					
桀	㘶榤𡏝󰝌				
桁					
桂	𥙞				
桃	𣑯𱣛				
桄					横
桅					
框					
桇					
案	桉𥞬				
桉					
桊	棬𣗷				
桋					
桌	槕				
桍					
桎					
桏					
桐	𨚯				
桑	桒槡𠭌𠭨𣕐𰇃				
桓	𣒯𨕹				
桔					
桕					
桖					
桗					
桙	㭌				
桫	𣘡				
桬					
桭	栕				
桮	𠤯𠥀𦈧				
桯					
桰					
桱			𣐕		
桲					
桳					
桴	坿				
桵	㮃				
桶					
桷	構				
桸	獻				
桹					
桻					
桽					
桾					
桿					
梀					
梁	樑鿄𣸑𣹷𨎛				
梂					
梃					
梄					
梅	坆栂楳槑𣏁𣒫𤯏				
梆					
梇					
梈					
梉					
梊					
梋	鋗				
梌					
梍	󰝍				
梎					
梏					
梐	㯇				
梑					
梒					
梓	杍榟				
梔	栀				
梖			𪱷		
梗	㾘𣖀				
梘		枧			
梚					
梛					
梜	𬂩				
條	樤𣒼	条			
梞	𢪕󰔘			𢭄	
梟	䲷鴵鷍𩾒𩾓𩾣𩿋	枭			
梠					
梡	㯘棵				
梢	䔠萷				綃
梣	橬𣘕𣠟				
梤					
梧					
梫	𣖽				
梬					
梭	𣜤𥭟				
梮					
梯					
械					
梱					
梳	㧧𣐌𣓜𣙳󰝞				
梴					
梵					
梶					
梷					
梹					
梽					
棁	󰝈				
棃	梨梸				
棄	弃甭𠆉𠔚𠬇𢍞𨓋󰝤				
棆			𰗖		
棈	𰘍				
棉	㮌𣏜				
棋	㯦䃆棊樭檱櫀碁				
棌					
棍					
棎	𣔻𣖒				
棏	㯖𣘱				
棐				𩇹	
棑					
棒	㭋				
棓	𣘙				
棔	󰝙				
棖		枨			
棗	栆𠂲𠐇𢄀𣕿𭫝󰔿	枣			
棘	㯤𢄬𣘐𣡍𭫼𰙉				
棙					
棚	椖				
棛	𣚥				
棜					
棝					
棞					
棟	𤗗	栋			
棠	㭻				
棡		㭎			
棣					
棤					
棥					
棦					
棧	椾碊	栈		𢯆	
棨	𢧊				
棩					
棪					
棫					
棬	桊𥁠𥁸				
棭					
森					
棯	菍				
棰					
棱	楞				
棲	捿栖				
棳					
棴					
棵	𤖇				
棶			梾		
棷					
棸					
棹	䑲櫂				
棺	𣑄				
棻	㯣				
棼					
棽	𡹚				
棾					
棿					
椁	槨𣠐				
椂					
椄					
椅					
椆					
椇					
椈	𣓌				
椊	㯜𬃟				
椋	󰝗				
椌					
植	㯰				
椎					
椏					
椐					
椑	𣔬			𢰘	
椒	茮𣐹𣓙				
椓	𨧧			㭬	
椕					
椞					
椥					
椪					
椬					
椯	𣖃𣜅				
椰	㭨䓉枒				
椱	󰝘				
椲					
椳					
椴	葮				
椵					
椶	㯶棕𣞛󰝚				
椷	㮭				
椸	㮛䈕箷𤕮𤕴𤖌			𥠥	
椹	枮				
椺					
椻					
椼	𰗿				
椽					
椿	櫄				
楀					
楁					
楂					
楃					
楄					
楅					
楆					
楇			𣒌		
楈					
楉					
楊	󰝠	杨			
楋					
楌					
楎	椲		𰗢		
楏					
楑					
楒					
楓		枫			
楔	槷󰝕				
楖					
楗	𨵭				
楘	鞪𣖶			𥠪	
楙	柕				
楚	䠂椘檚𣕑𣗂𤻇󰝐				
楛					
楜					
楝	欄				
楟					
楠	枏柟𣔎				
楢	愁				
楣					
楤	棇樬				
楥					
楦	楥𩋢				
楨		桢			
楩					
楪	󰲐				
楫	檝艥				
楬	概毼				
業	㸣𤎸𤑽𤗥	业		𢄁	
楮	柠				
楯	碷𣛝				
楰					
楱					
楲					
楴					
極		极			
楶	㮞				
楷	𣒉𣗀				
楸	橚				
楹	𣟅				
楺					
楻					
榀					
概					
榃					
榅					
榆					
榍	𣕋				
榐	𣒅				
榑					
榒					
榓	樒櫁󰝬				
榔	樠				
榕	𣙚				
榖	𣖫󰣿				
榗					
榙					
榚					
榛	㰉樼𣓀𣘘𣝾𦽥𦿒			𥢨	
榜	㮄				
榝	𣛶		𬂮		
榞					
榠	𣙣				
榣					
榥					
榦	𣘒				
榧					
榨	搾苲醡𨢃𨢛𨢦𨢧𨣜𨣮				
榪			杩		
榫	㔼				
榬	𥰟󰝖				
榭	𣛘𫷺				
榮		荣			
榯			𰗨		
榰					
榱					
榳					
榴	橊󰝜				
榵					
榶					
榷	㰌𣓘𣙜𨢜				攉
榸					
榹					
榺	𣚗				
榻					
榼	醘𣖁𥃕𨢸				
榽					
榾					
榿		桤			
槀					
槁	槀𩫓				
槂					
槃	柈				
槄					
槅	𨍮				
槉					
槊	䔠矟銏鎙𣓞𣔒			𢍥	
構	构𡻉𣕛				
槌	桘				
槍	𥎄	枪			
槎	𠞊𣞚				
槏	󰝪				
槐					
槔	槹橰𣓌				
槙					
槢					
槣					
槤			梿		
槥	檅櫘				
槦					
槧	󰬚	椠			
槫			𣏢		
槬					
槭	㰗				
槮	𣚈𣟹		椮		
槯					
槱	楢𥙫			𣜃	
槲	𣘳			𥡿	
槳	㯍䒂𥶝󰨳󰤧	桨			
槴					
槵	梙				
槶	簂				
槷					
槸	槷𣞕				
槻	𡦑		𬃀		
槽	𣡘𤡐󰝢				
槾	󰝨				
槿					
樀	㰅𣚌				
樁	𦚏	桩			
樂	㦡楽𨊊	乐			
樃					
樄					
樅	枞				
樆					
