正字	異体字	附録字
夕		
外	夘𱘦𡖄󶋹󱥆󶋶󶋱󴃀󻑿	
夗	夘𡖅	
夙	𠈇𠉦𠘵𡖆𡖊𡖕𣦽󷬵󶌆󲃲󲃹󲄀󲄌󲄡󶌇󹇥󲄫󴃛󶌄󶌃󴃚󶌈󶌅	
多	𡏗𡖇𡖈夛𡖩𢑰𢑑󶌋󳘴󶌊󶌉	
夜	亱𠙇𠙑𤝇󶌏󶌒󲇐󶌔󾾻󶌎󶌑󾿋󶌍󶌌󰱩󶌐󶌖󲇷󴃯󶌕	󰔳󲄝󲇻󶌫
夝	殅甠	
夠	𡖜够	
夡		
夢	梦夢夣㝱𦴋𧁌󶏚󶏕󶏈󶏙󴃺󱶰󴄆󶎩󳇍󱶽󸥥󶏘󶏖󳊧󶏗󽛳󲎍󶌵	󴄐
夤	𡖴𡖷𡖸󶏝󶏜󶏛󶏟󶏢󿽪󶏡󶏠󶏞	
夥	伙㚌𡖿󴄙	
夦	􄅏	
大	亣𠘲󱈝󶏤󳗎󺅸󿀅󰐌	
夨	𡗛􄅕􄅖􄅔󰿈	
天	𠀘𬻃𠀡𠑺兲𠕹㕦䒶𦴞𩇗𩇞靝󰎳󶏪󵀑󶏦󱲏󲂧󶏭󲂴󶏩󶏬󶏨󶏧󱇿󶏥󸺠	𠀑𠘲𰀐󰗿󱈝󶏮󶏯
太	𣡳夳󶓔󳔺	𡘙
夫	𧥱	
夬	叏𡗒􂬦	
夭	叐𡕟𫯛𡰭󰊱󱳬󶏱󶏰󰔓󱒜󰊙	
央	󰍴󰗀󰏻	
夯	𠡊𢫉	
夰	㚏	
失	𭁆𢩥	
夲	𠇏𠦂𠦍	
夵		
夷	𡗝𭑅𡰥𢎯󱉞󶏼󶏽󶐉󶐋󶏳󶏲󶏴󶏷󲇟󶐄󶏺󶏿󱋟󶐃󱋄󱊻󱊼󶐈󶏻󶐇󴃜󶏹󱐻󶏾󶏸󶐁󿽪󰍡󱋃󱌮󶐊󱊤󶐌	
夸	𭑃𡗢𡗴𡘆󰾣󾾹󶐍󶐏󾿁󶐎	
夼		
夽		
夾	夹	
夿		
奀		
奃	𡗨𡗰𡘄𣱋	􄅙
奄	奄𪥍𡘤𡘹𰤏󶐞󶐜󶐝󱋒󳔞󳔤󶐚󳔴󶐛󻑁	
奅	󰙱	
奆		
奇	竒󳙈󶐗󳔣	
奈	𪥋柰	
奉	𠬻𫯠𣩌󴻘󶐖󿼾󴃏󱖫󶐔󶐑󶐕	
奊	𨾗𥸸󱀉󻵺	
奋	𡘊	
奎	𡌤䖯󾿚󶑃󳕉󶑄	
奏	𠭡㔿𠭕𡘶𡙹𡲱𡲯𡳡𡴝𡴨𢽥𫾾󴄄󶐹󶑀󶐶󶐻󶐷󶐸󶐿󶑂󶐾󴵄󶐽󶐼󳲘󹱛󶑁	󴯯
奐	𭑏𢍅𢻁𱫌󶑋󶑉󶑅󶑊󶑈󶑆󲡥󶑌󶷂󶑇󻑅󿀄󻑍󶑍󸺦	
契	𭑕𡬨𢍆𢍠󶐵󶐫󶐪󺖉󶐳󶐮󳕌󶐯󶐴󶐱󺹰󾾥󾾦󾾬	
奒		
奓	𡘐	
奔	𠬼𡗲奔𢍃犇𥝯𧾜𣦴𧾭𧿣𨁼𨃦逩𩣺𩦥󱊫󶐥󶐣󶐢󶐠󶐧󾾡󶐦󶐤󼳤󶐟󶐡󶫎󰯿	
奕	󶐩󰙳	
套	㚐𡘂𡘷	
奘	弉󶑎	
奚	𭑑󶑑󻵠󻵦󶑒󳔡󳔬󻵲󻵷󶑏	
奛		
奜	猆	
奝		
奞	𨾮	
奟		
奠	𠪝󱶛󶑝󱶝󱷊󶑙󱶓󶑓󶑞󶑛󶑚󳔦󱵴󳕝󶑜󶑠󶑔󶑗	
奡	󱍤󾿭󰸚	
奢	奓奢	
奣	奛	
奤		
奦	􄅞	
奧	𠆇奥𡪃𡪿𢍢𥨩󶑢󶑪󱶱󶑡󶑣󲍯󶑬󶑮󶑭󶑩󶑤󿀭󶑧󶑨󶑫󳌦	
奩	匳匲奁𡙗𬼵𡚍𢅸𢊴𣫢籢籨𨕏𲅬𰻉𰻒𨘰󶑶󶑵󿀺󳕭󿒺	㢛
奪	𠔟夺𡙜𡙬𡙸𡜎敓𱚡󲋭󲍼󶑳󲎥󲏚󲐄󶑲󶑴󿀬󳓜󻍊󾙗	
奫	𡙨􂬩􂬧􂬨	
奭	𠁊𠁗𡚐􂬪􂬭􂬫󲋜󳕗󲍫􂬬	
奮	奋𭑣𡚒𰲃󲍶󶑸󲏎󲏏󶑷󰙸󸦣󻥬󶑺󼬓󾚦󶑹	𥂙
奯	𡚓􄅡􄅣􄅢	
奰	𡚤𧹈􂬰􂬯􂬮	
奱		
奲	󰙼􂬱􂬲	
女	𠨰󶑽󲆗	
奴	仅㚢󶑾	𰂈
奵		
奶	𠂏	
奷		
奸	姧𭒋𡟗󲭕󴼽	
她		
奻	𡠛	
奼	仛𠇔姹	
好	㚥𡥃𰠗𡥆㝀𢑒𩐔󴻨󴻰	𤫧󳁎󳒁󴻧
奾		
奿	𡚺􄅨	
妀	􂬴􂬳	
妁		
如	󶒁	
妃	𡚱妑𡝑𡝞婓󵲳󺨒󶑿	
妄	𡔞𡚶󴻫󴻽󺦢	
妅	娂	
妊	姙𡜟𨉃󴽰	
妋		
妌		
妍	姸蔅	
妎	𡛐𡟲󴻺	
妏		
妐		
妑		
妒	妬𡛮姤󴼬	𡝜󴼼
妓	𪥩姼	
妔		
妕		
妖	𫰋𡝩𡣡𡣠󶒊󴼎󴼮󿽫	
妗	𡢳	
妘	𡛍𡞩㜏𡤀𪔈	
妙	𡭹𢆷玅󶒉	竗
妜	􄅩	
妝	妆娤𡞓𤖩籹粧䊋𰫁糚󽧀󽧏󶒂󽧥	
妞		
妟		
妠	𡜴􂬵􂬶	
妡		
妢		
妣	𡚨	
妤	伃󶒌	󶒍
妥	𡛎𢼻󴻬󻰇	
妦	𡜠㛔󴼳	
妧		
妨	㤃󶒄	𡍀
妭	󺬆	
妮	󴼻	
妯	㛩	
妰		
妱		
妲		
妳		
妴	􄅭	
妵		
妶	󴻼	
妹		
妺		
妻	𡜌𡜈𡜛𡜽𪥼𡝽𡝣󳗖󷮃󴼟󴼖󲹃󴼙󴼚󲭙󴽑󶒓󾽖󴽈󴽅󴾌󴾋󴾍󴾇󲊎󴿅	
妼		
妽		
妾	㛙󶒑	
妿	㚳	
姀		
姁		
姂		
姃		
姄		
姅		
姆	娒󶣰	
姇		
姈		
姊	姉𡛷𡛰󴻶󷮔󶒴󶒱	
始	𰀼乨𠃭兘𠙉𰟽󶒦󶒣󴼿	󶒨
姌	㚩	
姍	姗𡜜㛽	
姎		
姏		
姐	她媎毑	
姑		
姒	㚶娰	
姓	甠𤯕𤯣𤯧𤯬󴻴󶒰	
委		
姕	􄅲	
姖		
姘	姘󶒵	
姚	󶒿󴼑󶓂󴼗󴼠󴽄󴽣󶓃󴾘󴾴	
姛	𡜝𩒗	
姜	𡜠󴼷󻘥	
姝	𡚾	
姞	𡜩	
姟		
姠		
姡	𡜶	
姣	㚣𤕢	
姤		
姥		
姦	姧𡜑𢙶𢛝󼗁󻡴	
姨	󶒽	
姩	𡝟􄅰	󴾚
姪	侄妷𡥺󴼜󶫓	
姫		
姬	㚦姖㚶姫姬󴻵󶓓󶓗󶓖󶓞󴼈󶓝󶓚󶓥󴼦󴼡󶓘󴼢󴼣󴼃󶓢󴽌󴽋󶓦󶓡󶓛󴽙󴽓󶓠󴽸󶓣󶓤󶓟	
姭		
姮		
姯		
姰	𡟱	
姱		
姲		
姳	佲𠋶	
姴		
姵		
姶	㛕䏩	
姷		
姺	㜪䢾	
姻	𡛸𡜭婣𤯠󴼄󴼨󴼩󴽡󶓈󶓉	
姼	𡚼𡛜󴼐􂬷	
姽		
姾	􄅱	
姿	姕𫱝𱦢𰛳𱧢󶒺󴽧󺖁󶒼󴽷	
娀	𡞨	
威	𭑿𤰴𱰨𤱫󲒾󴼁󻔬󶓅󻕚󻔧󻔪󺜒󻒋	
娃		
娉	􂬹󴼇􂬸󹸲	
娊		
娋	𡡏	
娌		
娍	𡡛	
娎	𡝊	
娏	𡛪	
娐	𱙠𡣷􄅺􄅻􄅹	
娑	𣯢𣯌	
娓		󴾿
娕	𡣒孎𨃢􄅵	
娖	𡣒𨃢	
娗		
娘	𭑧孃􃦠	
娙	𡜇	󴼞
娛	娛娱娯󶓐󶓎󶓏󴾑󶓑	
娜	𡟦󶓊󶓋󴽠	
娝		
娞		
娟	姢𡣬	
娠	㛛󶓧󶓬󶓪􃦡	
娡		
娢		
娣	󴾂	
娥	䄉󶓯	
娧	󴼲	
娨	󴽞	
娩	㛯㝃󶓮󴽬󿵱	
娪		
娫		
娭	􂬺	
娮		
娳		
娵	󴽿	
娶	󶓰	
娷		
娸	􃫤􂬿􂬾	
娹	妶婱􄅽􄅾	
娺		
娻		
娼		
娽	􄆂	
娾		
婀	妸娿󶠥	
婁	𡇔娄𡜰𡝤𡞔𡝨𣫻𡡋𡡼𱼰󼜋󶓳󶓺󴽟󴽜󶓴󴽤󶓷󶓲󶓹󹸰󴿍􃦢􃦤􃦥􃦣	𡇭󴿸
婂		
婃		
婄		
婅		
婆	𡟖㜑𡣩𰞹󶩜	
婇	􄆀󴾝	
婈		
婉	妴䛄䛷󴽭󶓾󴾢󶓽󶓻󶓿󴿁	
婊		
婋	􄅿	
婌		
婍	󷢄	
婎	𡠓	
婐	婑	
婑		
婒		
婓	婔	
婕	媫􂬻􂬼	
婖	􄆁	
婗	􂭁	
婘	𡢸孉𡤡􃫢􃫣	
婙	󷫒	
婚	𡕽𡖀𡕼𡝪㛰󶩛󶩙󶩖󶩗󴼐󶩔󴾾	
婛		
婜	􄆃	
婝		
婞	𡟡󴾈󴾹󴿏􂬽	
婟	嫭	
婠		
婡		
婢	󶢪󶣋󶢄󶣻	
婤		
婥	󼅃	
婦	婦𡞒媍𢽰󶖞󴼹󶚀󴽯󶘈	
婧	婙󺵧	
婨		
婩	𡛢	
婪	惏	
婫		
婬	󱅬	
婭	娅􂭀	
婮		
婰		
婷	󹸫	
婸	㛫𢢘􂭆	
婹	𡠇	
婺	󻜄􂭅󻱍	
婻		
婼	􂭈	
婽		
婿	𡎎壻𡠸𰭸𦕓聓𱻹𦖜聟󱄪󶪭󿽨󸭬󶩤󽎜󽎰󽎯	󶺶
媀		
媁		
媂		
媃		
媄	𭒏㜫	
媅	㚮妉􄆈	
媈		
媉		
媊	𡠔𡡸􄆅	
媋		
媌	𪝌㑤㚹	
媎		
媏		
媐	𡟮􄆣􄆤􄆦􄆢􄆧􄆥	
媑		
媒		
媓		
媔		
媕	㜝	
媖		
媗		
媘	􄆉	
媙		
媚	𡡾𡡚󴾥󶩠󴿘󴿒	
媛	󴾜󴾷󴾶󴿦	
媜		
媝		
媞	姼	
媟	𡜄𡝥𡢬𡤏􂭄􂭃􂭂󺻈󶬠	
媡		
媢		
媣	𡜉􄆇󴾟􄆆󴿕	
媥		
媦	𡣃󶓍	
媧	娲𡢓󺺆󶐘󺺢􂭇󺺡	
媨	􄆄	
媩	𡛚	
媬		
媮	婾	
媯	妫嬀􃫥	
媰	𡦅󴼕􃫧	
媱	􂭌󱅬󷟎	
媲	󴾵	
媳	𡡁	
媴	􄆝	
媵	𠈪㑞𠊶𡟒媵𦩩	
媶		
媷	􄆛􄆜	
媸	妛𡟎􂭋	
媹	􄆠􄆡	
媺		
媻		
媼	媪󶩳	
媽	妈	
媾	󶩭󶩰󶩯	
媿	聭謉􂭍󺱔󽎣	
嫀		
嫁		
嫂	㛐㛮㛮󶩸󸈱󶩼󶩹󶩿󶩽	
嫃	󹸱󹸬󹭦	
嫄		
嫅		
嫆		
嫇	􂭊􂭉󰲅􃫦	
嫈		
嫉	𡜍愱𢞱󴾞	
嫊		
嫋		
嫌	𭒡𱻒󶩨􃦦󶩫	
嫍	􄆟􄆞	
嫎		
嫏		
嫐	娚	
嫕	𢟇嫛	
嫖	𡤚闝	
嫗	妪󴿾	
嫘	𡤯	
嫙	𡡍	
嫚	󴿢󴿻	𮱔
嫛	𡤖	
嫜		
嫝		
嫞		
嫟	𡠷嬺􄆰􄆮􄆯􄆲􄆳􄆱	
嫠	𡠉􂭓􂭔􂭕󿔏􃫮􃫭	
嫡	𫱨𡡿󴾻󺺀	
嫢	𡠝𡣅󴿽	
嫣		
嫤	􄆬	
嫥	𡞤󴾅􂭎	
嫦		
嫧	𡢲􄆫	
嫨	􄆭	
嫩	媆𡞾㜛嫰𰢫𤯦𤯯𦠫󹸮󶪂󴿇	
嫪	􃫨􃫩󴿫	
嫫	𡠜􂭑􂭒􂭐􃫫	
嫬		
嫭	𡚯𡛚𡞛𡢙􂭏􃫪	
嫮		
嫯	㜜􄆹	
嫳	𡡹􃫬	
嫴	𨐞􃫯	
嫵	妩娬𡣆󶪅	
嫶		
嫷	媠􂭚􃫰	
嫸	𡣌𡤮􄆾􄆿􄇀	
嫹		
嫻	娴𡢃嫺	
嫼	𡣫􄇆	
嫽	𡢴	
嫾		
嫿	婳􂭖	
嬁	􄇄	
嬂		
嬃	𩒭𡡓	
嬄		
嬅		
嬆		
嬇		
嬈	娆􂭙󴽽􂭗􂭘	
嬉	󶪁􃦧	
嬋	婵𡠐󶪄􃦨	
嬌	娇󴿈󶪆􃦩󶩲󶪈	
嬎	婏㛯𡢎嬔𡤳𡤹􃫷􃫶	
嬏		
嬐	􃫸	
嬑		
嬒	􄇌	
嬓		
嬕		
嬖		
嬗	􃫱	
嬘	𡟝	
嬙	嫱𡣰󴿜􃫳􃫲󺺱	
嬚		
嬛	妚𡣱􂭛􃫴􃫵	󺺬
嬜		
嬝	㜵􃦪􃦫􃦬	
嬞		
嬟		
嬠		
嬡	嫒	
嬣	􄇐	
嬤	𡡉嬷𡣥	嫲
嬥	􃫽	
嬦	􄇑	
嬧		
嬨	嬨	
嬩		
嬪	𡜷𡝏娦嫔𡣑𡣕𡤁𲄮𨊕󴼒􁬠󺺂􃦶󺺗󺺙󺺘󺺚󺺳􃦷󺻁󺻀	
嬫		
嬬	𡢉	
嬭	𡇲𡛾妳㚷𡤘􃫺􃫼􃫹􃫻	
嬮	󴍄	
嬯		
嬰	婴孆孾𦦿󴾱󹸰󴿋󴿊󴿡󿑶󴿹󴿺󴧭󺺋󺺦󺺥􃦵	
嬲	𠒰𢣲𤲶	
嬳	𡤬􄇖􄇗􄇘	
嬴	𡢣𡢔𡣍㜲𱻓𦏝𱻕󲋋󲎋󶪊󶪌􃦭􃦮󷍇􃦰􃦱􃦳󲏺􃦯􃦲􃦴󶪉	
嬵	婂	
嬸	婶􃦸	
嬹		
嬻	䢱	
嬼		
嬽	𡣬􃫾	
嬾	嬾嬾孄孏𱞫懶懶㦨󸼳􃫿	
嬿	嬊𡤈􃬁􃬂􃬀􃬃	
孀	㜀	
孁	𩁻	
孂	𤃾𥶞	
孃	嬢􃬄􃬆􃬅	
孅	􃬇	
孇		
孈	𡣸	
孊		
孋	𡠈􃬋􃬊􃬉􃬈	
孌	娈𡡗𡢛𡤣𡤨𭒵㜻󺺐􃬍􃬌󻷺󻸋	
孍		
孎	𡠟􄇨	
子	𠙭𡐫㜽𡿹𢀇𢀈𢀉𣕓𰱤𰲀𱾲󶪐󶪏󴹷󶪕󶪓󶪔	
孑	𠆨𠆬𡤼󵂌󱧳󱩜􃦹	
孒	𠀔	
孓	􃦻􃦺	
孔	𡤿󶪖󶪙	
孕	𰅮㚺𡢘𡥗㞌𡱟𥀨𥀩𣎜𨈼󰕶􃢮􃦽󴹹󿒋󴺅󺣂󴺄󴺌󴺋􃦼󶪝󶪢󶪜󶪚󻽍󶪟󶪡	󴺎󶪤󶪥
孖		
字	𡥜𥤪󴢕	
存	侟𠩯𡥂𡥅󶪦󴹶	
孚	𤓽𱬻	
孛	𡥇𡥞􂭜󴹽󸸡󻅟	
孜	􃧀	
孝	𡥍𡥉𡥈𢻯𰭨􃦿􃦾󲧪󴹼󴺆󴺐	
孟	𣏍𰤳𱲌𥁝𱲏𥁪󳗌󸾦󶪪󶪨󶬩󶬨󶬪󼯙󶪬󽠷	
孡		
孢		
季	𡥞𡦠𩐄𩐖􃢯	󲭑
孤	㜾𦣮󴺀󿿤󸷟􃧁󴺈󴺉󶪯	
孥	𠩨	󴺔
孨		
孩	𠹛姟㜾䪱󴺇󴺓􃧂	
孫	𡤾孙𭓂𰫙􃧄󴺒󴺖󴺙􃧃󶪰	
孬		
孮		
孯	𡦋􄇩	
孰	𠅩𩪿󶪳󶪱􃧇􃧆􀨮󲉌􃧅󶪴	
孱		
孲		
孳	𡥝孶𢀐𢇖󿔧󲆍	
孴	𡥦孨𡥨𡦏	
孵	𡥭𨹴󶷯󱆆􃧉􃧈	
孷	𡥽󴺛􃬏󴺩􃬎	
學	𡕕斈𣁃学𭓕𭓘𫝯𢻯斅斆􃧏􃧌󴺭󽞚􃧑󴺴􃧒󴻄󴺽􃧍􃧋􃧐􃧊􃧎󶪵	
孺	𡦗𡦘󴺚󴺡󴺰􃧓󴺻󴻆󶪶	
孻	𡦌	󶳭
孽	𭒯㜸𡦣孼𦽆𦽚𱾹𰲓𧃯􃧗􃧘􃧖􂆏􃧚􃧔󹊽􃧙󳑃󶪸􃧕	
孿	孪㝈𤲶	
宀		
宁		
它	佗􃧛	
宄	𠬚𡧄𡧌𡧫𢗐究	
宅	垞𡊾𡧜𡧪㡯󱀝󶫁󴡂󴡌󶫃󴇉󴇖󶫄󽂦	
宇	𠨯㙑𡧃𡧈𡧈㝢㡰𢉠穻𱷇󰖋󶪽󴡧󸑚󷰄󶪿󽂝	
守	垨㝊𡬮𡬴󴠿󴡇	
安	侒𠕷𭑨𡚴󶮴󳗋	
宊		
宋	󴡓	
完	皃	
宎		
宏	䆖󴡢	
宒		
宓	𧶡󴡨	
宕	𡇵𥥔雼	
宖	􄇭	
宗	󶪣󴡓󴡒	󻯰
官	𠕍𡦹𡧺𮃻󰛙󶫉󴡫󶫌󶫊󶭿	
宙	𫳂㣙𥥉	
定	㝎𡧡㱏𱶰󶫁󰛚󶫆󶫇􃧜	
宛	𭓩惌󴡿󴡽󶫒󴢇󶫔󴢨	
宜	𠖃冝𠣨宐𡧧㝖𡨆𡪀󲔑󺧗󶫏􃧝󰛜󶫍󵃲󶫐󱂞	󲕐󶫑
客	󴡱	
宣	𠖚𡨈𡩦𡪏󶫝󶫗󶫞󶫘󶫕󴢣󴢡󴣏󶫜󶫙󴥓	
室	󿌞󶫣󶫢󴢩󴢪󴢬󴢦󴣑󴧊	
宥	䆜	
宦	𠈄𠋪𮃻䆠󶫡󶫠󴡗󶫟󽂯󽃘	
宧	𥦪𥦳󴡺􂭡􂭝􂭢􂭟􂭞􂭠	
宨		
宬	窚	
宭		
宮	宫󴡰	
宯	窙	
宰	𠈾𡨔𡨧𫳐𡪤󶫤󶫥󰛯	
宱		
害	𠕛𡧱𭓯𡨟𤇵􃧞󰛠󶫨󶫦󴢹	󵠁
宴	𡩷𰩖󶫰󶫬󴤞󴥢	
宵	𣆺𰟿𲉱󶫱	
家	𠖔宊𡧚𡩙𡩅𡩚𡩀𡩵󲔜󺞵󶫩󰿭󴣻󴤔󶫪	
宸	䆣󴢧󶫽󶫾󶫼󽃝	
容	𠕺𠴅㝐𡧶𡨐㣑𰶐𰍢󳪯󶫶󽂠󶫲󴡼󴢺󴣥󶫴󳼢	
宺		
宿	𪧐㝛𡩤𡪴󾻪󴣢󴤣󴤦󶬯󽃹	
寀	宷	
寁	𢧣𢧺􂭣	
寂	𡧴𡧘𡧯𡨜𡨁𡪌𢚍𥤲𥤽𥥘𥥒𰩊䆥𰩒𥨅𰴳𧧌􃧟󴡥󴢽󶬦󵋌󶬧󴥘󽃦󽃚󶬡󶬢	
寄	𭔃󲎃󴥅󽄬	
寅	𡓵𡨒㝙𡩪𡩟𢁐𱶺𥦕𦦚𱁗󶬖󱵫󶬔󶬙󶬘󴃥󴢂󶬒󴢃󶬚󰛦󴢤󴢶󴢵󿌤󴣜󴤰󴤯󶬜󴤏󽃡󽃲󶬓	󶬟󾭁
密	宻𡪖𡶇𢛬󶬸􃧠󶬳󴢗󴣄󶬵󴣿󴤀󶬶󴣪󹜙󶬰󴣽󶬷󶬲󴥽󴣸	
寇	㓂冦宼𡨥𰍂𰍕𰍙𡯷𢽉窛𥦆𥦲󱅑󲕑󲕓󶬇󲕤󶫿󶬍󲕲󶬎󶬐󶬑󶬂󶬀󶬋󶬈󶬊󽄤	
寊		
寋	󴤿	
富	𠖐冨󶭈󲔾󲕠󲕽󶭅󶭆󴦩	
寍		
寎	󴦅􄇶	
寏	􄇷􄇸	
寐	𭓺𱷁𱶽𥦉𮄆𥦤𥧌𱷍𱷐𥧴𱾺󶭋󰛫󵳃􃧡󶭒󽄁󸜸󽄮󽄏󶭐	󶭓
寑	𠖗𡩠𡪢	
寒	𰌳𡫜𡫙𡫮𡫾㥶𣽬󴢖󴡾󶬼󶭄󶬽󴨎󶭁󶬺	󴩜
寓	𡪾庽	
寔	𥥐𥦽􂭥􂭦􂭧󽃵󽄑	
寖	𡩻𣹦𩅕	
寘	寘󰷞􂭨󴧈󷕥	
寙		
寞	𡖶𰩙󶭗󴤮󶭘󶭖	
察	𧦴詧󶯐󴦇󶯓󶯒󴦦󶯚󶯖󶯗󶯘	
寠	𪧘𡫤󴦗􂭩	
寡	𠆣𫳜𡪍𡩼𰥡𧵿󴢠󴣊󴣙󶭰󴤊󰛳󰛸󴥔󴥉󶭱󰛷󰛹󴦑󹭛󸒷󶛘󶭳󶭸󶭻󴦓󶭶󶭬󴧂󴧇󶭫󴨁󲊂	
寢	𡨞𡨦寑寝𡪢𡫒𡬓㝲𱶼𱷊𮄎𱷓𥨊𱷕𱷖𱷘𲊃󶮥󶮺󶮒󶮽󶮓󴥲󶮏󴥴󶮘󴦷󴦝󰛽󶮝󶮻󶮶󶮷󶮹󶮢󶮼󽄢󽄠󶮿󽅣󽅆󶮪󽅜󽅳󽅷󽅛󽅴󶮐	󶯃󽆊
寣	𰍖𡩺	
寤	𡨂𡨟𡬑窹𧄯󶯈󶯌󴦞󴧞󶯄󶯅󶯆󶯍󽅇󽅉	
寥	𥨞𡫝𡽐𡽦廫󶮆󶭽󶮉󶋳󶮃􃧢󶭾󶮅󽅧󶭼󶮇󶮀	
實	实実宲𡪲𡾍􃧣󴦎󴦖󶮌󴦙󴦍󶮋󴧌󶮊󴧰󳳳󳴙	󰛗
寧	𰍠宁㝕𡨴寍𭔄寕𡩬寜寧𡬛𱶹󶭧󴢋󶭦󴢥󴣮󴣾󿌣󶭣󴤸󴤃󶭢󶭩󴥿󶭛󶭠󴦭󴦲󴦯󶭙󺃲󽄉	𡪕
寨	砦󴣹	
審	审宩宷𡩨讅󴥼󴦨	
寪	󷔓􂭤	
寫	写㕐㝍𰩛𧭠䥱󶽉󶯧󶯮󵶏󲕆󶻳󶅡󲕙󷆖󶯯󲕷󶯨󷀆󶶼󴤘󶯪󶯦󶵎	
寬	宽㝟𡩖寛𥦀𡘚𲁎󿀆󶯡󶯤󰛪󿌥󰛭󰛵󴤍󴥍󴥇󴥎󴥛󶯟󶯠󶯢󶶰󶯣	
寭		
寮	𰩐竂𰩜𥨤󹭛󴦕󴧨󴧡󰜁󶯞	
寯	㝦	
寰	𡕅㝨󲺜󴥫󴦪󷚻󴧐󴨄􂭪􂭫󽅚󽅠	
寱	囈𡬒㦣𥨘䆿􂭰􂭮󴧜󴧴􂭬󴨹􂭱􂭯󴩚󴩠󿌰􂭭󽄴􂭲	
寲		
寴	𡩁	
寵	宠󷚧󷛳􁌿󰛧󷌭󷐅󷏥󷆳󷞦󷗅󽆁󷐷	
寶	𠋾𠍙宝宲𡩧寚𡪓𭔟寳寳𡫷珤㻄𤥯𤥖𱯕𤨷𩇉󷱵󰘎󴤁󷽓󸄟󷤬󷲅󴦉󷳊󴨞󷠥󴨝󷅩󴨭󷟾󰼕󴨬󷫘󺽰󷵊󺽾󷱽󷥂󷣛󷭸󾖌	󴦻
寷	𡫋	
寸		
寺	󰣏󸈥󸆙󸊂	
尀	𡬡	
封	𡉘𡉚𡊋𡊽𡎈㞷󱺐󸏍󺦋󸩄󲰴󳒊󸋶󳒑󳒓󳒐󸍘󵊋󸘈󳒢󸔵󳒩󸕸	󳬵󳭘󸰽
尃	􂭳	
射	𡬤𢎤䠶𨈡𲄞𲄟𨉛󳒒󸲚󸱳󾆩	𨉅
將	将将𢪇𢪽𤕭𱭗󹟉󹠉󴆓󹚌󹢑󸽏󹔐󸻣󸽽󸼄󻫍󻵳󹓋󱅜󳒰󻵼󹛻	
專	专𠧡叀専尝󲪨󳒈󸺨󸹰󳬬󳮘󳯘󳯷	
尉	叞㷉𤈫󸴈󸷺󳒯󸳻	
尊	僔𡭆𢍜𥈪󺎋󳒋󱴲󹮋󳒜󹴢󹦥󹢬󱶾󹣭󹹗󹲸󹯠󺇙󹪻󺋼	𡬭
尋	寻𡬰𡬶𡬻𢒫𲇈󴯝󴯟󺒊󺗸󴯭󴯩󴯪󴰂󴯽󺨃󴰕󺖩󴰋󴰉󴰐󴰓󴰎󺓨󺤜󺹜󴰣󴰤󺮧󺹗󽘫󴰯󳓑󺩅󴯣󺨧󺹚	󻶱
尌	𠊪	
對	𡁨对対𭔹𡭊󸔵󳒳󳓁󳓈󼧜󻬷󳓆󳓇󳓅󳓒󻐇󻹝󳓏󽷂󼰢󽘻󼴔󻸷	
導	导𡭎𡭑𨗳𣜦𱵮𱵯𧘀𧘄𲅾󿉸󳓖󳘒󿀜󾻵󼏒	
小	𡮐	
尐	𧉍	
少	尐	
尒	尓𡭗𫡓𠇍	
尔		
尕		
尖	𡭞鑯	
尚	尙	
尟	尠赻鮮󰻔󳘈	
尢	兀尢𡯁尣𡯂	
尤	尢𡯊怣󿁍󳖏	
尥	尦𡯡	
尨	狵	
尪	𠅪㑌尫尩𡯪𡯭𡯲󱨏󺨴󲄸󸷙󺇖󳭭󵟮	󲊬􂭴􃬐
尬	𠆷𡯕𡯔𡯗魀󿔟󿡥󿁖	𡯽
尯	𣧼𥎾󻸕󻸖󼢚	
尰	𡰁𡰒𡰕󻸘	
就	𭕐𡯶𭕒𡰔𡰗𡰜󲋚󲊖󲋞󿬁󿬋󿬄󲌫󿬀󲌨󲈐󿬈󳖖󿁴󿁳󿬊󳖘󲋏󼡷󲌛󿬉󿬃󿬂󲍪󽁲󿥃	
尳	𡰊㾶𩨔􂭵􂭶	
尵	𡯺𮱣𫵒󿁭	
尷	凲尲尴𡰉尶𡰛魐󷤀󲫴󿬍󿬎󿬏	𩴁
尸	𡰣	𠃜
尹	𢁨𢂫𢂟𢂬𢃁𢃂𢃹𢃵󶝏󶝐󶝑󿉹	
尺	󿬑	
尻	凥𡰼𡱧𦙷󴲿	
尼	𡰥𡰱󴱰󶈊󴱮󴱱󿬒󿬓󺨐󰷓󱘈	
尾	㞑𡱕𡱓𡱲𡲵󴱴󺨏󿬦󴲁󰜉󿬥󴲖󴲩󴲦󿬩󿬨󴳤󿬧	󴲕󴳍󴴊
尿	𡱤𡱴㞙𡲘𡲳𰎂𣭼㳮𣻨󴲘󿬠󿬡󴳑󿬢󴓯	󴲐󿬣
局	𡱈𫸧𢩁󿬖󿬝󿬗󿬕󳚃󳚆󿬜󴱼󴱾󹐛󳚄󿬙󴳇󴳄󴷡󴷝󿬔󿬛	󴲰
屁	㞑𡲩𥤶𥥓𥧔䊧󿬞	
屄	𫵘𣭈毴	
居	凥㝒𡨢㞐𢨶𧿃󿬯󴲆󴲝󳛌	
屆	届󺢸󿬰	
屇	㧂	
