正字	異体字	附録字
㛥		
㛦		
㛧	󴾡󰳆	
㛨		
㛪	􄅼	
㛫		
㛬		
㛭		
㛯		
㛱		
㛳	𢝃	
㛴	𡛛𡜣𡜪𡝲𪦅𡢋𡡟憹󰷰􄆕	
㛵	􄆏	
㛶	􄆎	
㛷		
㛸		
㛹		
㛺		
㛻		
㛼	㛼󴽢	
㛾		
㜂		
㜃		
㜄		
㜅	妶􄆗	
㜆		
㜇	㥨	
㜈		
㜉		
㜊		
㜋		
㜌	𡠆	
㜍	𡠠	
㜎		
㜐		
㜒		
㜓		
㜕		
㜖		
㜗	𡡖𡣏	
㜘	􄆴	
㜙		
㜚		
㜝	󴾸􄆷􄆸	
㜞	嬱	
㜠		
㜡		
㜢	𡡎	
㜣		
㜤	𡤲􄇃	
㜥		
㜦	􄇅	
㜨	􄇂	
㜩	󶪇􄇋􄇊	
㜪	𡣎嫀	
㜮	𡤱􄇒􄇓􄇕􄇔	
㜯	􄇚􄇙	
㜰		
㜱		
㜳	􄇡	
㜴	􄇤	
㜶	𡤎􄇦	
㜷	𡝠𡝡	
㜹		
㜺	𡣶􄇧	
㝁	𢏔	
㝂	𧏄	
㝅	𡔵㨌𣫌穀	
㝌	󴡄󴡆	
㝏		
㝓		
㝗	䆡	
㝘		
㝜	𡩤	
㝝		
㝞		
㝣	窫􄇱	
㝤	󴣋􄇺􄇹󴤋	
㝥	𡪘	
㝩	𡪼䆲	
㝪	𡪐𡫓𡫑􄇽	
㝫	􄇿	
㝬		
㝭	𡪟	
㝮	󴥩	
㝯		
㝰	𡫛􄈇􄈆􄈄󶫅􄈅	
㝱	𡪎𥦡𦿛􅣽􅣻􅣼󽆖󽆧	
㝵	㕌㝶䙸䙷	
㝸	𡭪覍󳗧󵬺	
㝺		
㝻	󿔡	
㝼	􄈛􄈜	
㝽	𡯑	
㝾	𡯛󿁚􄈟	
㝿	𤿑	󻏿
㞀	󶬥	
㞁	𡯣𡯧𡰃𡯱󳖗	󵊭
㞂	𡯵㾼􄈢	
㞃	𡯮󺥎	
㞄	𡯸	󿁦
㞅	􄈧	
㞆	􄈥􄈦󿁶󿁷	
㞇	𡰂𡯹􄈨	
㞈	􄈪􄈩	
㞉	􄈫􄈬	
㞊		
㞋	𡰦𡰫	
㞏		
㞒	屓	
㞓	𡱔􄈵	
㞖		
㞗		
㞚	􄈻	
㞛	𡱹󴳷󴴇	
㞜	𡲾󴴟󰜐	
㞟	􄈽	
㞤		
㞥		
㞦		
㞨		
㞪		
㞬		
㞭		
㞰		
㞱		
㞲		
㞳		
㞴	岻	
㞷	呈𡴍󺢥󴻍	
㞻		
㞽	𡶙	
㞾		
㟀		
㟃		
㟄		
㟅	𡼔􄉁󳮏􄉂	
㟇		
㟈		
㟉		
㟊		
㟋	𡷋	
㟌		
㟍		
㟎		
㟏	㟔􄉅󳰓	
㟐		
㟑		
㟓		
㟖		
㟘		
㟙	𡽞	
㟞	𡸚嶘􄉉	
㟨		
㟪	嵔	
㟬		
㟯		
㟰	􄉛	
㟱		
㟳	𦞰󳴊	
㟶	㟲	
㟸	𡻇𡼗󳳁	
㟹	𡼅	
㟼	􄉦	
㟽	㠒磦	
㟾		
㟿		
㠅	􄉳	
㠆	𡼯􄉮􄉭	
㠇		
㠈		
㠉		
㠊	􄉬	
㠌		
㠍	㠎	
㠎	崨	
㠏		
㠑	𡽁􄉸	
㠓	𡺪󵿩􄉻	
㠔		
㠕		
㠚	𡽵	
㠛		
㠠	􄊃	
㠡		
㠢	𡾝􄊆􄊅􄊄	
㠥	𡻱𡾊𡾋𡿔	
㠦		
㠧	𡻥𡿐	
㠨		
㠭		
㠮		
㠱	𢁂􀒴	
㠲	𢁦	
㠴	𢁯𢂻	
㠵	𢂠𢂪	
㠷	􄊟	
㠹	𢂵	
㠺		
㠽		
㠾	󳶺	
㠿	𢃌	
㡁		
㡂	𢂥𧙩	
㡄	䘩	
㡅	𠕝𠕰𢄴𣍓	
㡆	𢁣㠵𢂩㡃𢂠𢂾㡛􄊣􄊢󰚮􄊡	
㡇	𢃣袩𧚊	
㡈	􄊨	
㡉	惤𢮂􄊭	
㡊	幍􄊮	
㡋		
㡏	󿉼	
㡐	𢃬	
㡑		
㡒		
㡔		
㡕		
㡖		
㡗	􄊺	
㡘	𢅖𢅏󳸥	
㡙		
㡚	𧛥褠􄊸􄊷	
㡜	􄊼	
㡝		
㡞	􄊻	
㡟		
㡥	𧞎󳸔	
㡦	󳸳	
㡨	􄋎	
㡩		
㡪	𢅼𢆃𢆃􄋒󳸾􄋏􄋐􄋑	
㡮	𢇒􄋚	
㡱	󴇁	
㡲	􄋜	
㡴		
㡵		
㡶		
㡷		
㡸		
㡹		
㡺		
㡻	󰛄	
㡽		
㡾		
㢀	𢈠	
㢁		
㢂		
㢃		
㢄		
㢅		
㢈	㢂𢈹㢑隤	
㢉		
㢊	躷󴉲	
㢋	㞔㢁	
㢌	㢐	
㢍		
㢎	󴈛	
㢏	󿋇	
㢑		
㢒	􄋫􄋪	
㢔		
㢖	􄋱	
㢗	󴊒	
㢚	𢊔𢋡􄋳􄋶􄋵􄋴	
㢛		
㢜	󴌉	
㢝		
㢞	􄋾	
㢟		
㢥	戙􄌃	
㢦	𢎄戨	
㢨	𢏥	
㢩		
㢬		
㢯		
㢰		
㢳	𢏾	
㢵		
㢺		
㢻	𢏴􄌊	
㢾		
㣀	󴸼􄌑􄌐	
㣁	𢐖􄌒	
㣂	􄌏􄌎􄌍	
㣄		
㣅	𢏵𢐛𭛆𣩳􄌖󴸟󻓖􄌗	
㣆	𢑃𡓭󷱤󰽩	
