親字	旧字	異体字
帑		伖
帚		菷
師		师
帯	帶	
帰	歸	皈
帽		冃㡌
幔		㡢
幕		幙
幣		幤
幫		帮幇
幬		𢃖
幮		㡡
年		秊
幵		开
幷		并
幸		𠂷
幹		榦
幺		么
幼		𢆲
庁	廳	廰
広	廣	
座		𫝷
庶		庻
廁		厠
廂		厢
廃	廢	
廈		厦
廉	廉	
廊	廊	
廛		㙻鄽壥
廝		厮
廟		庙庿
廠		厰
廨		𪠘
廩		廪㐭
廻		迴𢌞廽
廿		卄
弁	弁瓣辯辨	辧
弄		挵挊
弐	貳	貮
弑		弒
弛		㢮
弥	彌	㣆
弱		𢐅
強	强	
弼		𢐀弻
弾	彈	
彅		𦿶
彎		弯
彐		彑
当	當	
彙		彚
彝		彜
形		𢒈形
彦	彥	
彫	彫	
彬		斌
往		𢔎徃
征		𨒌
徂		䢐
径	徑	迳逕
徇		𢓈
徒		𨑒
従	從	从
得		𢔶㝵
徙		𨑭
御		𢕜
徭		傜
微		㣲
徳	德	𢛳悳
徴	徵	
忘		㤀
応	應	
忝		㤁
忽		𢗘
怕		𢗌
怖		悑
怙		𢛅
思		恖
急		㤂
怪		恠
怱		悤忩
恋	戀	
恐		𢙢
恒	恆	
恚		㜇㤬
恟		忷
恣		𢙊
恤		䘏卹
恥		耻
恨		𢙃
恪		愙㤩
恭		𢙄
恵	惠	僡
悄		𢖹
悋		恡
悔	悔	
悟		忢
悦	悅	恱
悩	惱	𢚰
悪	惡	
悱		㥱
悴		忰
悶		㥃
悽		恓
惇		惇
惕		悐
惛		惽
惝		𢠵
惨	慘	
惰		憜
惸		𢞛
愆		諐
愈		愈
愒		𢢚
愛		㤅
愜		㥦
愧		媿
愨		慤
慈	慈	㤵
慌		㤺
慍		愠
慎	愼	眘
慙		慚
慢		𢢔
慨	慨	
慷		忼
慼		慽
憁		愡
憂		𢝊
憊		𢟡
憎	憎	
憑		慿
憖		憗
憙		憘
憚		惮
憝		憞
憤	憤	
憩		憇
憫		𢡻
憯		㦧
憲	憲	
懇		𢡆
