親字	旧字	本字	古字	別体	俗字	誤字
撥						
撦						
撩						
撫						
播				𢿥		
撮						
撰						
撲						
撻						
撼		㨔				
撽		𢵿				
撾						
撿					𢮦	
擁		𢹬				
擂		攂				
擄						
擅						
擉						
擋						
擌						
操						
擎				㢣擏		
擐						
擒		捦		㩒		
擗						
擘						
擠						
擡					抬	
擢						
擣					𢭏	
擤						
擥				㩜攬		
擦						
擩						
擪				擫		
擬						
擭						
擯						
擱						
擲						
擶						
擷						
擺						
擻						
擽						
擾						
擿						
攀						
攄						
攌						
攏						
攔						
攖						
攘						
攞						
攢					攅	
攣						
攤						
攩						
攪				捁	撹	
攫					爴	
支						
攲				㩻		
攴						
攷						
攸						
改						
攻						
放						
政						
敄						
故						
敏	敏					
救						
敔						
敖						
敗						
教	敎					
敝						
敞						
敢		𠭖				
散		𢿨				
敦				㪟		
敧						
敫						
敬						
数	數				𢿙	
敲			䯨	㪣搞		
整				𢿫		
敵				𪯙		
敷		𢾭	旉			
斁						
斂						
斃						
斄						
文						
斉	齊		亝			斊
斌						
斎	齋				斋	
斐						
斑		辬				
斒						
斗						
料						
斛						
斜						
斝						
斟					酙	
斡						
斤						
斥		㡿				
斧				𨨞		
斫						
斬						
断	斷	𣃔				
斮						
斯						
新						
斲				𠠇	斵	
斸						
方						
於					扵	
施						
斿						
旁		㫄				
旂						
旃				旜	𣃼	
旄						
旅	旅					
旆					斾	
旋						
旌						
族						
旐						
旒						
旔						
旖						
旗						
旛					旙	
无						
旡						
既	既			旣		
日						
旦						
旧	舊				𦾔	
旨		𠤔			㫖	
早						
旬						
旭						
旰						
旱						
旲						
旺						
旻						
旼						
昀						
昂					昻	
昃		𣅦				
昄						
昆						
昇				曻		
昈						
昉						
昊						
昌						
明			朙	眀		
昏					昬	
易						
昔						
昕						
昜				暘		
昞				昺		
星		曐	皨			
映					暎	
昡						
昢						
昤						
春			旾萅			
昧						
昨						
昪						
昫						
昭				炤		
是		昰				
昱						
昳						
昴		𣆻				
昵		暱			眤	
昶						
昼	晝					
晁						
時			旹		时	
晃				晄		
晅						
晉		㬜			晋	
晌						
晎						
晏						
晑						
晗						
晙						
晛						
晞						
晟				晠		
晡						
晢				晣		
晤						
晥						
晦						
晧						
晨		曟				
晩	晚			𣆶		
晪						
晫						
晬						
晭						
普		暜				
景						
晳				晰		
晴	晴			暒	甠	
晶				𣇵		
晷						
晸						
智						
晻						
暀						
暁	曉					
暄				煊		
暇						
暈						
暉						
暍						
暐						
暑	暑					
暖				㬉		
暗						
暙						
暝						
暠						
暢		畼				
暦	曆					
暫						
暬						
暮						
暲						
暳				㬩		
暴		㬥				
暵						
暹						
暻						
暼						
暾						
暿						
曀						
曁						
曄				曅		
曇						
曈						
曏						
曖						
曙						
曚						
曛						
曜						
曝						
曠					昿	
曦					㬢	
曨						
曩						
曬					晒	
曰						
曲						
曳				拽		捙曵
更		㪅				
曷						
書						
曹		𣍘		曺		
曼					㬅	
曽	曾					
替				㬱		
最				㝡冣		
朁						
朅						
月						
有						
朋						
服						
朏			𣍧			
朒						
朓						
朔						
朕		𦨶				
朗	朗	朖				
望		朢				
朝		𦩻				
期				朞		
朣						
朦						
朧						
木						
未						
末						
本					夲	
札						
朮						
朱						
朳						
朴						
朶		朵		䒳		
朷						
朸						
机						
朽				𣏓		
朿						
杁						
杅						
杆					桿	
杈						
杉						
杌						
李						
杏						
材						
村		邨				
杓						𣏐
杔						
杕						
杖						
杗						
杙						
杜						
杝						
杞						
束						
条	條					
杢						
杣						
来	來		徠		耒	
杦						
杪						
杭						
杮		𣏕				
杯		桮			㮎盃	
東						
杲						
杳						
杴						
杵						
杶						
杷						
杻						
杼						
松			梥𰗷	㮤枀枩柗		
板						
极						
构						
枇						
枉						
枋						
枌						
析						
枒						
枓						
枕					𣏝	
林						
枘						
枚						
枛						
果						
枝						
枠						
枡				桝		
枢	樞					
枯						
枰						
枲						
枳						
枴		柺				
枵						
架						
枷						
枸						
枹						
枻				栧		
柀						
柃						
柄				棅		
柅						
柆						
柊						
柍						
柎						
柏				栢		
某						
柑						
染						
柔						
柘						
柙						
柚						
柛						
柝						
柞						
柟		枏				
柢						
柣						
柤						
柧						
柩		匛				
柬						
柮						
柯						
柱						
柳		桺			栁	
柴						
柵				栅		
柶						
柷						
査						查
柼						
柾						
柿		柹				
栂						
栃				杤𣜜		
栄	榮				荣	
栐				柡		
栓						
栗			㮚			
栘						
栝						
栞						
校				挍		
栩						
株						
栫						
栬						
栭						
栱						
栲						
栳						
栴				㮵		
核						
根						
栻						
格						
栽						
桀						
桁						
桂						
桃						
桄						
框						
案				桉		
桍						
桎						
桐						
桑					桒桒	
桓						
桔				㮮		
桕						
桗						
桙						
桛						
桜	櫻					
桟	棧					
桫				桬		
桲						
桴						
桵						
桶						
桷						
桾						
梁					樑	
梂						
梃						
梅	梅		坆	楳槑		
梆						
梏						
梐						
梓			杍	榟		
梔				栀桅		
梖						
梗						
梚						
梛						
梜						
梟						
梠						
梢						
梣						
梧						
梨		棃				
梩						
梪						
梫						
梭						
梯						
械						
梱				棞		
梲						
梳						
梴						
梵						
梶						
梺						
梻						
棄			弃			
棆						
棈						
棉						
棋		棊				
棌						
棍						
棏						
棐						
棒						
棔						
棕		椶				
棖						
棗						
棘						
棙						
棚						
棟						
棠						
棡						
棣						
棤						
棨						
棫						
棬						
棭						
森						
棯						
棰						
棱						
棲					栖	
棷						
棹						
棺						
棻						
棼						
椀						
椁				槨		
椃						
椄						
椅						
椇						
椈						
椊						
椋						
椌						
植				㯰		
椎						
椏						
椒						
椓						
椙						
椚						
椛						
検	檢					
椡						
椣						
椥						
椨						
椪						
椰				㭨		
椴						
椵						
椸						
椹						
椻						
椽						
椿						
楂						
楆						
楉						
楊						
楓						
楔						
楗						
楙						
楚						
楛						
楜						
楝						
楞						
楠						
楡						
楢						
楣						
楤						
楨						
楩						
楪						
楫				檝		
楬						
業						
楮				柠		
楯						
楲						
楴						
極						𣑕
楷						
楸						
楹						
楺						
楼	樓					
楽	樂					
楾				𤭯		
楿						
榀						
榁						
概	槪	槩				
榊						
榎						
榑						
榒						
榔						
榕						
榖						
榛						
榜						
榠						
榥						
榧						
榨						
榭						
榰						
榱						
榲						
榴		橊				
榷						
榺						
榻						
榼					𣖁	
榾						
榿						
槁		槀				
槃				柈		
槅						
槇					槙	
槊				㮶		
構						
槌						
槍						
槎						
槏						
槐						
槓				杠		
槔				槹		
様	樣					
槝						
槢						
槣						
槥						
槧						
槫						
槭						
槮						
槯						
槲						
槳				㯍		
槴						
槵					梙	
槶					椢	
槻						
槽						
槾						
槿						
樅						
樊			棥			
樋						
樌						
樏						
樒				榓	櫁	
樔						
樕						
樗						
標						
樚						
樛						
樝						
樟						
模				糢		
樢						
権	權					
横	橫					
樫						
樮						
樰						
樲						
樳						
樴						
樵						
樶						
樸					檏	
樹					𣗳	
樺						
樻						
樽		罇		墫𤮐		
樾						
樿						
橄						
橅						
橇						
橈					𣓤	
橉						
橋					槗𣘺	
橌					橺	
橎						
橐					槖	
橑						
橒						
橕				樘		
橖						
橘						
橙						
橛				橜		
機						
橡						
橢					楕	
橤						
橦						
橧						
橲						
橳						
橸						
橾						
橿						
檀						
檃				櫽		
檄						
檉						
檋						
檍						
檎						
檐				簷	櫩	
檑						
檔					档	
檗				檘	蘗	
檜					桧	
檞						
檟						
檠						
檡						
檣				艢	樯	
檥						
檫						
檬						
檮					梼	
檳					梹	
檸						
檻						
檽						
檿				𣝓		
櫂						
櫃						
櫆						
櫓						
櫔						
櫚						
櫛						
櫜						
櫝						
櫞						
櫟					檪	
櫤						
櫧						
櫨					枦	
櫪						
櫬						
櫱				𣡌	蘖	
櫲						
櫳				㰍	槞	
櫺					欞	
欂						
欄	欄					
欅					﨔	
欋						
欏						
欐						
欑						
欒					圝栾	
欖					㰖	
欗						
欘						
欛					𣠽	
欟					𣠤	
欠	欠缺			𡙇	缼	
次						
欣						
欧	歐					
欬						
欯						
欲						
欷						
欸						
欹						
欺						
欻				歘		
欽						
款		㱁			欵	
欿				𣣻		
歃						
歆						
歇						
歉						
歊						
歌				謌		
歍						
歎						
歓	歡					
歔					歔	
歙						
歛						
歟						
歠						
止						
正						
此						
武						
歧						
歩	步					
歪						
歯	齒					
歳	歲					
歴	歷					
歵						
歹		𣦵		歺		
死						
歿				歾	殁	
殀						
殂			𣧫			
殃						
殄						
殆						
殉						
殊						
残	殘					
殍						
殕						
殖						
殛						
殞						
殠						
殣						
殤						
殥						
殩						
殪						
殫						
殭						
殮						
殯						
殲					殱	
殳						
殴	毆					
段						
殷						
殺	殺				煞	
殻	殼	㱿			壳	
殽						
殾						
殿		𣪍				
毀					毁	
毅						
毇						
毈						
毋						
毌						
母						
毎	每					
毒						
比						
毖						
毘		𣬈			毗	
毚						
毛						
毟				挘毮		
毣						
毦						
毧						
毨						
毫						
毬						
毯						
毱						
毳						
毼						
毿						
氂						
氄						
氅				𪅶		
氈					毡氊	
氎						
氏						
氐						
民						
氒						
氓						
气						
気	氣			炁		
氛				𣱦		
氤						
氳						
水						
氷		冰				
永						
氾						
氿						
汀						
汁						
求						
汍						
汎						
汐						
汔						
汕						
汗						
汚		污		汙		
汛						
汜						
汝						
汞						
江						
池						
汢						
汧						
汨						
汩						
汪						
汭						
汰		汏				
汲						
汴		汳				
汶						
決					决	
汽						
汾						
沁						
沂						
沃		𣵽				
沄				澐		
沅						
沆						
沇						
沈					沉	
沌						
沍						
沐						
沓						
沔						
沕						
沖					冲	
沘						
沙						
沚						
沛						
没	沒					
沢	澤					
沫						
沬			湏			
沭						
沮						
沱				沲	𣵺	
河						
沴					𣳅	
沸						
油						
沺						
治						
沼						
沽						
沾						
沿					㳂	
況					况	况
泂						
泄					𣳘	
泅						
泆						
泉			洤	湶		
泊						
泌						
泐						
泓						
泔						
法		灋		㳒		
泖						
泗						
泙						
泚						
泛						
泜						
泠						
泡						
波						
泣						
泥				埿		
注						
泩						
泫						
泬						
泭						
泮				頖		
泯						
泰			夳		㤗冭𣳾	
泱						
泳						
洀						
洄				𭰁		
洊						
洋						
洌						
洎						
洑						
洒						
洗						
洙						
洚						
洛						
洞						
洟						
津			𣸁			
洦						
洧						
洩						
洪						
洫						
洮						
洱						
洲						
洳						
洵						
洶						
洸						
洹						
活			𣴠			
洼						
洽						
派						
洿						
流			㳅			
浄	淨					
浅	淺					
浘						
浙				淛		
浚						
浛						
浜	浜濱				濵	
浞						
浟						
浠						
浡						
浣				澣		
浤						
浥						
浦						
浪						
浬						
浮						
浰						
浴						
海	海					
浸		濅	寖		𣹦	
浹					浃	
浼						
涀						
涂					凃	
涅					𣵀	
涇						
消						
涊						
涍						
涎						
涑						
涒						
涓					㳙	
涔						
涕						
涖				莅蒞		
涗						
涘						
涙	淚			泪		
涪						
涫						
涬						
涮						
涯						
液						
涴						
涵		𣹢				
涸						
涼					凉	
涿						
淀						
淂						
淄						
淅						
淆						
淇						
淈						
淋						
淌						
淎						
淏						
淐						
淑						
淒						
淕						
淖						
淘						
淙						
淝						
淞						
淟						
淡						
淤						
淥						
淦						
淩						
淪						
淫						
淬					㳃	
淮						
深			㴱			
淳					湻	
淵			𣶒		渊渕	
淶						
混						
淹						
添				𣷹	沗	
淼						
清	淸					
渇	渴					
済	濟					
渉	涉					
渋	澁	澀				
渓	溪					
渙						
減					减	
渝						
渞						
渟						
渠						
渡						
渢						
渣						
渤						
渥						
渦						
渧						
渨						
温	溫					
渫						
測						
渭						
渮						
港						
渲						
渶						
游					㳺	
渺						
渼						
渾						
湃						
湄						
湈						
湉						
湊						
湋						
湍						
湎						
湑						
湓						
湔						
湖						
湗						
湘						
湛						
湜						
湞						
湟						
湣						
湧		涌				
湫						
湮						
湯						
湲						
湾	灣					
湿	濕	溼				
満	滿					
溂						
溏						
源						
溓						
準					凖	
溘						
溜		澑				
溝						
溟						
溢						
溥						
溧						
溱						
溲		𣸈				
溴						
溶						
溷						
溺						
溽						
溿				沜		
滀						
滁						
滂				霶		
滃						
滄						
滅						
滇						
滉						
滊						
滋	滋		𦱳			
滌						
滎				濚		
滑						
滓						
滔					㴞	
滕						
滝	瀧					
滞	滯					
滫						
滬						
滲					涁渗	
滴						
滷						
滸						
滹						
滻						
滾					滚	
漁						
漂						
漆			桼	㯃	柒	
漉						
漊						
漌						
漏		屚				
漐						
漑						
演						
漕		𤅍				
漘						
漙						
漚						
漠						
漢	漢					
漪						
漫						
漬			洓			
漭						
漯						
漱						
漲						
漳						
漵						
漶						
漸						
漻						
漼						
漾			瀁			
漿						
潁						
潏						
潑					溌	
潒						
潔				洯	㓗	
潗						
潘						
潙						
潚						
潜	潛				濳	
潝						
潞						
潟					泻	
潠				噀		
潡						
潢						
潤						
潦						
潨		潀		灇		
潭						
潮	潮	𣶃				
潯						
潰						
潸					澘	
潺						
潼						
潽						
潾						
澄		瀓		澂		
澆						
澈						
澌						
澍						
澎						
澖						
澠						
澡						
澥						
澧						
澨						
澪						
澮						
澯						
澱						
澳						
澵						
澶						
澹						
澼						
澾						
激						
濁					浊	
濂						
濃						
濇						
濈						
濉						
濊						
濔						
濘						
濛						
濞						
濠						
濡						
濤					涛	
濩						
濫						
濬		𣽊				
濮						
濯						
濰						
濹						
濺						
濼						
濾					沪	
瀀						
瀅						
瀆					涜	
瀇						
瀉						
瀊						
瀋						
瀏						
瀑						
瀕						
瀘						
瀚						
瀛						
瀝						
瀞					瀞	
瀟						
瀣						
瀦					潴	
瀬	瀨					
瀯						
瀰					㳽	
瀲						
瀹						
瀺						
瀼						
瀾						
灃						
灊						
灌					潅	
灑					𤂢	
灕				漓		
灘						
灝					𤂖	
灞				㶚		
灤						
灥						
灩		𤅿			灎灔灧	
火						
灯	灯燈					
灰		𤆆				
灸						
灺				炧		
灼						
災		烖	災	灾		
炅						
炆						
炉	爐					
炊						
炎						
炒						
炕						
炘				焮		
炙						
炟						
炫						
炬						
炭	炭					
炮						
炯					烱	
炰						
炱				炲		
炳						
炷						
炸						
点	點					
為	爲					
炻						
烈						
烊						
烋						
烏						
烑						
烓						
烔						
烘						
烙						
烜						
烝						
烤						
烹						
烽		㷭		熢		
焄						
焆						
焇						
焉						
焌						
焙						
焚		燓				
焜						
焞						
焠						
無						
焦		𤓪				
焯						
焰		燄	熖		㷔焔	
焱						
然						
焼	燒					
煁						
煆						
煇						
煉						
煌						
煎						
煐						
煒						
煓						
煕			焈	凞熈凞	熙	𤋮
煖				煗		
煙				烟	𤇆	
煜						
煠						
煢				㷀	焭	
煤						
煥						
煦						
照						
煨						
煩						
煬						
煮	煮	䰞		煑		
煽						
熀						
熄						
熅					煴	
熇						
熊						
熏					燻	
熒						
熕						
熛						
熟						
熠						
熨						
熬						
熮						
熯						
熱					热	
熳						
熹				熺		
熾						
燀						
燁				爗		
燃						
燉						
燋						
燎		𤊽			尞	
燐						
燔						
燕						
燖						
燗					𤏐	
燙						
燜						
燠						
燥						
燦						
燧						
燬						
燭						
燮					爕	
燵						
燹						
燼		㶳			烬	
燾						
燿						
爁						
爆						
爇				焫		
爓						
爚						
爛		爤				
爝						
爨						
爪						
爬						
爰						
爵	爵	𩰦		𣝣		
父						
爸						
爹						
爺			𤕓			
爻						
爽						
爾				尒	尓尔	
爿						
牀						
牂						
牆					墻	
片						
版						
牉						
牌						
牒						
牓						
牖				牗		
牘						
牙						
牚						
牛						
牝						
牟						
牡						
牢				窂		
牣						
牧						
物						
牮						
牯						
牲						
牴						
牷						
牸						
特						
牼						
牽						
牿						
犀					𡱝	
犂					犁	
犆						
犇						
犍						
犎						
犒						
犖						
犛						
犠	犧					
犢					㸿	
犬						
犮						
犯						
犰						
犱						
状	狀					
狁						
狂						
狃						
狄						
狆						
狉		豾				
狎						
狐						
狒						
狖				㹨		
狗				㺃		
狙						
狛						
狠						
狡						
狩						
独	獨					
狭	狹					
狳						
狴						
狷						
狸		貍				
狺						
狻				䝜		
狼						
狽						
猇						
猊				貎		
猋						
猓						
猖						
猗				䝝		
猘						
猙						
猛					勐	
猜						
猝						
猟	獵				𤢪	
猢		𪕮				
猥						
猧						
猩				狌		
猫		貓				
献	獻					
猱						
猲						
猴		㺅				
猵						
猶					犹	
猷						
猹						
猺						
猽						
猾						
猿		猨			𫞤	
獄			𡈭			
獅						
獒						
獗						
獝						
獞						
獟						
獠				䝤		
獣	獸					
獦						
獧						
獩						
獪						
獫				玁		
獬						
獮		𤣐				
獯						
獰						
獱						
獲						
獷						
獺				㺚		
獼						
玀						
玃				貜𤣓		
玄						
玆						
率						
玉						
玊						
王						
玔						
玕						
玖						
玘						
玜						
玞				砆		
玠						
玢						
玥						
玦						
玩						
玫						
玲						
玵						
玷						
玹						
玻						
玼						
玿						
珀						
珂						
珅						
珈						
珉				玟	䃉瑉	
珊						
珋						
珍					珎	
珏		玨				
珖						
珙						
珞						
珠						
珣						
珥						
珧						
珩						
班		𤤻				
珮						
珸						
珹						
珺						
現						
球						
琅					瑯	
理						
琇						
琉		𤥗				
琊						
琓						
琚						
琛						
琤						
琥						
琦						
琨						
琪						
琫						
琬						
琮						
琯						
琰						
琱						
琲						
琳						
琴		珡			琹	
琵						
琶						
琺					珐	
琿						
瑀						
瑁						
瑃						
瑄						
瑆						
瑋						
瑍						
瑒						
瑓						
瑕						
瑗						
瑚						
瑛						
瑜						
瑝						
瑞						
瑟						
瑠				璢		
瑢						
瑣					𤨏	
瑤					瑶	
瑩						
瑪						
瑫						
瑭						
瑰				瓌		
瑱						
瑳						
瑾						
璀						
璁						
璃				瓈		
璅						
璆						
璇						
璈						
璉						
璋						
璐						
璒						
璗						
璘						
璙						
璜						
璞						
璟						
璠						
璡						
璣						
璥						
璦						
璧						
璨						
璩						
璪						
璫						
環						
璵						
璹						
璺						
璻						
璽				壐	玺	
璿						
瓊				琁		
瓏						
瓔					珱	
瓖						
瓘						
瓚					瓉	
瓜						
瓞						
瓠						
瓢						
瓦					𤬦	
瓧						
瓩						
瓫						
瓮						
瓰						
瓱						
瓲						
瓴						
瓶	甁			缾	缾	
瓷				𦈱	甆	
瓸						
瓺				𤭖		
瓿						
甃						
甄						
甅						
甌					瓯	
甍						
甎					磚	
甑				䰝		
甓						
甕				罋		
甗			鬳			
甘						
甚						
甜		甛				
生						
産	產					
甤						
甥						
甦				𤯳		
用						
甪						
甫						
甬						
田						
由						
甲						
申						
甶						
男						
甸						
町				甼		
画	畫	𤰱			畵	
甾						
畀		畁				
畈						
畉						
畋						
界				堺畍𨺬		
畎			甽𤰝			
畏						
畐						
畑						
畔						
留		畱			畄	
畚						
畛					𤱏	
畜		𤲸				
畝		畮	畞	㽗畒𤰖	畆	
畠						
畢		𤲃				
畤						
略					畧	
畦						
畩						
番						
畬				畭畲		
畯						
異	異					
畳	疊	㬪		疉	疂	
畷						
畸						
畹						
畻		塍			堘𣎒	
畽		疃				
畿						
疁						
疆		畺			壃疅	
疇					畴	
疋						
疌						
疎					踈	
疏					䟽	
疑						
疒						
疔						
疚						
疝						
疢						
疣				肬		
疥						
疫						
疰						
疱						
疲						
疳						
疵						
疸						
疹					𤺋	
疼						
疽						
疾						
疿						
痀						
痁						
痂						
痃						
病						
痆						
症						
痊						
痍						
痎						
痏						
痒						
痓						
痔						
痕						
痗						
痘						
痙						
痛						
痝						
痞						
痟						
痠						
痡						
痢						
痣						
痤						
痧						
痩	瘦	𤸃		膄		
痬						
痰						
痱						
痲						
痳						
痴	癡					
痺		痹				
痼						
痾						
痿						
瘀						
瘁					疩	
瘃						
瘇		𤺄				
瘈						
瘋						
瘍						
瘏						
瘐						
瘓						
瘕						
瘖						
瘙						
瘛						
瘜						
瘞				𨻊		
瘟						
瘠						
瘡						
瘢						
瘤		癅				
瘥						
瘧						
瘭						
瘰						
瘳						
瘴						
瘵						
瘻					瘘	
瘼						
癁						
療						
癃				𤸇		
癆						
癇						
癈						
癉						
癋						
癌						
癒				瘉		
癖						
癘		𤼚				
癙						
癜						
癢						
癤						
癥						
癧						
癨						
癩						
癪						
癬						
癭				𩖍		
癮				𤻘		
癰				臃	癕	
癱						
癲				瘨		
癴		𤼙				
癶						
癸						
発	發					
登						
白						
百						
皀						
皁				梍	皂	
的		旳				
皆						
皇						
皋				皐	臯	
皎				晈		
皓						
皕						
皖						
皙						
皚						
皛						
皜						
皝						皩
皞		暤		暭	曍皡皥	
皠						
皤						
皦						
皧						
皪						
皭						
皮						
皯						
皰				靤		
皴						
皸				皹		
皺						
皻				皶		
皿						
盂		𥁄		𥁄		
盅						
盆						
盈						
盉						
益	益					
盌					碗	
盍		𥁋			盇	
盎				㼜		
盒						
盔						
盗	盜					
盛	盛					
盞				琖醆𧣴		
盟		𥂗				
監						
盤						
盥						
盦						
盧						
盨						
盩						
盪					蘯	
盬						
目						
盱		𥃳		𥅚		
盲						
直						
相				𥄢		
盻						
盼						
盾						
省						
眄						
眇						
眈						
眉						
眊						
看						
県	縣					
眙						
眚						
眛						
眜						
真	眞					
眠						
眢						
眥				眦		
眩						
眭						
眯						
眴		䀏				
眵						
眶						
眷				睠		
眸						
眺						
眼		𥆢				
眽				覛	眿	
着						
睅						
睆						
睇						
睊						
睍						
睎						
睒						
睚						
睛						
睜						
睟						
睡						
睢						
督						
睥				睤		
睦						
睨					𥆩	
睪		𥇡				
睫						
睲						
睹			覩			
睺						
睼						
睽						
睾						
瞀						
瞋						
瞍		𥈟				
瞎						
瞏					睘	
瞑						
瞔						
瞞					𥈞	
瞟						
瞠				瞪		
瞢		𥊄			矒	
瞤						
瞥						
瞬				瞚		
瞭				暸		
瞯				覵	𥊺	
瞰				矙		
瞳						
瞵						
瞶						
瞹						
瞻						
瞼					𥇥	
瞽						
瞿						
矇						
矉						
矍						
矎						
矐				𥉑		
矑						
矔						
矕						
矖						
矗						
矚					瞩	
矛			𢦧𨥨			
矜						
矞						
矟						
矠						
矢				笶		
矣						
知						
矧				矤		
矩				榘		
矪						
矬						
短						
矮						
矯						
矰				𢨉		
石						
矻						
矼						
砂						
砅						
砉						
砌						
砍						
砒				磇		
研	硏					
砕	碎					
砙						
砠						
砡						
砥						
砦						
砧				碪		
砬						
砭						
砮						
砰				硑		
砲				礮		
破						
硃						
硅						
硇						
硜						
硝						
硠						
硤						
硨						
硪						
硫						
硬						
确				埆礐		
硯						
硲						
硴						
硼						
碁						
碆						
碇				矴		
碊					𥒎	
碌						
碍		礙				
碑	碑					
碓						
碔						
碕					𥔎	
碚						
碝						
碞						
碟						
碣						
碤						
碧						
碩						碵
碭						
碯				瑙		
確				碻		
碼						
碾					𥑊	
磁	𥔵					
磅						
磆						
磈						
磊						
磋						
磌						
磐						
磑						
磔						
磕				礚		
磠						
磡						
磤						
磦						
磧						
磨		䃺				
磬						
磯						
磲						
磴						
磷						
磹						
磻						
磽				墝墽		
磾						
磿						
礁						
礇						
礉						
礌				礧		
礎						
礑						
礒						
礛						
礜						
礥						
礩						
礪					砺	
礫						
礬						
礰						
礱				礲		
礴						
示						
礼	禮		礼			
社	社					
礿				禴		
祀				禩		
祁						
祅						
祆						
祇						
祈	祈					
祉	祉					
祊						
祏						
祓				𥘬		
祔						
祖	祖					
祗						
祚						
祛						
祜						
祝	祝					
神	神					
祟						
祠						
祡						
祥	祥					
祧						
票		𤐫				
祫						
祭						
祲						
祹						
祺						
祼						
祿					禄	
禁						
禅	禪					
禊						
禋						
禍	禍		旤			
福	福					
禔						
禕						
禖						
禘						
禛						
禜						
禡						
禦						
禧						
禨						
禰					祢	
禱					祷	
禳						
禸						
禹						
禺						
离						
禽						
禾						
禿						
秀						
私						
秂						
秈						
秉						
秋		秌	龝𥤛		穐	
种						
科						
秒				䅺蔈		
秕				粃		
秖						
秘	祕					
秞						
租						
秡						
秣		䬴				
秤						
秦						
秧						
秩						
秫						
秬						
秭					𥝱	
称	稱				穪	
移						
稀						
稂						
稃						
稈				秆		
稊		蕛				
程						
稌						
稍						
税	稅					
稑						
稔						
稕						
稗						
稘						
稙						
稚		稺		穉		
稛						
稜						
稞						
稟					禀	
稠						
稭						
種						
稲	稻					
稷				禝		
稹						
稼						
稽					𥡴	
稿		稾				
穀	穀				糓	
穂	穗			穟		
穃						
穅				粇糠		
穆						
穇						
積						
穎					頴	
穏	穩					
穖						
穙						
穜						
穝						
穡						
穢						
穧						
穫						
穭						
穰					穣	
穴						
穵						
究						
穸						
穹						
空						
穽		阱				
穿						
窀						
突	突					
窃	竊					
窄						
窅						
窆						
窈						
窊						
窋						
窌						
窐						
窒						
窓		窗		牕窻	䆫	
窔						
窕						
窖						
窘						
窙						
窟						
窠						
窣						
窩						
窪		漥				
窬						
窮		竆				
窯				窰	窑	
窳						
窸						
窹						
窺						
窼						
窾						
窿					㝫	
竄					𮄒	
竅						
竇						
竈					䆴灶竃𥧄	
立						
竌						
竍						
竎						
竏						
竑						
竓						
竕						
竘						
站						
竜	龍					
竟						
章						
竡						
竢						
竣						
童						
竦						
竧						
竨						
竭						
端						
竰						
竴						
競				竸		
竹						
竺						
竽		𥫡				
竿						
笂						
笆						
笇						
笈						
笊						
笏						
笑			关		㗛	
笒						
笘						
笙						
笛						
笞						
笠						
笥						
符						
笨						
笪						
笫						
第						
笭						
笮						
笯						
笱				𦊒		
笳						
笴						
笹						
笽						
筁						
筅				箲		
筆				笔		
筇					笻	
筈						
等						
筋				觔	荕	
筌						
筍				笋		
筎						
筏				栰橃		
筐					筺	
筑						𥬑
筒						
筓					笄	
答						
筕						
策					萗	
筟						
筠						
筤						
筥						
筦						
筧				梘		
筩						
筬						
筮			𥰫	簭		
筰						
筲						
筳						
筴						
筵						
箇						
箋			㮍	椾牋	䇳	
箍						
箏					筝	
箐						
箑						
箒				帚	菷	
箔						
箕						
算		筭	祘			
箘				䇹箟		
箙						
箚				剳劄		
箛						
箜						
箝						
箞						
箠						
管						
箬				篛		
箭						
箯						
箱						
箴						
箵						
箸				筯		
箼						
箾						
節	節					
篁						
範				笵		
篅						
篆						
篇						
築						
篊						
篋		匧				
篌						
篔						
篖						
篙				㰏		
篚						
篝				𥵡		
篠		筱			筿	
篡					簒	
篤					䔍	
篥						
篦					箆	
篩		籭		簁		
篪		䶵		竾	箎	
篰						
篲						
篳						
篶						
篷						
篸						
簀						
簃						
簇						
簋				𣪘		
簍						
簎						
簏						
簓						
簗					𥱋	
簞					箪	
簟						
簠				㝬		
簡	𥳑					
簣						
簦						
簧						
簨						
簪						
簫						
簬			簵			
簳						
簶						
簸						
簽						
簾						
簿						
籃						
籅					𥫣	
籊						
籌					筹	
籍						
籏					簱	
籐				籘		
籒					籀	
籔					䉤	
籗						
籙						
籜						
籞						
籟						
籠					篭	
籡						
籤					籖	
籧						
籩						
籬						
籮						
籯						
籰					篗	
米						
籵						
籹						
籾						
粁						
粂						
粉						
粋	粹					
粍						
粏						
粐						
粒						
粔						
粕						
粗						
粘		黏				
粛	肅					
粟						
粠						
粡						
粢						
粤						
粥		鬻				
粧						
粨						
粫						
粭						
粱						
粲						
粳		秔		稉		
粶						
粷						
粼				𥻘		
精	精					
粿						
糀						
糂						
糄						
糅						
糈						
糉				粽		
糊						
糍				𩝐		
糎						
糒						
糖	糖	餳		糛餹𥼽	𥹥	
糗						
糘						
糙						
糜						
糝						
糞						
糟						
糧					粮	
糫						
糯		稬		穤		
糱					糵	
糲		䊪				
糴					籴	
糶					粜	
糸	糸絲				𮈔	
系						
糾				糺		
紀						
紂						
紃						
約						
紅						
紆						
紇						
紈						
紉						
紊						
紋						
納						
紐						
紒						
紓						
純						
紕						
紗						
紘				綋		
紙					帋	
級						
紛						
紜						
紝				絍		
紞						
素						
紡						
索						
紫						
紬						
紮					紥	
累		纍		絫縲		
細						
紱						
紲				絏緤		
紳						
紵						
紹						
紺						
紼						
紽						
紾						
紿						
絀						
絁						
終						
絃						
組						
絅						
絆						
絇						
