親字	旧字	正字	本字	同字	古字	簡易	俗字
懡							
懢							
懣							𢡛
懥							
懦				愞懧			
懩							
懬							
懭							
懮							
懯							
懲	懲						
懶							懶
懸							
懺							懴
懼							
懽							
懾							
懿							
戁							
戃							
戄							
戇							
戈							
戉							
戊							
戌							
戍							
戎							
成	成						
我							
戒							
戓							
戔							
戕							
或							
戚							
戛							戞
戜							
戟			𢧢				
戠							
戡							
戢							
戣							
戦	戰						
戩							
截			𢧵				
戫							
戮							
戯	戲						戱
戳							
戴	戴						
戸	戶						户
戹							
戻	戾						
戽							
房							
所							
扁							
扂							
扃							
扄							
扆							
扇							
扈							
扉							
手							
才							
扎							
扐							
扑							
扒							
打							
扔							
払	拂						
扖							
托							
扚							
扛							
扜							
扞				捍			
扠							
扡							
扣							
扤							
扨							
扭							
扮							
扯							
扱							
扳							
扶							
批			𢱧				
扺							
扻							
扼				㧖			
扽							
找							
承							𣴎
技							
抃							
抄							
抉				刔			
把							
抍							
抎							
抏							
抐							
抑							
抒							
抓							
抔							
投							
抖							
抗							
折			㪿				
抙							
抜	拔						㧞
択	擇						
抦							
抨							
披							
抱							
抳							
抴							
抵							
抶							
抷							
抹							
抺							
抻							
押							
抽							
抾							
抿							
拄							
担	擔担						
拆							
拇							
拈							
拉							
拊							
拋							抛
拌							
拍			𢫦				
拎							
拐							
拑							
拒							
拓							
拖				拕			
拗							
拘							抅
拙							
拚							
招							
拝	拜						
拠	據						㩀
拡	擴			挄			
拪							
括							
拭							
拮							
拯							
拱							
拲							
拳							
拴							
拵							
拶							
拷							
拽							
拾							
拿		拏					
持							
挂							
挃							
指					𢫾		
挈							
按							
挊							
挋							
挌							
挍							
挐							
挑							
挓							
挖							
挙	擧			舉			
挟	挾						
挧							
挨							
挪							
挫							
挭							
振							
挲							
挵							
挶							
挹							
挺							
挻							
挼							
挽							
挿	插						揷
捁							
捂							
捃			攈				
捄							
捆							
捉							
捊							
捋							
捌							
捎							
捏							揑
捐							捐
捒							
捔							
捕							
捗							
捘							
捙							
捛							
捜	搜						搜
捥				𢪸			
捦							
捧							
捨							
捩							
捫							
捬							
捭							
据							
捱							
捲							
捵							
捶							
捷							
捸							
捺							
捻							
捼							
捽							
掀							
掂							
掃				埽			
掄							
掇							
授							
掉							
掊							
掌							
掎							𢰤
掏							
掐							
排							
掔							
掕							
掖							
掘							
掙							
掚							
掛							
掞							
掟							
掠							
採							
探							
掣							
掤							
接				擑			
掦							
控							
推							
掩							
措							
掫							
掬							
掭							
掮							
掯							
掲	揭						
掵							
掽							碰
掾							
揀							
揁							
揃							
揄							
揆							
揈							
揉							
揎							
描							
提							
揓							
揕							
揖							
揚							
換							
揜							
揠							
握							
揣							
揥							
揩							
揪							
揫							
揬							
揮							
揲							
揳							
援							
揵							
揶				捓			
揸							
揹							
揺	搖						
搆							
搉							
搊							
損							
搏							
搐							
搒							
搓							
搔						掻	
搕							
搗							
搘							
搞							
搠							
搢							搢
搤							
搥							
搦							
搨							
搩							
搪							
搬							
搭				撘			
搯							
搰							
搴							
搵							
搶							
携		攜					㩗㩦擕
搽							
搾							
搿							
摂	攝						
摋							
摎							
摏							
摑							掴
摒							
摓							
摔							
摕							
摘							
摚							
摛							
摜							
摝							
摟							
摡							
摣							
摧							
摩							擵
摭							
摯							
摳							
摴							
摶							
摸							
摹							
摺							
摻							
摽							
撃	擊						
撅							
撇							
撈							𢭐
撏							
撐							撑
撒							
撓							
撕							
撙							
撚							
撛							
撝							
撞							
撟							
撡							
撣							
撤							
撥							
撦							
撨							
撩							
撫							
撬							
播							
撮							
撰							
撲							
撳							
撻							
撼							
撽							
撾							
撿							𢮦
擁							
擂							
擄							
擅							
擉							
擋							
擌							
操							
擎							
擐							
擒							
擗							
擘							
擠							
擡							抬
擢							
擣							𢭏
擤							
擦							
擩							
擪							
擬							
擭							
擯							
擰							
擱							
擲							
擶							
擷							
擺							
擻							
擽							
擾							
擿							
攀							
攁							
攄							
攉							
攊							
攌							
攏							
攓							
攔							
攕							
攖							
攘							
攙							
攛							
攞							
攟							
攢							攅
攣							
攤							
攦							
攩							
攪						撹	
攫				爴			
攬				擥			
攮							
支							
攱							
攲				敧			
攴				攵			
攷							
攸							
改							
攺							
攻							
攼							
攽							
放							
政							
敂							
敃							
敄							
故							
敇							
敉				侎			
敏	敏				勄		
敐							
救							
敒							
敔							
敖							
敗					贁		
教	敎						
敝							
敞							
敠							
敢							
散							
敦							
敫							
敬							
数	數						𢿙
敲					䯨		㪣
整							
敵							
敷					旉		
敽							
斁					歝		
斂							
斃							
斄							
文							
斉	齊				亝		斊
斌							
斎	齋						斋
斐							
斑			辬				
斒							
斕							
斗							
料							
斛							
斜							
斝							
斟				酙			
斠							
斡							
斣							
斤							
斥							
斦							
斧				𨨞			
斨							
斫							
斬							
断	斷		𣃔				
斮							
斯							
新							
斲				𠠇			斵
斳							
斴							
斸							
方							
於							扵
施							
斿							
旁			㫄				
旂							
旃							
旄							
旅	旅						
旆							
旋							
旌							
旎							
族							
旐							
旒				㐬			旈
旔							
旖							
旗							
旛							旙
旝							
旟							
旡							
既	旣						既
日							
旦							
旧	舊						𦾔
旨							㫖
早							
旬							
旭							
旰							
旱							
旲							
旴							
旵							
旺							
旻							
旼							
旿							
昀							
昂							昻
昃							
昄							
昆							
昇							曻
昈							
昉							
昊			昦	𣆧			
昌							
昍							
明					朙		
昏				昬			
昑							
昒							
易							
昔							
昕							
昖							
昜							
昝							
星			曐		皨		
映							暎
昡							
昢							
昣							
昤							
春			萅		旾		
昧							
昨							
昩							
昪							
昫							
昭							
昮							
是							
昰							
昱							
昳							
昴			𣆻				
昵							暱眤
昶							
昹							
昺				昞			
昼	晝						
晀							
晁							
時					旹		时
晃				晄			
晅							
晆							
晈							
晊							
晋	晉		㬜				
晌							
晎							
晏							
晑							
晒				曬			
晗							
晘							
晙							
晛							
晜							
晞							
晟				晠			
晡							
晢				晣			
晤							
晥							
晦							
晧							
晨				曟			
晩	晚			𣆶			
晪							
晫							
晬							
晭							
普			暜				
景							
晰				晳			
晴	晴			夝			
晵							
晶							
晷							
晸							
晹							
智							
晻							
晼							
晾							
晿							
暀							
暁	曉						
暃							
暄				煊			
暇							
暈							
暉							
暋							
暌							
暍							
暐							
暑	暑						
暒							
暖				煗			
暗							
暘							
暙							
暚							
暛							
暝							
暟							
暠							
暢							
暦	曆						
暫							
暬							
暮							
暲							
暴			㬥				
暵							
暸							
暹							
暻							
暼							
暾							
暿							
曀							
曁							
曂							
曃							
曄							
曇							
曈							
曎							
曏							
曔							
曖							瞹
曙							
曚							
曛							
曜							
曝							
曠							昿
曦							㬢
曨							
曩							
曫							
曮							
曰							
曲							
曳							曵
更			㪅				
曷							
書							
曹			𣍘	曺			
曼							㬅
曽	曾						
替				㬱			
最							㝡冣
朁							
朅							
朇							
月							
有							
朋							
服							
朎							
朏							
朒							
朓							
朔							
朕							
朗	朗		朖				
望			朢				
朜							
朝							
期				朞			
朠							
朣							
朦							
朧							
木							
未							
末							
本							夲
札							
朮							
朱							
朳							
朴							
朶				䒳朵			
朷							
朸							
机							
朽							𣏓
朾							
朿							
杁							
杅				桙			
杆							桿
杇							
杈							
杉				檆			
杌							
杍							
李							
杏							
材							
村					邨		
杓							𣏐
杔							
杕							
杖							
杙							
杜							
杝							
杞							
束							
杠							
条	條						
杢							
杣							
来	來						耒
杦							
杪							
杬							
杭							
杮			𣏕				
杯			桮				盃
東							
杲							
杳							
杴							
杵							
杶							
杷							
杻							
杼							
松				㮤枀枩柗	梥		
板							
极							
构							
枇							
枉							抂
枋							
枌							
枎							
析							
枑							
枒							
枓							
枕							
枖							
林							
枘							
枙							
枚							
枛							
果							
枝							
枠							
枡						桝	
枢	樞						
枯							
枰							
枱							
枲							
枳							
枵							
架							
枷							
枸							
枹							
枻				栧			
枼							
枽							
柀							
柂							
柃							
柄							
柅							
柆							
柈							
柉							
柊							
柎							
柏							栢
某							
柑							
染							
柔							
柘							
柙							
柚							
柛							
柜							
柝							
柞							
柟				枏			
柢							
柤							
柦							
柧							
柩				匛			
柬							
柮							
柯							
柰							
柱							
柲							
柳			桺				栁
柴							
柵				栅			
柶							
柷							
柸							
柺				枴			
査							查
柼							
柾							
柿				柹			
栂							
栃				杤𣜜			
栄	榮						荣
栐				柡			
栓							
栔							
栖							
栗			㮚				
栘							
栙							
栝							
栞							
校							
栨							
栩							
株							
栫							
栬							
栭							
栯							
栱							
栲							𣑥
栳							
栴							
核							
根							
栻							
格							
栽							
栿							
桀							
桁							
桂							
桃							
桄							
桅							
框							
案							
桉							
桊							
桍							
桎							
桐							
桑							桒桒𥸮
桓							
桔							
桕							
桗							
桛							
桜	櫻						
桟	棧						
桫							
桯							
桰							
桱							
桲							
桴							
桵							
桶							
桷							
桹							樃
桻							
桼							
桾							
梁							樑
梂							
梃							
梅	梅			楳	槑		
梆							
梈							
梏							
梐							
梓							
梔				栀			
梖							
梗							
梘							
梙							
梚							
梛							
梜							
梟							
梠							
梡							
梢							
梣							
梧							
梨			棃				
梩							
梪							
梫							
梬							
梭							
梮							
梯							
械							
梱							
梲							
梳							
梴							
梵							
梶							
梺							
梻							
棄					弃		
棅							
棆							
棈							
棉							
棋		棊		檱			
棌							
棍							
棏							
棐							
棑							
棒							
棓							
棔							
棕		椶					
棖							
棗							
棘							
棙							
棚							
棜							
棝							
棟							
棠							
棡							
棣							
棤							
棥							
棨							
棪							
棫							
棬							
棭							
森							
棯							
棰							
棱				楞			
棲				捿			
棵							
棶							
棷							
棹							
棺							
棻							
棼							
棽							
椀							
椂							
椃							
椄							
椅							
椆							
椇							
椈							
椊							
椋							
椌							
植				㯰			
椎							
椏							
椐							
椑							
椒							
椓							
椖							
椗							
椙							
椚							
椛							
検	檢						
椡							
椣							
椥							
椦							
椨				﨓			
椪							
椰				㭨			
椱							
椳							
椴							
椵							
椸							
椹							
椻							
椽							
椿							
楂							
楅							
楆							
楉							
楊							
楎							
楓							
楔				榍			
楕		橢					
楗							
楙							
楚							
楛							
楜							
楝							
楠							
楡							
楢							
楣							
楤							
楥							楦
楨							
楩							
楪							
楫				檝			
楬							
業							
楮							
楯							
楰							
楱							
楲							
楴							
極							
楷							
楸							
楹							
楺							
楻							
楼	樓						
楽	樂						
楿							
榀							
榁							
概	槪			槩			槪
榊							
榎							
榑							
榒							
榔							
榕							
榖							
榛							
榜							
榠							
榡							
榥							
榧							
榨							
榫							
榭							
榯							
榰							
榱							
榲							榅
榴			橊				
榷							
榸							
榺							
榻							
榼							
榾							
榿							
槁				槀			
槃							
槅							
槈							
槊				㮶			
構							
槌				桘			
槍							
槎							
槏							
槐							
槓							
様	樣						
槙	槇						
槝							
槢							
槣							
槥							
槧							
槨				椁			
槫							
槭							
槮							
槯							
槱				梄			
槲							
槳				㯍			
槴							
槵							
槶							椢
槹							
槻							
槽							
槾							
槿							
樀							
樁							
樅							
樊							
樋							
樌							
樏							
樒				櫁			
樔							
樕							
樗							
標							
樚							
樛							
樝							
樟							
樠							
模				橅			
樢							
樤							
樨							
権	權						
横	橫						
樫							
樮							
樰							
樲							
樳							
樴							
樵							
樶							
樸							
樹							𣗳
樺							
樻							
樽				墫罇			
樾							
樿							
橄							
橆							
橇							
橈							𣓤
橉							
橋							槗𣘺
橌							橺
橎							
橐							槖
橑							
橒							
橕							
橖							
橘							
橙							
橛				橜			
機							
橡							
橤							
橦							
橧							
橪							
橲							
橳							
橸							
橾							
橿							
檀							
檁							
檃							
檄							
檇							
檉							
檋							
檍							
檎							
檐							
檑							
檔							档
檗							蘗
檛							
檜							桧
檞							
檟							
檠							
檡							
檣				艢			
檥							
檫							
檬							
檮							梼
檯							
檰							
檳							梹
檴							
檸							
檻							
檽							
檾							
檿							
櫂							
櫃							
櫆							
櫉							
櫌							
櫏							
櫐							
櫑							
櫓							
櫔							
櫖							
櫚							
櫛							
櫜							
櫝							
櫞							
櫟							檪
櫤							
櫧							
櫨							枦
櫪							
櫬							
櫰							
櫲							
櫳							槞
櫺							
櫼							
櫽							
欂							
欃							
欄	欄						
欅							﨔
欆							
欇							
欉							
欋							
欏							
欐							
欑				櫕			
欒							栾
欖							
欗							
欛							𣠽
欞							
欟							𣠤
欠	缺欠			𡙇			缼
次							
欣							
欧	歐						
欨							
欫							
欬							
欯							
欲							
欶							
欷							
欸							
欹							
欺							
欻				歘			
欽							
款							欵
欿							
歃							
歆							
歇							
歉							
歊							
歌				謌			
歍							
歎							
歒							
歓	歡						
歔							歔
歙							
歛							
歟							欤
歠							
止							
正							
此							
武							
歧							
歩	步						
歪							
歫							
歯	齒						
歰							
歳	歲				亗		
歴	歷						
歵							
歹			𣦵	歺			
死							
歽							
歾							
歿							殁
殀							
殂							
殃							
殄							
殅							
殆							
殉							
殊							
残	殘						
殍							
殕							
殖							
殗							
殛							
殞							
殟							
殠							
殢							
殣							
殤							
殨							
殩							
殪							
殫							
殬							
殭							
殮							
殯							
殰							
殲							殱
殳							
殴	毆						
段							
殷							
殸							
殹							
殺	殺						煞
殻	殼		㱿				壳
殽							
殾							
殿							
毀							毁
毃							
毄							𣪠
毅							
毇							
毈							
毋							
毌							
母							
毎	每						
毒							
比					夶		
毖							
毘				毗			
毚							
毛							
毟				挘毮			
毣							
毦							
毧							
毫							
毬							
毯							
毱							
毳							
毷							
毹							
毿							
氂							
氄							
氅							
氈							毡氊
氉							
氍							
氎							
氏							
氐							
民							
氒							
氓							
气							
気	氣						
氙							
氛							
氟							
氤							
氦							
氧							
氨							
氬							
氮							
氳							
水							
氷		冰					
永				𣱵			
氻							
氾							
氿							
汀							
汁							
求							
汊							
汋							
汍							
汎							
汏							
汐							
汒							
汔							
汕							
汗							
汚			污	汙			
汛							
汜							
汝							
汞							
江							
池							
汢							
汧							
汨							
汩							
汪							
汭							
汯							
汰							
汲							
汴				汳			
汶							
汸							
決							决
汻							
汽							
汾							
沁							
沂							
沃							
沄							
沅							
沆							
沇							
沈							沉
沌							
沍							
沐							
沓							
沔							
沕							
沖							冲
沘							
沙							
沚							
沛							
沜							
沟							
没	沒						
沢	澤				㚖		
沫							
沬							
沭							
沮							
沰							
沱				沲			
河							
沴							
沸							
油							
沺							
治							
沼							
沽							
沾							
沿							㳂
況							况
泂							
泄							
泅							
泆							
泉					洤		
泊							
泌							
泍							
泏							
泐							
泑							
泒							
泓							
泔							
法				㳒	佱灋		
泖							
泗							
泙							
泚							
泛							
泜							
泠							
泡							
波							
泣							
泥							
泧							
注							
泩							
泫							
泬							
泭							
泮							
泯							冺
泰							㤗𣳾
泱							
泲							
泳							
洀							
洄							
洇							
洊							
洋							
洌							
洎							
洏							
洑							
洒							
洓							
洗							
洙							
洚							
洛							
洞							
洟							
津			𣸁				
洦							
洧							
洨							
洩							
洪							
洫							
洮							
洯							
洱							
洲							
洳							
洴							
洵							
洶				汹			
洸							
洹							
活			𣴠				
洼							
洽							
派							
洿							
流			流		㳅		
浄	淨						
浅	淺						
浗							
浘							
浙							
浚							
浛							
浜	濱浜						濵
浞							
浟							
浠							
浡							
浣				澣			
浤							
浥							
浦							
浧							
浩	浩			澔			
浪							
浬							
浮							
浯							
浰							
浴							
海	海						
浸			濅	寖			
浹							浃
浻							
浼							凂
涀							
涂				凃			
涅							𣵀
涇							
消							
涊							
涌							
涍							
涎							
涑							
涒							
涓							
涔							
涕							
涗							
涘							
涙	淚			泪			
涪							
涫							
涬							
涮							
涯				漄			
液							
涴							
涵			𣹢				
涷							
涸							
涹							
涼							凉
涽				湣			
涿							
淀							
淂							
淄			湽				
淅							
淆							
淇							
淈							
淊							
淋							
淌							
淎							
淏							
淐							
淑							
淒							
淕							
淖							
淘							
淙							
淛							
淝							
淞							
淟							
淠							
淡							
淢							
淤							
淥							
淦							
淩							
淪							
淫							
淬				㳃			
淮							
淯							
淰							
深			㴱				
淳				湻			
淴							
淵					囦		渊渕
淶							
混							
淹							
添				沗			𣷹
淼							
渀							
渄							
清	淸						
渇	渴						
済	濟						
渉	涉						
渋	澁	澀		歮			
渓	溪			嵠谿			𧮾
渙							
渚	渚						
減							减
渝							
渞							
渟							
渠							
渡							
渢							
渣							
渤							
渥							
渦							
渧							
温	溫						
渫							
測							
渭							
渮							
港							
渲							
渶							
游							㳺
渹							
渺							
渻							
渼							
渾							
湃							
湄							
湅							
湈							
湉							
湊							凑
湋							
湍							
湎							
湏							
湑							
湒							
湓							
湔							
湖							
湗							
湘							
湛							
湜							
湝							
湞							
湟							
湢							
湧							
湨							
湫							
湮							
湯							
湲							
湳							
湶							
湾	灣						
湿	濕			溼			
満	滿						
溂							
溍							
溏							
源							
溓							
準							凖
溘							
溙							
溜			澑				
溝							
溟							
溠							
溢							
溥							
溧							
溭							
溮							
溱							
溲			𣸈				
溳							
溴							
溶							
溷							
溺							
溻							
溽							
溿							
滀							
滁							
滂							
滃							
滄							
滅							
滇							
滈							
滉							
滊							
滋	滋				𦱳		
滌							
滍							
滎							
滏							
滑							
滓							
滔							㴞
滕							
滝	瀧						
滞	滯						
滫							
滬							
滭							
滮							
滲				涁			渗
滴							
滷							
滸							
滹							
滻							
滽							
滾		滚					
漁							
漂							
漆							柒
漈							
漉							
漊							
漌							
漍							
漏							
漐							
漑							
漓							
演							
漕			𤅍				
漖							
漘							
漙							
漚							
漛							
漠							
漢	漢						
漣							
漦							
漩							
漪							
漫							
漬							
漭							
漯							
漰							
漱							
漲							
漳							
漵							
漶							
漸							
漻							
漼							
漾							
漿							
潁							
潏							
潑							溌
潒							
潓							
潔							
潗							
潘							
潙							
潚							
潜	潛						濳
潝							
潞							
潟							
潠							
潡							
潢							
潤							
潦							
潨				灇			
潬							
潭							
潮	潮						
潯							
潰							
潸				澘			
潺							
潼							
潽							
潾							
澃							
澄				澂			
澆							
澇							
澈							
澋							
澌							
澍							
澎							
澐							
澒							
澓							
澖							
澗		㵎		礀			
澚							
澟							
澠							
澡							
澥							
澦							
澧							
澨							
澪							
澮							
澯							
澰							
澱							
澳							
澵							
澶							
澹							
澼							
澾							
激							
濁							浊
濂							
濃							
濇							
濈							
濊							
濔							
濘							
濚							
濛							
濞							
濠							
濡							
濤							涛
濨							
濩							
濫							
濬							
濮							
濯							
濰							
濹							
濺							
濼							
濾						沪	
瀀							
瀁							
瀅							
瀆							涜
瀇							
瀉							泻
瀊							
瀋							
瀍							
瀏							
瀑							
瀕							
瀗							
瀘							
瀚							
瀛							
瀝							
瀞							瀞
瀟							
瀠							
瀣							
瀦				潴			
瀬	瀨						
瀯							
瀰							㳽
瀲							
瀴							
瀷							
瀹							
瀺							
瀼							
瀾							
灂							
灃							
灄							
灈							
灉							
灊							
灌							潅
灎		灩		灔			
灑							𤂢
灒							濽
灕							
灘							
灝				𤂖			
灞				㶚			
灤							
灥							
火							
灯	燈灯						
灰			𤆆				
灸							
灼							
災			烖	灾			
炁							
炅							
炆							
炉	爐						
炊							
炎							
炒							
炔							
炕							
炖							
炘							
炙							
炟							
炤							
炫							
炬							
炭	炭						
炮							
炯							烱
炰							
炱							
炳							
炴							
炷							
炸							
点	點						奌
為	爲						
炻							
烈							
烊							
烋							
烏							
烑							
烓							
烔							
烕							
烘							
烙							
烜							
烝							
烤							
烹							
烺							
烽			㷭	熢			
焃							
焄							
焅							
焆							
焇							
焉							
焋							
焌							
焙							
焚				燌			
焜							
焞							
焠							
無				无			
焦							
焫							
焮							
焯							
焰				燄爓	熖		㷔焔
焱							
然							
焸							
焼	燒						
煁							
煆							
煇							
煉							
煋							
煌							
煎							
煐							
煒							
煓							
煖							
煙				烟𤇆			
煚							
煜							
煠							
煢				㷀焭			
煣							
煤							
煥							
煦							
照				曌瞾			
煨							
煩							
煬							
煮	煮			煑			
煹							
煽							
熀							
熄							
熅							煴
熇							
熊							
熌							
熏							
熒							
熔		鎔					
熕							
熙		煕		凞	焈		熈
熚							
熛							
熟							𤎼
熠							
熨							
熬							
熮							
熯							
熰							
熱							热
熲							
熳							
熹				熺			
熾							
熿							
燀							
燁							
燃							
燉							
燋							
燎				尞			
燐							
燓							
燔							
燕				鷰			
燖							
燗							
燙							
燚							
燜							
燠							
燥							
燦							
燧							
燬							
燭							
燮							爕
燵							
燸							
燹							
燻							
燼							烬
燾							
燿							
爀							
爆							
爇							
爈							
爉							
爍							
爗							
爚							
爛			爤				
爝							
爟							
爨							
爪							
爬							
爯							
爰							
爵	爵				𩰦		𣝣
父							
爸							
爹							
爺				𤕓			
爻							
爽							
爾				𡭗			尒尓
爿							
牀							
牁							
牂							
牃							
牆				墻			
片							
版							
牋							
牌							
牏							
牐							
牒							
牓							
牖							牗
牘							
牙							
牚							
牛							
牝							
牞							
牟							
牠							
牡							
牢							
牣							
牧							
牨							
物							
牫							
牮							
牯							
牱							
牲							
牴							
牷							
牸							
特							
牻							
牼							
牽							
牿							
犀				𡱝			
犂				犁			
犄							
犇							
犉							
犍							
犎							
犒							
犓							
犖							
犗							
犛							
犠	犧						
犢							㸿
犨							
犬							
犮							
犯							
犰							
犱							
状	狀						
犾							
狁							
狂							
狃							
狄							
狆							
狇							
狉							
狌							
狎							
狐							
狒							
狕							
狖							
狗				㺃			
狘							
狙							
狛							
狟							
狠							
狡							
狩							
独	獨						
狭	狹						
狳							
狴							
狶							
狷							
狸		貍					
狺							
狻							
狼							
狽							
狾							
猁							
猄							
猅							
猇							
猊				貎			
猋							
猍							
猒							
猓							
猖							
猗							
猘							
猙							
猛							勐
猜							
猝							
猞							
猟	獵						
猢							
猤							
猥							
猧							
猩							
猪	猪	豬		䐗			
猫		貓					
献	獻						
猯							
猱							
猲							
猳							
猴			㺅				
猵							
猶				犹			
猷							
猹							
猺							
猻							
猽							
猾							
猿		猨					
獂							
獃							
獄					𡈭		
獅							
獍							
獒							
獖							
獗							
獝							
獞							
獟							
獠							
獢							
獣	獸						
獦							
獧							
獩							
獪							
獫							
獬							
獮							
獯							
獰							
獱							
獲							
獳							
獷							
獹							
獺							
獼							
玀							
玁							
玃							
玄							
玆							
率					卛		
玉							
玊							
王							
玎							
玐							
玓							
玔							
玕							
玖							
玗							
玘							
玜							
玞							
玟							
玠							
玢							
玥							
玦							
玨							
玩							
玪							
玫							
玭							
玲							
玳				瑇			
玵							
玷							
玹							
玻							
玼							
玽							
玿							
珀							
珂							
珅							
珆							
珈							
珉				瑉			
珊							
珋							
珌							
珍							珎
珏							
珒							
珓							
珖							
珙							
珝							
珞							
珠							
珣							
珥							
珦							
珧							
珩							
珪							
班			𤤻				
珮							
珴							
珵							
珷							
珸							
珹							
珺							
珻							
珽							
現							
珿							
琀							
球							
琄							
琅							瑯
理							
琇							
琉							
琊							
琓							
琚							
琛							
琢	琢						
琤							
琥							
琦							
琨							
琩							
琪							
琫							
琬							
琭							
琮							
琯							
琰							
琱							
琲							
琳							
琴			珡				琹
琵							
琶							
琺							
琿							
瑀							
瑁							
瑃							
瑄							
瑆							
瑋							
瑍							
瑑							
瑒							
瑓							
瑕							
瑗							
瑙				碯			
瑚							
瑛							
瑜							
瑝							
瑞							
瑟							
瑠			璢				
瑢							
瑣							琑𤨏
瑦							
瑧							
瑨							
瑩							
瑪							
瑫							
瑭							
瑮							
瑰				瓌			
瑱							
瑲							
瑳							
瑶	瑤						
瑽							
瑾							
璀							
璁							
璃							
璅							
璆							
璇				琁璿			
璈							
璉							
璋							
璏							
璐							
璑							
璒							
璗							
璘							
璙							
璜							
璞							
璟							
璠							
璡							
璣							
璥							
璦							
璧							
璨							
璩							
璪							
璫							
璮							
璯							
環							
璱							
璲							
璵							
璹							
璺							
璻							
璽				壐			玺
瓈							
瓊				璚			
瓏							
瓐							
瓓							
瓔							珱
瓖							
瓘							
瓚							瓉
瓛							
瓜							
瓞							
瓟							
瓠							
瓢							
瓤							
瓦							
瓧							
瓨							
瓩							
瓪							
瓫							
瓰							
瓱							
瓲							
瓴							
瓶	甁			缾			缾
瓷							甆
瓸							
瓺							
瓻							
瓼							
瓿							
甂							
甃							
甄							
甅							
甌							瓯
甍							
甎							
甑							
甒							
甓							
甔							
甕				瓮罋			
甗							
甘							
甚							
甜				甛			
生							
甠							
甡							
産	產						
甤							
甥							
甦			𤯳				
甧							
用							
甩							
甪							
甫							
甬							
甯							寗
田							
由							
甲							
申							
甶							
男							侽
甸							
甹							
町				甼			
画	畫						畵
甾							
甿							
畀							
畃							
畇							
畈							
畉							
畋				𤰖			
界				畍			
畎				甽			
畏							
畐							
畑							
畔							
畗							
留			畱				畄
畚							奙
畛							
畜							
畝				畞			㽗畆畒
畟							
畠							
畡							
畢							
畤							
略				畧			
畦							
畩							
番							
畬				畭畲			
畯							
異	異						
畳	疊		㬪	疉			叠疂
畷							
畸							
畹							
畼							
畽							
畾							
畿							
疁							
疅							
疆				壃畺			
疇							畴
疋							
疌							
疎							
疏				䟽			踈
疐		𤴡					
疑							
疒							
疓							
疔							
疕							
疙							
疚							
疜							
疝							
疢							
疣				肬			
疤							
疥							
疫							
疰							
疱							
疲							
疳							
疵							
疷							
疸							
疹							𤺋
疺							
疼							
疽							
疾							
疿							
痀				𤹪			
痁							
痂							
痃							
痄							
病							
痆							
症							
痊							
痌							
痍							
痎							
痏							
痒							
痓							
痔							
痕							
痗							
痘							
痙							
痛							
痜							
痝							
痞							
痟							
痠							
痡							
痢							
痣							
痤							
痧							
痩	瘦			膄			
痬							
痮							
痯							
痰							
痱							
痲							
痳							
痴	癡						
痵							
痹							
痺							
痼							
痾				疴			
痿							
瘀							
瘁							
瘂							
瘃							
瘄							
瘇							
瘈							
瘊							
瘋							
瘌							
瘍							
瘏							
瘒							
瘓							
瘕							
瘖							
瘙							
瘛							
瘜							
瘝							
瘞							
瘟							
瘠							
瘡							
瘢							
瘣							
瘤			癅				
瘥							
瘧							
瘨							
瘩							
瘭							
瘰							
瘲							
瘳							
瘴							
瘵							
瘸							
瘹							
瘺							
瘻							瘘
瘼							
癀							
癁							
療							
癃							
癄							
癆							
癇							癎
癈							
癉							
癊							
癋							
癌							
癒		瘉					
癖							
癘							
癙							
癜							
癟							
癢							
癤							
癥							
癧							
癨							
癩							
癪							
癬							
癭							
癮							
癰				癕臃			
癱							
癲							
癴							
癶							
癸							
発	發						
登							
白							
百							
皀							
皁							梍皂
的			旳				
皅							
皆							
皇							
皌							
皎				賋			
皐				皋			臯
皓							
皕							
皖							
皙							
皚							
皛							
皜							
皝							
皞				暤暭			皡皥
皟							
皠							
皢							
皣							
皤							
皦							
皧							
皪							
皭							
皮							
皯							
皰				靤			
皴							
皶							
皸				皹			
皺							
皽							
皿							
盂			𥁄				
盅							
盆							
盈				盁			
盉							
益	益						
盌							
盍				盇			
盎							
盒							
盔							
盗	盜						
盛	盛						
盞							
盟							
盠							
監					譼		监
盤							
盥				泴			
盦							
盧							
盨							
盩							
盪							
盬							
目							
盰							
盱							
盲							
直							
盶							
相				𥄢			
盹							
盻							
盼							
盾							
眀							
省							
眄							
眆							
眇							
眈							
眉			睂				
眊							
看							
県	縣						
眒							
眔							
眕							
眗							
眙							
眚							
眛							
眜							
真	眞						
眠							
眢							
眥				眦			
眨							
眩							
眭							
眮							
眯							
眴							
眵							
眶							
眷				睠			
眸							
眹							
眺							
眼			𥆢				
眽				眿			
着							
睅							
睆							
睇							
睊							
睍							
睎							
睏							
睒							
睖							
睗							
睘		瞏					
睚							
睛							
睜							
睞							
睟							
睡							
睢				濉			
督							
睥				睤			
睦							
睧							
睨							𥆩
睪							
睫							
睬							
睰							
睲							
睳							
睴							
睹					覩		
睺							
睼							
睽							
睾							
瞀							
瞄							
瞋							
瞌							
瞍							
瞎							
瞑							
瞔							
瞕							
瞖							
瞚							
瞞							𥈞
瞟							
瞠				瞪			
瞢				矒			
瞤							
瞥							
瞧							
瞬							
瞭							
瞮							
瞯							
瞰							
瞱							
瞳							
瞵							
瞶							
瞻							
瞼							𥇥
瞽							
