親字	旧字	正字	本字	同字	古字	簡易	俗字
凄							
凅							
准							
凈							
凊							
凋							
凌							
凍							
凒							
凓							
凔							
凕							
凘							
凜							凛
凝							
凞							
几							
凡							凢
凥							
処	處						䖏处
凧							
凩							
凪							
凭				凴			
凰							
凱							
凳				櫈			
凵							
凶							
凷							
凸							
凹							
出							岀
函			圅				凾
刀				釖			
刁							
刃							刄
刅							
分							
切							切
刈							苅
刊							刋
刎							
刑			𠛬				
划							
刓							
刕							
刖							
列							
初							
刢							
判							
別							
刨							
利							
刪		𠜂		删			
刮							
到							
刱							剏剙
刲							
刳							
刵							
制							
刷							
券							
刹							
刺							
刻							
剃							
剄							
剅							
則							
剉							
削							
剋							尅
剌							
前					歬		
剔							
剕							
剖							
剗							
剘							
剚							
剛							㓻
剜							
剝				剥			
剞							
剟							
剠							
剡							
剣	劍			劒			剱劔釼𠝏
剤	劑						
剪		翦					
剬							
副							
剰	剩						
割	割						
剴							
創					戧		
剷							
剸							
剹							
剽							
剿				劋𠞰			
劀							
劂							
劃							
劄				箚			剳
劅							
劇							
劈							
劉							刘
劊							
劌							
劓							
劕							
劖							
劗							
劘							
劚							
力							
劜							
功							㓛
加							
劣							
劤							
劥							
劦							
劧							
助							
努				伮			
劫							刦刧刼
劬							
劭							
劯							
劰							
励	勵						
労	勞						
劶							
劷							
劸							
効	效						
劺							
劻							
劼							
劽							
劾							
勀							勊
勁							
勃							
勅	敕						
勆							
勇	勇			勈			
勉	勉						
勌							
勍							
勏							
勑							
勒							
勔							
動							
勖				勗			
勘							
務							
勜							
勝							
募							
勠							
勡							
勢							㔟
勣							
勤	勤						
勥							
勦							
勧	勸						
勨							
勩							
勪							
勬							
勮							
勰							
勱							
勲	勳				勛		
勴							
勶							
勷							
勺	勺						
勾							
勿							
匀		勻					
匁							
匂							
匃				匄			
包			勹				
匆				匆			
匈							
匊							
匋							
匌							
匍							
匏							
匐							
匑							
匓							
匕							
化					𠤎		
北							
匙							
匚							
匜							
匝			帀	迊			
匟							
匠			匞				
匡			匩				
匣							
匤							
匥							
匧							
匨							
匪							
匫							
匬							
匭							
匯				滙			
匰							
匱							
匵							
匸							
匹							
区	區						
医	醫			毉			
匼							
匽							
匾							
匿							
十							
卂							
千							
卅							
升							斘
午							
卉		卉	芔				
半							
卌							
卍							
卑	卑						𤰞
卒							卆
卓				桌			
協				恊			
南							
単	單						
卙							
博							愽
卜							
卞							
占							
卡							
卣							
卦							
卩							
卬							
卮							巵
卯			戼				夘
印							
危							
卲							
即	卽				皍		
却		卻					㕁
卵							
卸							缷
卾							
卿				卿			
厂					厈		
厃							
厄							𢀴
厇							
厎							
厓							
厔							
厖							
厘							
厙							
厚					㫗垕		
厝							
原			厡				
厤							
厥							
厨	廚						㕑橱
厩	廏						廐
厭							
厯							
厲							厉
厳	嚴						
厴							
厵							
厶							
厷							
去			厺				
厽							
叀							
参	參						叅
又							
叉							
及							
友							
双	雙						
反							
収	收						
叒							
叔							𠦑
叕							
取							
受							
叙	敍						敘
叚							
叛							
叝							
叟			叜				
叡				𠮉	壡睿		
叢				樷			
口							
古							
句							
另							
叧							
叨							
叩							
只							
叫							
召							
叭							
叮							
可							
台	臺台				坮		䑓
叱							
史			㕜				
右							
叴							
叵							
叶							
号	號						𭈹
司							
叺							
吁							
吂							
吃							
各							
合							
吉							𠮷
吊							
吋							
同					仝		
名							
后							
吏							
吐							
向							
吓							
吚							
君							
吝							㖁
吞				呑			
吟				訡			
吠							
吡							
吤							
否							
吧							
吨							
吩							
吪							
含							
听							
吭							
吮							
吱							
吵							
吶							
吸							
吹							
吻							
吼							
吽							
吾							
呀							
呂							
呃							
呄							
呆							
呇							
呈							
呉	吳						吴
告	吿						
呍							
呎							
呏							
呞							
呟							
呢							
呤							
呦							
呧							
周	周						
呪				咒			
呫							
呬							
呭							
呮							
呰							
呱							
味							
呴							
呵							
呶							
呷							
呻							
呼							
命							
呿							
咀							
咁							
咃							
咄							
咅							
咆							
咈							
咉							
咋							
和			咊		龢		
咍							
咎							
咐							
咑							
咕							
咖							
咟							
咠							
咡							
咢							
咤			吒				咜
咥							
咦							
咧							
咨							
咩				哶			
咪							
咫							
咬							
咭							
咮							
咯							
咱							
咲							
咳							
咷							
咸							
咹							
咺							
咻							
咼				喎			
咽							
咾							
咿							
哀							
品							
哂							
哃							
哄							
哆							
哇							
哈							
哉							
哊							
哎							
哘							
哠							
員							貟
哢							
哥							
哦							
哨							
哩							
哪							
哭							
哮							
哯							
哱							
哲				喆悊	嚞		啠
哳							
哺							
哼							
哽							
哾							
哿							
唁							
唄							
唅							
唆							
唇		脣					
唈							
唉							
唌							
唍							
唎							
唏							
唐							
唔							
唕							
唪							
唫							
唬							
售							
唯							
唱				誯			
唲							
唳							
唵							
唶							
唸							
唹							
唻							
唼							
唽							
唾							
啀				嘊			
啁							
啄							
啅							
商							
啇							
啉							
啊							
啌							
啍							
啎				牾			
問							
啐							
啑							
啓			启啟	諬			啔
啖				啗嚪			
啘							
啚							
啛							
啜							
啝							
啞						唖	
啡							
啤							
啦							
啻							
啼							
啽							
啾							
啿							
喀							
喁							
喂							
喃							
善					譱		
喇							
喈							
喉			㗋				
喊							
喋							
喏							
喑							
喒							
喓							
喔							
喗							
喘							
喙							
喚							
喜					歖		㐂
喝	喝						
喞							
喟							
喣							
喤							
喧							
喨							
喩							喻
喪							䘮
喫							噄
喬							
喭							
喰							
喲							
営	營						营
喿							
嗁							
嗃							
嗄							
嗅			齅				
嗆							
嗇							
嗉							
嗋							
嗌							
嗎							
嗑							
嗒							
嗓							
嗔							
嗗							
嗘							
嗚							
嗛							
嗜					呩		
嗝							
嗞							
嗟							
嗢							嗢
嗣							
嗤							
嗥							嘷噑
嗩							
嗶							
嗷							
嗹							
嗽							
嗾							
嗿							
嘅							
嘆	嘆						
嘇							
嘈							
嘉							
嘍							
嘎							
嘏							
嘐							
嘑							
嘒							
嘔							呕
嘖							
嘗							甞
嘙							
嘛							
嘩		譁					𠵅
嘬							
嘯							嘨
嘰							
嘱	囑						
嘲							
嘳							
嘴							
嘵							
嘶							
嘸							
嘹							
嘺							
嘻							
嘼							
嘽							
嘿							
噀							
噁							
噂							
噃							
噆							
噇							
噉							
噋							
噌							
噍							
噎							
噏							
噓							嘘
噔							
噞							
噠							
噡							
噢							
噣							
噤							
噥							
噦							
器	器						噐
噩							
噪							
噫							
噬							
噭							
噯							
噱							
噲							
噴	噴						
