親字	旧字	異体字
筒		
筓		笄
答		
策		
筥		
筧		
筬		
筮		
筰		
筱		
筲		
筴		
筵		
箇		
箋		
箍		
箏		筝
箒		
箔		
箕		
算		
箘		
箙		
箚		劄
箜		
箝		
管		
箭		
箱		
箴		
箸		
節	節	
篁		
範		
篆		
篇		
築		
篋		
篌		
篝		
篠		
篡		簒
篤		
篥		
篦		箆
篩		
篪		
篳		
篷		
簀		
簇		
簍		
簑		簔
簓		
簗		
簞		箪
簟		
簡		
簣		
簧		
簪		
簫		
簷		
簸		
簽		
簾		
簿		
籃		
籌		
籍		
籐		
籒		籀
籔		
籙		
籟		
籠		篭
籡		
籤		籖
籥		
籬		
米		
籵		
籾		
粁		
粂		
粉		
粋	粹	
粍		
粏		
粒		
粕		
粗		
粘		黏
粛	肅	
粟		
粢		
粤		
粥		
粧		
粨		
粱		
粲		
粳		
粽		
精	精	
糀		
糂		
糅		
糊		
糎		
糒		
糖		
糜		
糝		
糞		
糟		
糠		
糧		
糯		
糱		
糲		
糴		
糶		
糸	絲	
糺		
系		
糾		
紀		
紂		
約		
紅		
紆		
紉		
紊		
紋		
納		
紐		
純		
紕		
紗		
紘		
紙		
級		
紛		
紜		
素		
紡		
索		
紫		
紬		
紮		
累		
細		
紲		
紳		
紵		
紹		
紺		
紿		
終		
絃		
組		
絅		
絆		
経	經	
絎		
絏		
結		
絖		
絛		
絞		
絡		
絢		
絣		絣
給		
絨		
絮		
統		
絳		
絵	繪	
絶		
絹		
絽		
綉		
綏		
継	繼	
続	續	
綛		
綜		
綟		
綢		
綣		
綦		
綫		
綬		
維		
綮		
綯		
綰		
綱		
網		
綴		
綵		
綸		
綺		
綻		
綽		
綾		
綿		
緇		
緊		
緋		
総	總	
緑	綠	
緒	緖	
緘		
線		
緝		
緞		
締		
緡		
緤		
編		
緩		
緬		
緯		
緲		
練	練	
緻		
縁	緣	
縄	繩	
縅		
縉		
縊		
縋		
縒		
縕		
縛		
縞		
縟		
縡		
縢		
縦	縱	
縫		
縮		
縲		
縵		
縷		
縹		
縺		
縻		
績		
繁	繁	
繃		
繆		
繈		繦
繊	纖	
織		
繕		
繖		
繙		
繚		
繝		
繞		
繡		繍
繧		
繫		繋
繭		
繰		
繳		
繹		
繻		
繽		
纂		
纃		
纈		
纊		
纏		纒
纐		
纓		
纔		
纘		纉
纛		
纜		
缶	罐	鑵缶
缸		
罅		
罌		
罍		
罎		
罔		
罕		
罘		
罟		
罠		
罧		
罨		
罩		
罪		
罫		
置		
罰		
署	署	
罵		
罷		
罹		
羂		
羃		
羅		
羆		
羇		
羈		
羊		
羌		
美		
羔		
羚		
羝		
羞		
群		
羨		
義		
羯		
羲		
羶		
羸		
羹		
羽	羽	
翁		
翅		
翊		
翌		
習		
翔		
翕		
翠		翆
翡		
翦		
翩		
翫		
翰		
翳		
翹		
翻		飜
翼		
耀		
老		
考		
耄		
者	者	
耆		
耋		
而		
耐		
耕		
耗		
耘		
耙		
耜		
耡		
耦		
耨		
耳		
耶		
耽		
耿		
聆		
聊		
聒		
聖		
聘		
聚		
聞		
聡	聰	
聢		
聯		聨
聳		
聴	聽	
聶		
職		
聾		
聿		
肄		
肆		
肇		
肉		
肋		
肌		
肓		
肖		
肘		
肚		
肛		
肝		
股		
肢		
肥		
肩		
肪		
肬		
肭		
肯		
肱		
育		
肴		
肺		
胃		
胄		
胆	膽	
背		
胎		
胖		
胙		
胚		
胛		
胝		
胞		
胡		
胤		
胥		
胯		
胱		
胴		
胸		
能		
脂		
脅		
脆		
脇		
脈		
脊		
脚		
脛		
脣		
脩		
脯		
脱	脫	
脳	腦	
脹		
脾		
腁		胼
腆		
腋		
腎		
腐		
腑		
腓		
腔		
腕		
腠		
腥		
腫		
腮		
腰		
腱		
腴		
腸		
腹		
腺		
腿		
膀		
膂		
膃		
膈		
膊		
膏		
膚		
膜		
膝		
膠		
膣		腟
膨		
膩		
膰		
膳		
膵		
膺		
膾		
膿		
臀		
臂		
臆		
臉		
臍		
臑		
臓	臟	
臘		
臙		
臚		
臠		
臣		
臥		
臧		
臨		
自		
臭	臭	
至		
致	𦤶	
臻		
臼		
臾		
舁		
舂		
舅		
興		
舌		
舎	舍	
舐		
舒		
舗	舖	
舘		
舛		
舜		
舞		
舟		
航		
舫		
般		
舳		
舵		
舶		
舷		
舸		
船		
艀		
艇		
艘		
艙		
艚		
艝		
艟		
艢		
艤		
艦		
艨		
艪		
艫		
艮		
良		
艱		
色		
艶	艷	
艸		
艾		
芋		
芍		
芒		
芙		
芝		
芟		
芥		
芫		
芬		
芭		
芯		
花		
芳		
芸	藝	
芹		
芻		蒭
芽	芽	
苅		
苆		
苑		
苒		
苓		
苔		
苗		
苙		
苛		
苜		
苞		
苟		
苡		
苣		
若		
苦		
苧		
苫		
英		
苳		
苴		
苹		
苺		莓
苻		
茂		
范		
茄		
茅		
茆		
茉		
茎	莖	
茗		
茘		
茜		
茣		
茨		
茫		
茯		
茱		
茲		
茴		
茵		
茶		
茸		
茹		
荀		
荅		
草		
荊		荆
荏		
荐		
荒		
荘	莊	
荳		
荵		
荷		
荻		
荼		
莅		
莉		
莎		
莚		
莞		
莟		
莠		
莢		
莨		
莪		
莫		
菁		
菅		
菊		
菌		
菎		
菓		
菖		
菘		
菜		
菟		莵
菠		
菩		
菫		
華	華	
菰		
菱		
菲		
菴		
菽		
萁		
萃		
萄		
萊		莱
萌		萠
萍		
萎		
萢		
萩		
萱		
萵		
萸		
萼		
落		
葆		
葉		
葎		
著	著	
葛		
葡		
董		
葦		
葩		
葬		
葭		
葯		
葱		
葵		
葷		
葺		
蒐		
蒔		
蒙		
蒜		
蒟		
蒡		
蒲		
蒸		
蒹		
蒻		
蒼		
蒿		
蓁		
蓄		
蓆		
蓉		
蓋		葢
蓍		
蓐		
蓑		
蓖		
蓙		
蓬		
蓮	蓮	
蓴		
蓼		
蓿		
蔀		
蔑		
蔓		
蔔		
蔕		蒂
蔗		
蔘		
蔚		
蔟		
蔡		
蔣		蒋
蔦		
蔬		
蔭		
蔵	藏	
蔽		
蕀		
蕁		
蕃		
蕈		
蕉		
蕊		蕋蘂
蕎		
蕕		
蕗		
蕘		
蕣		
蕨		
蕩		
蕪		
蕭		
蕷		
蕾		
薀		
薄		
薇		
薈		
薊		
薏		
薐		
薑		
薔		
薗		
薙		
薛		
薜		
薤		
薦		
薨		
薩		
薪		
薫	薰	
薬	藥	
薯		
薹		
薺		
藁		
藉		
藍		
藐		
藕		
藜		
藤		
藩		
藪		薮
藷		
藹		
藺		
藻		
藾		
蘆		芦
蘇		
蘊		
蘋		
蘚		
蘢		
蘭	蘭	
蘿		
虎		
虐		
虒		
虔		
虚	虛	
虜	虜	
虞		
虧		
虫	蟲	
虹		
虻		蝱
蚊		
蚌		
蚓		
蚕	蠶	
蚣		
蚤		
蚩		
蚪		
蚫		
蚯		
蚰		
蚶		
蛄		
蛆		
蛇		
蛉		
蛋		
蛍	螢	
蛔		
蛙		
蛛		
蛞		
蛟		
蛤		
蛩		
蛬		
蛭		
蛮	蠻	
蛯		
蛸		
蛹		
蛻		
蛾		
蜀		
蜂		
蜃		
蜆		
蜈		
蜉		
蜊		
蜍		
蜎		
蜑		
蜒		
蜓		
蜘		
蜚		
蜜		
蜥		
蜩		
蜴		
蜷		
蜹		蚋
蜻		
蜿		
蝌		
蝎		
蝓		
蝕		
蝗		
蝘		
蝙		
蝟		
蝠		
蝣		
蝦		
蝨		虱
蝮		
蝲		
蝴		
蝶		
蝸		
螂		蜋
螈		
融		
螗		
螟		
螫		
螯		
螳		
螺		
螻		
螽		
螾		
蟀		
蟄		
蟇		蟆
蟋		
蟎		
蟒		蠎
蟠		
蟪		
蟬		蝉
蟯		
蟶		
蟷		
蟹		蠏
蟻		
蟾		
蠅		蝿
蠆		
蠊		
蠍		
蠑		
蠕		
蠖		
蠟		蝋
蠡		
蠢		
蠣		蛎
蠱		
蠹		蠧
血		
衄		
衆		
衊		
行		
衍		
衒		
術		
街		
衙		
衛	衞	
衝		
衡		
衢		
衣		
表		
衫		
衮		袞
衰		
衲		
衵		
衷		
衾		
衿		
袂		
袈		
袋		
袍		
袒		
袖		
袗		
袙		
袢		
袤		
被		
袰		
袱		
袴		
袵		衽
袷		
袿		
裁		
裂		
裃		
裄		
装	裝	
裎		
裏		
裔		
裕		
裘		
裙		
補		
裟		
裡		
裨		
裲		
裳		
裴		
裸		
裹		
裼		
製		
裾		
褂		
褄		
複		
褊		
褌		
褐	褐	
褒	襃	
褓		
褞		
褥		
褪		
褫		
褶		
褸		
褻		
襁		
襄		
襌		褝
襖		
襞		
襟		
襠		
襤		
襦		
襪		
襭		
襯		
襲		
襴		
襷		
西		
要		
覃		
覆		
覇		霸
覈		
見		
規		
覓		
視	視	
覗		
覘		
覚	覺	
覡		
覦		
覧	覽	
覩		
親		
覬		
覯		
覲		
観	觀	
覿		
角		
觚		
觜		
觝		
解		
觥		
触	觸	
觴		
言		
訂		
訃		
計		
訊		
訌		
討		
訐		
訓		
訖		
託		
記		
訛		
訝		
訟		
訣		
訥		
訪		
設		
許		
訳	譯	
訴		
訶		
診		
註		
証	證	
詁		
詆		
詈		
詐		
詑		
詒		
詔		
評		
詛		
詞		
詠		
詢		
詣		
試		
詩		
詫		
詬		
詭		
詮		
詰		
話		
該		
詳		
詼		
誂		
誄		
誅		
誇		
誉	譽	
誌		
認		
誑		
誓		
誕		
誘		
誚		
語		
誠		
誡		
誣		
誤		
誥		
誦		
誨		
説		
読	讀	
誰		
課		
誹		
誼		
調		
諂		
諄		
談		
請		
諍		
諏		
諒		
論		
諚		
諛		
諜		
諞		
諠		
諡		謚
諢		
諤		
諦		
諧		
諫		諌
諭	諭	
諮		
諱		
諳		
諷		
諸	諸	
諺		
諾		
謀		
謁	謁	
謂		
謄		
謇		
謎		
謐		
謔		
謖		
謗		
謙		
講		
謝		
謡	謠	
謦		
謨		
謫		
謬		
謳		
謹	謹	
謾		
譁		
譌		
譎		
譏		
譖		譛
識		
譚		
譜		
譟		
警		
譫		
譬		
議		
譲	讓	
譴		
護		
讃		讚
讌		
讐		讎
讒		
讖		
讙		
谷		
谺		
谿		
豁		
豆		
豈		
豊	豐	
豌		
豕		
豚		
象		
豢		
豪		
豹		
豺		
貂		
貉		
貊		
貌		
貎		
貘		
貝		
貞		
負		
財		
貢		
貧		
貨		
販		
貪		
貫		
責		
貯		
貰		
貲		
貴		
貶		
買		
貸		
費		
貼		
貽		
貿		
賀		
賂		
賃		
賄		
資		
賈		
賊		
賑		
賓	賓	
賚		
賛	贊	
賜		
賞		
賠		
賢		
賤		賎
賦		
質		
賭		
賺		
賻		
購		
賽		
贄		
贅		
贇		
贈	贈	
贋		
贍		
贏		
贐		
贓		
贔		
贖		
赤		
赦		
赧		
赫		
赬		
赭		
走		
赳		
赴		
起		
趁		
超		
越		
趙		
趣		
趨		
足		
趺		
趾		
跂		
跋		
跌		
跎		
跏		
跖		
跚		
跛		
距		
跟		
跡		
跣		
跨		
跪		
跫		
路		
跳		
践	踐	
跼		
跿		
踉		
踊		
踏		
踑		
踝		
踞		
踟		
踪		
踰		
踴		
踵		
蹂		
蹄		
蹇		
蹈		
蹉		
蹊		
蹌		
蹐		
蹕		
蹙		
蹟		
蹠		
蹣		
蹤		
蹲		
蹴		
蹶		
蹻		
蹼		
躁		
躄		躃
躅		
躇		
躊		
躋		
躍		
躑		
躓		
躔		
躡		
躪		躙
身		
躬		
躮		
躱		
躾		
軀		躯
軈		
車		
軋		
軌		
軍		
軒		
軛		
軟		
転	轉	
軫		
軸		
軻		
軼		
軽	輕	
軾		
輀		轜
較		
輅		
載		
輊		
輒		輙
輓		
輔		
輛		輌
輜		
輝		
輟		
輦		
輩		
輪		
輯		
輳		
輸	輸	
輹		
輻		
輾		
輿		
轂		
轄		
轅		
轆		
轌		
轍		
轎		
轗		
轟		
轡		
轢		
轤		
辛		
辜		
辞	辭	
辟		
辣		
辮		
辰		
辱		
農		
辷		
辺	邊	
辻		
込		
辿		
迂		
迄		
迅		
迎		
近		
返		
迚		
迢		
迥		
迦		
迪		廸
迫		
迭		
述		
迴		
迷		
迹		
迺		廼
追		
退		
送		
逃		
逅		
逆		
逋		
逍		
透		
逐		
逑		
逓	遞	
途		
逕		
逖		
逗		
這		
通		
逝		
逞		
速		
造		
逡		
逢		
連	連	
逧		
逬		迸
逮		
週		
進		
逵		
逸	逸	
逼		
逾		
遁		
遂		
遅	遲	
遇		
遉		
遊		
運		
遍		
過		
遏		
遐		
遑		
遒		逎
道		
達		
違		
遖		
遘		
遜		
遠		
遡		溯
遣		
遥	遙	
遨		
適		
遭		
遮		
遯		
遵		
遶		
遷		
選		
遺		
遼	遼	
遽		
避		
邀		
邁		
邂		
邃		
還		
邇		
邏		
邑		
那		
邦		
邨		
邪		
邯		
邱		
邵		
邸		
郁		
郊		
郎	郞	
郛		
郡		
郢		
郤		
部		
郭		
郵		
郷	鄕	
都	都	
鄂		
鄒		
鄙		
鄭		
鄲		
酉		
酊		
酋		
酌		
配		
酎		
酒		
酔	醉	
酖		
酢		
酣		
酥		
酩		
酪		
酬		
酲		
酳		
酵		
酷		
酸		
醂		
醇		
醋		
醍		
醐		
醒		
醜		
醢		
醪		
醬		醤
醯		
醱		醗
醴		
醵		
醸	釀	
醺		
釁		
采		
釈	釋	
釉		
里		
重		
野		埜
量		
釐		
金		
釘		
釜		
針		
釣		
釦		
釧		
釵		
釿		
鈍		
鈑		
鈔		
鈕		
鈞		
鈴		
鈷		
鈿		
鉄	鐵	
鉅		
鉈		
鉉		
鉋		
鉗		
鉛		
鉞		
鉢		
鉤		鈎
鉦		
鉱	鑛	
鉾		
銀		
銃		
銅		
銑		
銓		
銕		
銖		
銘		
銚		
銛		
銜		
銭	錢	
銷		
銹		
鋏		
鋒		
鋤		
鋩		
鋪		
鋭	銳	
鋲		
鋳	鑄	
鋸		
鋺		
鋼		
錆		
錏		
錐		
錘		
錙		
錚		
錠		
錣		
錦		
錨		
錫		
錬	鍊	
錮		
錯		
録	錄	
錵		
錺		
錻		
鍋		
鍍		
鍔		
鍛		
鍠		
鍬		
鍮		
鍵		
鍼		
鍾		
鎌		
鎖		
鎗		
鎚		
鎧		
鎬		
鎮	鎭	
鎰		
鎹		
鎺		
鏃		
鏈		
鏐		
鏑		
鏖		
鏗		
鏘		
鏝		
鏡		
鏤		
鏨		
鐃		
鐐		
鐓		
鐔		
鐘		
鐙		
鐚		
鐫		
鐶		
鐸		
鐺		
鑑		鑒
鑓		
鑞		
鑠		
鑢		
鑪		
鑰		
鑷		
鑼		
鑽		鑚
鑾		
鑿		
钁		
長		
門		
閂		
閃		
閉		
閊		
開		
閏		
閑		
間		
閔		
閘		
関	關	
閣		
閤		
閥		
閧		
閨		
閭		
閲		
閹		
閻		
閼		
閾		
闃		
闇		
闊		濶
闌		
闍		
闔		
闕		
闖		
闘	鬪	鬭
闡		
闢		
闥		
阜		
阡		
阨		
阪		
阮		
阯		
防		
阻		
阿		
陀		
陂		
附		
陋		
陌		
降	降	
限		
陛		
陜		
陝		
陞		
陟		
院		
陣		
除		
陥	陷	
陪		
陬		
陰		
陲		
陳		
陵		
陶		
陸		
険	險	
陽		
隅		
隆	隆	
隈		
隊		
隋		
隍		
階		
随	隨	
隔		
隕		
隗		
隘		
隙		𨻶
際		
障		
隠	隱	
隣	鄰	
隧		
隰		
隴		
隷	隸	
隻		
隼		
雀		
雁		鴈
雄		
雅		
集		
雇		
雉		
雋		
雌		
雍		
雎		
雑	雜	襍
雕		
雖		
雛		
離		
難	難	
雨		
雪		
雫		
雰		
雲		
零		
雷		
雹		
電		
需		
霄		
霆		
震		
霈		
霊	靈	
霍		
霎		
霏		
霑		
霓		
霖		
霙		
霜		
霞		
霤		
霧		
霪		
霰		
露		
霹		
霽		
霾		
靂		
靄		
靆		
靉		
青	靑	
靖	靖	
静	靜	
非		
靠		
靡		
面		
靤		
靦		
靨		
革		
靫		
靱		靭
靴		
靺		
靼		
鞁		
鞄		
鞅		
鞆		
鞋		
鞍		
鞏		
鞐		
鞘		
鞜		
鞠		
鞣		
鞦		
鞨		
鞫		
鞭		
鞳		
鞴		
韃		
韆		
韈		
韋		
韓		
韜		
韞		
韮		韭
音		
韶		
韻		韵
響	響	
頁		
頂		
頃		
項		
順		
須		
頌		
頏		
預		
頑		
頒		
頓		
頗		
領		
頡		
頤		
頭		
頰		頬
頷		
頸		頚
頻	頻	
頼	賴	
頽		頹
顆		
顋		
題		
額		
顎		
顔	顏	
顕	顯	
願		
顚		顛
類	類	
顧		
顫		
顬		
顰		
顱		
顳		
顴		
風		
颪		
颯		
颱		
颶		
飄		
飆		
飛		
食		
飢		
飩		
飫		
飭		
飯	飯	
飲	飮	
飴		
飼	飼	
飽		
飾		
餃		
餅	餠	
餉		
養		
餌		
餐		
餒		
餓		
餔		
餞		
餡		
餤		
館	館	
餬		
餮		
餽		
餾		
饂		
饅		
饉		
饋		
饌		
饐		
饑		
饒		
饕		
饗		
首		
馗		
馘		
香		
馥		
馨		
馬		
馭		
馮		
馳		
馴		
駁		
駄		
駅	驛	
駆	驅	
駈		
駐		
駑		
駒		
駕		
駘		
駛		
駝		
駟		
駭		
駮		
駱		
駸		
駻		
駿		
騁		
騅		
騈		駢
騎		
騏		
騒	騷	
験	驗	
騙		
騫		
騭		
騰		
騾		
驀		
驂		
驃		
驍		
驎		
驒		騨
驕		
驚		
驟		
驢		
驤		
驥		
驩		
驪		
骨		
骭		
骰		
骸		
骼		
髀		
髄	髓	
髏		
髑		
高		
髢		
髣		
髥		髯
髦		
髪	髮	
髫		
髭		
髱		
髴		
髷		
髻		
鬆		
鬘		
鬚		
鬟		
鬢		
鬣		
鬧		閙
鬨		
鬩		
鬮		
鬯		
鬱		欝
鬻		
鬼		
魁		
魂		
魃		
魄		
魅		
魍		
魎		
魏		
魑		
魔		
魘		
魚		
魞		
魬		
魯		
魳		
魴		
魸		
鮃		
鮇		
鮎		
鮑		
鮒		
鮓		
鮖		
鮗		
鮟		
鮠		
鮨		
鮪		
鮫		
鮭		
鮮		
鮱		
鮲		
鮴		
鮸		
鮹		
鯀		
鯉		
鯊		
鯎		
鯏		
鯐		
鯑		
鯒		
鯔		
鯖		
鯛		
鯡		
鯢		
鯣		
鯤		
鯨		
鯰		
鯱		
鯲		
鰄		
鰆		
鰈		
鰉		
鰊		
鰌		
鰍		
鰐		
鰒		
鰓		
鰔		
鰕		
鰘		
鰙		
鰚		
鰤		
鰥		
鰧		
鰭		
鰮		鰛
鰯		
鰰		
鰹		
鰺		鯵
鰻		
鰾		
鱆		
鱇		
鱈		
鱏		
鱒		
鱓		
鱗		
鱚		
鱛		
鱟		
鱠		
鱧		
鱩		
鱲		
鱶		
鱸		
鳥		
鳧		鳬
鳩		
鳰		
鳳		
鳴		
鳶		
鴃		鴂
鴆		
鴇		
鴉		
鴒		
鴕		
鴛		
鴟		
鴣		
鴥		鴪
鴦		
鴨		
鴫		
鴻		
鴾		
鴿		
鵁		
鵄		
鵆		
鵇		
鵑		
鵜		
鵝		鵞
鵠		
鵡		
鵤		
鵥		
鵬		
鵯		
鵲		
鵺		
鶄		
鶇		
鶉		
鶍		
鶎		
鶏	鷄	
鶚		
鶤		
鶩		
鶪		鵙
鶫		
鶯		鴬
鶲		
鶴		
鶸		
鶺		
鶻		
鷁		
鷂		
鷆		
鷓		
鷗		鴎
鷙		
鷦		
鷭		
鷯		
鷲		
鷸		
鷹		
鷺		
鷽		
鸚		
鸛		
鸞		
鹵		
鹹		
鹼		鹸
鹿		
麈		
麋		
麌		
麑		
麒		
麓		
麕		麇
麗		
麝		
麟		
麤		麁
麦	麥	
麩		麸
麭		
麴		麹
麺	麵	麪
麻		
麼		
麾		
麿		
黄	黃	
黌		
黍		
黎		
黐		
黒	黑	
黔		
黙	默	
黛		
黜		
黝		
黠		
黥		
黯		
黴		
黶		
黷		
黹		
黻		
黼		
黽		
鼇		
鼈		
鼎		
鼓		
鼕		
鼠		
鼬		
鼯		
鼴		鼹
鼻		
鼾		
齎		
齏		韲
齔		
齟		
齠		
齢	齡	
齣		
齦		
齧		囓
齪		
齬		
齲		
齶		
齷		
龐		
龕		
龝		穐
龠		
﨟		臈
𠮟		
𣶏		
𩶗		
𫒼		
𬵪		
枅		枅
濆		濆
莽		莽
賁		賁
