親字	旧字	異体字
垠		
垢		
垣		
垤		
埃		
埆		
埋		
城	城	
埒		
域		
埠		
埴		
執		
培		
基		
埼		
堀		
堂		
堅		
堆		
堊		
堋		
堕	墮	
堙		
堝		
堡		
堤		
堪		
堰		
報		
場		
堵		
堺		
塀	塀	
塁	壘	
塊		
塋		
塑		
塒		
塔		
塗		
塘		
塙		
塚	塚	
塞		
塡		填
塩	鹽	
塵		
塹		
塾		
塿		
境		
墅		
墓		
増	增	
墜		
墟		
墨	墨	
墳	墳	
墾		
壁		
壅		
壇		
壊	壞	
壌	壤	
壎		
壑		
壕		
壙		
壜		
壟		
士		
壬		
壮	壯	
声	聲	
壱	壹	
売	賣	
壺		壷
壼		
変	變	
夏		
夐		
夕		
外		
夙		
多		
夜		
夢		
夥		
大		
天		
太		
夫		
夬		
夭		
央		
失		
夲		
夷		
夸		
夾		
奄		
奇		
奈		
奉		
奎		
奏		
奐		
契	契	
奔	奔	
奕		
套		
奘		弉
奚		
奠		
奢		
奥	奧	
奨	奬	
奪		
奮		
女		
奴		
奸		
好		
妁		
如		
妃		
妄		
妊		
妓		
妖		
妙		
妝		
妣		
妥		
妨		
妬		
妲		
妹		
妻		
妾		
姆		
姉		
始		
姐		
姑		
姓		
委		
姙		
姚		
姜		
姥		
姦		
姨		
姪		
姫	姬	
姮		嫦
姶		
姸		妍
姻		
姿		
威		
娃		
娉		
娑		
娘		
娜		
娟		
娠		
娥		
娩		
娯		
娵		
娶		
娼		
婀		
婁		
婆		
婉		
婚		
婢		
婦		
婪		
婬		
婿	壻	聟
媒		
媚		
媛		
媼		
媽		
媾		
嫁		
嫂		
嫉		
嫋		
嫌		
嫖		
嫗		
嫡		
嫣		
嫩		
嫺		
嫻		
嬉		
嬋		
嬌		
嬖		
嬢	孃	
嬪		
嬬		
嬰		
嬲		
嬶		
嬾		
孀		
孅		
子		
孑		
孒		
孔		
孕		
字		
存		
孚		
孛		
孜		
孝		
孟		
季		
孤		
孥		
学	學	
孩		
孫		
孰		
孱		
孵		
孶		孳
孺		
孼		孽
宅		
宇		
守		
安		
宋		
完		
宍		
宏		
宕		
宗		
官		
宙		
定		
宛		
宜		
宝	寶	
実	實	
客		
宣		
室		
宥		
宦		
宮		
宰		
害		
宴		
宵		
家		
宸		
容		
宿		
寂		
寄		
寅		
密		
寇		冦
富		
寐		
寒		
寓		
寔		
寛	寬	
寝	寢	
寞		
察		
寡		
寤		
寥		
寧		
寨		
審		
寮		
寰		
寵		
寸		
寺		
対	對	
寿	壽	
封		
専	專	
射		
将	將	
尉		
尊		
尋		
導		
小		
少		
尖		
尚	尙	
尠		
尤		
尨		
尭	堯	
就		
尸		
尹		
尺		
尻		
尼		
尽	盡	
尾		
尿		
局		
屁		
居		
