重複	親字	旧字	本字	古字	別体	俗字	誤字
	胔		骴		髊		
	胚		肧				
	胝				疷		
	胸				胷		
	脆		脃				
	脇					䏮𦚰	
	脈			衇		脉	
	脚		腳				
	脛					𦙾	
	脤		祳				
	脧				䘒		
	脱	脫					
	脳	腦					
	脹				痮		
	腁					胼	
	腥		胜				
	腯					𦝬	
	腰				𦝫		
	腴					𦚤	
	腸					膓	
	膀				髈		
	膚					肤	
	膝		厀				
	膣					腟	
	膩					𦡸𧸐	
	膳				饍		
	膾				鱠	脍	
	臆		肊				
	臈				﨟		
	臍					𦜝	
	臏		髕				
	臓	臟					
	臙				胭		
	臞				癯		
	臥					卧	
	臭	臭					
	臲				𦤞		
	致	𦤶					
	臾					㬰	
	臿					𦥛	
	舀				抭		
	舂					㫪𣇃	
	舃				𩊿𩍆	舄𭴷	
	舎	舍					
	舐		舓			䑛	
	舗	舖	鋪				
	舜		䑞				
	舞				儛		
	舫				艕		
	舵				䑨柁柂		
	船					舩	
	艪				艣		
	艫					舮	
	艮		𥃩				
	艱			囏			
	艴				𦫛		
	艶	艷	豓		豔		
	艾					𦫿	
	芎				𦵡		
	芒					𥝕	
	芨					𦳌	
	花					芲	
!	芸	藝		秇	蓺		
	芻					蒭	
	芽	芽					
	苔		菭				
	苡		苢				
	英					偀	
	苺				莓		
	苾				馝		
	茅					芧	
	茎	莖					
	茘		荔				
	茬				茌		
	荇				莕		
	荊		荆				
	荘	莊				㽵	
	荻				藡		
	莽					莾	
	菊		蘜				
	菑		葘				
	菔				蔔		
	菟					莵	
	菡		䓿				
	菫		蓳				
	華	華	蕐				
	菰		苽				
	菴			葊			
	菹				葅		
	萊					莱	
	萌					萠	
	萍				蓱		
	萱				蕿藼蘐		
	萸					茰	
	萼					蕚	
	葉			枼			
	著	著					
	董		蕫				
	葬					塟	
	葱		蔥				
	蒯		𦳋				
	蓄				稸		
	蓋		葢			盖	
	蓑				簑簔		
	蓨				蓚		
	蓴				蒓		
	蔕				蒂		
	蔘				薓		
	蔣					蒋	
	蔭					䕃𦹥𨼲	
	蔵	藏					
	蕊					蕋蘂	
	蕏		藸				
	蕘					𮏔	
	蕪				橆		
	蕭					䔥	
	薛		𧃎				
	薫	薰					
	薬	藥					
	薺					萕	
	藁				藳		
	藍	藍					
	藟				櫐蘽		
	藤					䕨	
	藪					薮	
	藻		薻				
	蘆					芦	
	蘇			穌	蘓		
	蘊		薀				
	蘋				薲		
	蘩		𦾴				
	虎					乕	
	虚	虛			虗		
	虜	虜					
	虡		𧇽				
!	虫	蟲				䖝	
	虯					虬	
	虺				𧉇		
	虻		蝱				
	蚊		蟁		蚉		
	蚌				蜯		
	蚓		螾				
!	蚕	蠶				蝅	
	蚡				蚠		
	蚤		𧎮				
	蚦					蚺	
	蛇					虵𧉮	
	蛍	螢					
	蛔		蛕		蚘		
	蛗						𧑉
	蛙		鼃	䵷			
	蛛		鼄				
	蛜		𧉅				
	蛧					蝄	
	蛩					𧉨	
	蛮	蠻					
	蛾				䖸		
	蜂		蠭				
	蜃				蜄		
	蜈				𧋋		
	蜋				螂		
	蜎			肙			
	蜘		鼅				
	蜥				蜤蝷		
	蜮				𧌒		
	蜹					蚋	
	蜿				䖤		
	蝃		螮				
	蝟				猬		
	蝥		蟊	蛑			
	蝨					虱	
	蝶		蜨				
	螜				𧏚		
	螭				彲		
	螳		𧒾		蟷		
	螻					蝼	
	螿				𧌜		
	蟇				蟆		
	蟒					蠎	
	蟖				蟴		
	蟣				𧎶		
	蟬					蝉	
	蟹		蠏				
	蟻		螘				
	蠁				䖮		
	蠅					蝿	
	蠆				𧓽		
	蠕		蝡				
	蠟					䗶蝋	
	蠣				蠇	蛎	
	蠨		蟰				
	蠹			螙		蠧	
	衄					䘐衂	
	衆		眾	𥅫			
	衒				𧗳		
	衛		衞				
	衝		𧘂				
	衮		袞				
	衰		𮕩				
	衽				袵		
	衿		䘳				
	袋				帒		
	袘				𧛖		
	袟				袠		
	袣				𧙟		
	袷				裌		
	装	裝					
	裊		褭				
	裏				裡		
	裙		裠		帬		
	裴		裵				
	裸					躶	
	裹				褁		
	褌		㡓			裩	
	褎				褏		
	褐	褐					
	褒		襃				
	褓		緥				
	襄					㐮	
	襌					褝	
	襒				𧝬		
	襛					穠	
	襤				繿		
	襪		韤		韈		
	襷					𧜎	
	覃		𪉲				
	覆	覆					
	覇		霸				
	規		䂓				
	覓					覔	
	視	視			眂眎		
	覚	覺		覐			
	覧	覽					
	覰					覷覻𧠢	
	観	觀					
	觚				𨠋		
	解					觧	
	觥		觵				
	触	觸					
	觩				觓	𤙠	
	觴				𨢩		
	觶				觗𧣨		
	觿				觽	觹	
	訖		𧥷				
	託				侂		
	記				𧪄		
	訛		譌				
	訩		詾		𧧗		
	訳	譯					
	診					𧦜	
!	証	證					
	訾				訿		
	詆				呧		
	詍					䛖	
	詑				訑𧦧		
	詘				誳		
	詠				咏		
	詬				訽		
	誉	譽					
	説	說					
	読	讀					
	誼		𧧼				
	諂		讇				
	諏				𧩞𧩻		
	諛					䛕	
	諤				讍		
	諦					𧫚	
	諭	諭					
	諱					𮘪	
	諸	諸					
	諾	諾					
	謁	謁					
	謇				𮘭		
	謊		詤				
	謑				䜁𠿇		
	謚				諡		
	謟					𮘦	
	謡	謠					
	謫				讁		
	謳					𧦅	
	謷				謸		
	謹	謹					
	譁					嘩𠵅	
	譖					譛	
	譟					噪	
	譲	讓					
	譾				謭		
	讌				醼		
	讎				讐		
	讒					䜛	
	讕				譋		
	讖					䜟	
	讚					讃	
	谹		𧮯				
	谺				岈		
	谽					𧮳	
	谿				磎豀	𧮾	
	豁		𧯆				
	豅					𧯇	
!	豊	豐					
	豋				𤮘		
	豌		𧯡				
	豎					竪	
	豚				㹠	豘	
	象					𧰼	
	豣				猏𧱚		
	豨				狶		
	豭					猳	
	豵					𤡆	
	豺				犲		
	豻				犴		
	貂				鼦		
	貆		狟				
	貉					狢	
	貊					貃	
	貌		皃		䫉	㒵	
	貒				猯		
	貔				豼		
	貘				獏		
	貛				䝔獾		
	貝					蛽	
	財					戝	
	貴		䝿				
	賓	賓				賔	
	賖					賒	
	賚				𧶛		
	賛	贊					
	賢			贒			
	賤					賎	
	質					貭	
	賺		𧸖				
	賾					𧷤	
	贈	贈					
	贋		贗				
	贍				𩟋		
	贐		賮				
	贓					賍	
	贛		𥫔				
	赤		𤆍				
	赫				焃爀		
	赬		䞓			頳	
	走		𧺆			赱	
	趁					趂	
	趑					䠖趦	
	跋					䟦	
	跖				蹠		
	跛				㝿		
	跡		迹		蹟		
	跬		䞨		蹞		
	跱		歭				
	践	踐					
	踊				踴		
	踏		蹋		蹹		
	踧				𨀚		
	踸				趻𧿒		
	蹄		蹏				
	蹈					𨂻	
	蹕				𠌫		
	蹙				顣		
	蹣				跘𨃟		
	蹤		𨌰				
	蹩				䠥		
	蹲				壿		
	蹴				蹵		
	蹶				蹷		
	躁		趮				
	躄				躃		
	躇				䠧		
	躊					踌	
	躋				隮		
	躐				𨆍		
	躔					𨇠	
	躕					蹰	
	躚				蹮		
	躪				蹸躙		
	躬		躳				
	軀					躯	
	軌				𧗝𨑍	䡄	
	軍		𠣞				
	軟		輭				
	転	轉					
	軫					𨋏	
	軶					軛	
	軽	輕					
	較		䡈				
	輒					輙	
	輛					輌	
	輜		輺				
	輩					軰	
	輴				䡅		
	輸	輸					
	輿				轝		
	轊		軎				
	轗		輡				
	轜		輀				
	轟				輷	軣	
	轢				轣		
	轤					䡎	
	辛		𨐌				
	辞	辭					
	辺	邊				邉	
	迂		迃				
	返				𢓉		
	迤		迆		迱		
	迥					䢛逈	
	迪				廸		
	迫				廹		
	迺						廼
	逃					迯	
	逓	遞					
	逖			逷			
	這					这	
	通			𢓶			
	連	連					
	逬					迸	
	逸	逸					
	遅	遲			遟		
	遌		遻				
	遍		徧				
	過					过	
	遒		逎				
	道			衟			
	達				达		逹
	遙					遥	
	遡		㴑		泝溯		
	遷					迁	
	邃					𨗉	
	還					还	
	邅		𧾍				
	邇					迩𮞘	
	邈				𨘷		逹
	邛						卭
	邢		郉				
	那		𨙻				
	郎	郞					
	郤				郄		
	部			郶			
	郰				鄹		
	郷	鄕					
	都	都					
	鄖				䢵		
	鄜		𨞻				
	酃					𨞖	
	酆					鄷	
	酏				𨠑		
	酔	醉					
	酢				醋		
	酬				醻	酧	
	醇				䣩醕		
	醜				魗		
	醬					醤	
	醮				𥛲		
	醯					䤈	
	醱					醗	
	醸	釀					
	醾				釄		
	釈	釋					
	野			埜	壄	㙒𡌛	
	釜					釡	
	釬				銲		
	釶				鉇鍦		
	鉄	鐵		䥫銕		鐡	
	鉚				𨥫		
	鉛					鈆	
	鉠				鍈		
	鉢				盋	缽	𥁊
	鉤					鈎	
	鉱	鑛	磺		礦	砿	
	銛				錟		𥁊
	銜				㘅啣	衘	
	銭	錢					
	銹				鏥鏽		
	鋏					𨦇	
	鋭	銳				𨦣	
	鋳	鑄					
	錬	鍊					
	録	錄					
	鍐				鑁		
	鍬				鍫		
	鎌				鐮		
	鎔					熔	
	鎖				鏁	鎻	
	鎮	鎭					
	鏖		䥝				
	鏘					𨪙	
	鏝					𨭜	
	鏞				銿		
	鏤					𨩐	
	鏨				鏩		
	鏸					𨫍	
	鐓				鐜		
	鐫					鎸	
	鐸					鈬	
	鑈					鉨	
	鑊					𨯟	
	鑑				鍳鑒		
	鑓						𨯯
	鑠				爍		
	鑢				鋁		
	鑣				䮽		
	鑪					鈩	
	鑲					𮣐	
	鑵					𨫝	
	鑽					鑚	
	閉					閇	
	閏					閠	
	間	閒					
	関	關					
	閲	閱					
	閻					閆	
	闃					閴	
	闊					濶𤄃	
	闘	鬪	鬭				
	阨				阸		
	防				埅		
	陀					陁	
	陋		𨹟				
	降			夅			
	陛				㙄		
	陜				陿		
	陟				徏		
	陡				阧		
	陣		敶				
	陥	陷					
	陰					阴隂	
	険	險					
	陽					阳	
	隆	隆					
	階				堦		
	随	隨					
	隖				塢		
	隙					𨻶	
	隠	隱		乚			
	隣		鄰				
	隴					𨻫	
	隷	隸					
	雁				鳫鴈		
	雄				䧺		
	集		雧	亼		𠍱	
	雋					隽	
	雌				䳄		
	雍		雝				
	雑	雜	襍				
	雕				鵰		
	雖					𨿽	
	雚		雈			𮥶	
	雛				鶵		
	雟				嶲	𪈥	
	難	難					
	雪		䨮				
	雷		靁				
	霊	靈			䨩	㚑灵	
	霍		靃				
	霏				䬠		
	霢					霡	
	霤		𩅸				
	霾				䨪		
	靊					霻	
	靏				靎	靍	
	青	靑					
	静	靜					
	面					靣	
	靭				肕韌	靱	
	靴		鞾				
	靼			𩍕			
	鞋		鞵				
	鞍		鞌				
	鞘				韒		
	鞫		𥷚				
	鞹					鞟	
	韁		繮				
	韄				䪝		
	韅		𩎍				
	韊				䪍		
	韓		𩏑				
	韔				䩨		
	韗		䩵				
	韘				弽		
	韜				縚鞱		
	韝				鞲		
	韠				鞸		
	韭				韮		
	韱					韯	
	韻				韵		
	響	響					
	頤			𦣝		頥	
	頰					頬	
	頷				頜		
	頸					頚	
	頹		穨			頺頽	
	頻	頻	𩕘				
	頼	賴					
	顋					腮	
	額		頟				
	顔	顏					
	顕	顯		㬎			
	顙					䫙	
	顚					顛	
	類	類					
	風			凬	凮飌		
	颻				䬙		
	飄				飃		
	飆				飇	颷飈	
	食		𠊊𩚀				
	飧					飱	
	飪				餁		
	飯	飯				飰	
	飲	飮	㱃				
	飼	飼	飤				
	飾					餝	
	餅		餠				
	餈				䭣		
	餉				饟𩜋		
	養					养	
	餐				湌	飡	
	餞					䬻	
	館	館				舘	
	餬				𩚩		
	餮		飻				
	餱					糇	
	餻				糕		
	饅				𪍩		
	饌		䉵		籑		
	饎					糦	
	饒					𩜙	
	饘				飦		
	饙		𩞑		餴		
	馘		聝				
	駄		馱				
	駅	驛					
	駆	驅		敺		駈	
	駝				駞		
	駻				馯		
	騈					駢	
	騎					𮪍	
	騒	騷					
	験	驗				騐	
	騣					騌	
	騭				𨽥		隲
	騮		駵				
	騾		驘				
	驁		䮯				
	驒					騨	
	驢					馿	
	骪					骫	
	髄	髓			膸		
	高					髙	
	髡				髨	髠	隲
	髢		鬄				
	髥					髯	
	髦				髳𩭾		
	髪	髮					
	髭		頾				
	髹				髤		
	鬢					髩鬂	
	鬣				㲱		
	鬧					閙	
	鬮					䦰䰗	
	鬱					欝𣡸	
	鬲				㽁䰛鎘	𩱔	
	鬴				𩱉		
	鬺		𩰱				
	魂				䰟		
	魅		鬽				
	魌		䫏				
	魚					𩵋	
	魴				鰟		
	鮆				𩶆		
	鮒				𩷺		
	鮨				䱈		
	鮾				鯘		
	鯀				鮌		
	鯇				鯶鰀		
	鯈				䱔鰷		
	鯊				鯋		
	鯨		䲔				
	鯮				鯼		
	鯯				䱥		
	鰋		𩷑				
	鰐				鱷		
	鰥				𩻄		
	鰧				𩺭		
	鰮					鰛	
	鰺		鱢			鯵	
	鱗		𩼩				
	鱪				鱰		
	鱮				魣		
	鱶				鯗	鮝	
	鱸					魲	
	鳧					鳬	
	鴂				鴃		
	鴉				鵶		𩿗
	鴝				鸜		
	鴟				鵄𨾦		𩿗
	鴥				鴪		
	鴳				鷃𨾶		
	鴻				䲨𨾊		
	鴽				鴑		
	鴿				䧻		
	鵁				𩾾𪁉		
	鵑					䳌	
	鵔				鵕		
	鵝				鵞		
	鵡				䳇		
	鵪		䨄				
	鵲		䧿				
	鶃				鶂		
	鶉		𨿡				
	鶏	鷄	雞			𨿸	
	鶚				𩀇		
	鶤				鵾		
	鶪					鵙	
	鶯				鸎	鴬	
	鶴		隺			寉鶴	
	鶺				䳭	𪃹	
	鷀				鶿		
	鷆					鷏	
	鷗					鴎	
	鷳				鷴		
	鷿		𪇊		鸊		
	鹹					醎	
	鹼				鹻	鹸	
	鹿					𢈘	
	麇				麕		
	麗					䴡	
	麞				獐		
	麟				麐		
	麤					麁	
	麦	麥					
	麨				𪍑		
	麩				麬	麸	
	麰				𪍓		
	麳					𪎌	
	麴				麯	麹	
	麺	麵			麪		
	麻					蔴	
	麼					麽	
	麾		𪎮				
	黄	黃					
	黎		𪏯				
	黒	黑					
	黙	默					
	黛		黱				
	黤				黭		
	鼇					鰲	
	鼈					鱉	
	鼎					𣇄𪔂	
	鼓					皷	
	鼖				䩿𢿠𪔵		
	鼗			㲈	鞀鞉		
	鼞				鞺		
	鼠					䑕鼡	
	鼴				鼹		
	齔					齓	
	齞				齴𪗛		
	齟		䶥			𪗱	
	齢	齡					
	齧					囓𪘂	
	齪				齱		
	齬					𪘚	
	齰				齚		
	齲		𤘐				
	齶				腭		
	龠				籥		
	龥		𥸤				
	蘭					蘭	
	菉					菉	
	菱		蔆			菱	
	蓮					蓮	
	遼					遼	
	猪		豬		䐗	猪	
	靖				竫	靖	
	蘒					蘒	
	渚					渚	
	琢					琢	
	祐					祐	
	禎					禎	
	廙					廙	
	𠂣					㐆	
	𠞰				剿劋		
	𡑭					𡋗	
	𡖂					夔虁	
	𢍏					𠔉	
	𢦏		𢦒				
	𢿌				敻	夐	
	𤴡					疐	
	𥁕					昷	
	𥾣					𥿔	
	𦎌				𤚥		
	𦧟		𦧥				
	𧏾				䘌		
	𧽯				䟅		
	𨯁					𨫤	
	𪂂		鶾				
	兔				兔	兎	
	勺					勺	
	巽					巽	
	拼					拼	
	枅					枅	
	栟					栟	
	浩				澔	浩	
	濆					濆	
	硎					硎	
	絣					絣	
	茝					茝	
	莽					莾莽	
	賁					賁	
	鉼					鉼	
