第1水準漢字（JIS X 0208:1990及び0213:2004）	第2水準漢字（JIS X 0208:1990及び0213:2004）	第3水準漢字（JIS X 0213:2004）	第4水準漢字（JIS X 0213:2004）	JIS X 0212:1990
龍				
齢				
鼻				
鼠				
鼓				
鼎				
黛				
黙				
黒				
黍				
黄				
麿				
麻				
麺				
麹				
麦				
麟				
麗				
麓				
鹿				
鹸				
鷺				
鷹				
鷲				
鶴				
鶏				
鵬				
鵡				
鵠				
鵜				
鴻				
鴬				
鴫				
鴨				
鴛				
鴎				
鴇				
鳶				
鳴				
鳳				
鳩				
鳥				
鱗				
鱒				
鱈				
鰻				
鰹				
鰯				
鰭				
鰐				
鰍				
鯵				
鯨				
鯛				
鯖				
鯉				
鮮				
鮭				
鮫				
鮪				
鮒				
鮎				
魯				
魚				
魔				
魅				
魂				
魁				
鬼				
髭				
髪				
高				
髄				
骸				
骨				
驚				
騰				
騨				
験				
騒				
騎				
駿				
駕				
駒				
駐				
駈				
駆				
駅				
駄				
駁				
馴				
馳				
馬				
馨				
香				
首				
饗				
館				
餓				
餐				
餌				
養				
餅				
飾				
飽				
飼				
飴				
飲				
飯				
飢				
食				
飛				
風				
顧				
類				
顛				
願				
顕				
顔				
顎				
額				
題				
頼				
頻				
頴				
頭				
頬				
頚				
領				
頗				
頓				
頒				
頑				
預				
須				
順				
項				
頃				
頂				
頁				
響				
韻				
音				
韮				
韓				
鞭				
鞠				
鞘				
鞍				
鞄				
靴				
靭				
革				
面				
非				
静				
靖				
青				
露				
霧				
霞				
霜				
霊				
震				
需				
電				
雷				
零				
雲				
雰				
雫				
雪				
雨				
難				
離				
雛				
雑				
雌				
雇				
集				
雅				
雄				
雁				
雀				
隼				
隻				
隷				
隣				
隠				
障				
際				
隙				
隔				
随				
階				
隊				
隈				
隆				
隅				
陽				
険				
陸				
陶				
陵				
陳				
陰				
陪				
陥				
除				
陣				
院				
陛				
限				
降				
附				
陀				
阿				
阻				
防				
阪				
阜				
闘				
闇				
閲				
閥				
閤				
閣				
関				
間				
閑				
閏				
開				
閉				
閃				
門				
長				
鑓				
鑑				
鐸				
鐙				
鐘				
鏡				
鏑				
鎮				
鎧				
鎚				
鎗				
鎖				
鎌				
鍾				
鍵				
鍬				
鍛				
鍔				
鍍				
鍋				
録				
錯				
錬				
錫				
錨				
錦				
錠				
錘				
錐				
錆				
鋼				
鋸				
鋳				
鋲				
鋭				
鋪				
鋤				
鋒				
銭				
銚				
銘				
銑				
銅				
銃				
銀				
鉾				
鉱				
鉦				
鉢				
鉛				
鉄				
鈷				
鈴				
鈎				
鈍				
釧				
釦				
釣				
針				
釜				
釘				
金				
量				
野				
重				
里				
釈				
采				
釆				
醸				
醤				
醜				
醗				
醒				
醐				
醍				
醇				
酸				
酷				
酵				
酬				
酪				
酢				
酔				
酒				
酎				
配				
酌				
酋				
酉				
鄭				
都				
郷				
郵				
