一级字表	二级字表	三级字表
一		
丁		
七		
万		
丈		
三		
上		
下		
不		
与		
丐		
丑		
专		
且		
世		
丘		
丙		
业		
丛		
东		
丝		
丢		
两		
严		
丧		
个		
丫		
中		
丰		
串		
临		
丸		
丹		
为		
主		
丽		
举		
乃		
久		
么		
义		
之		
乌		
乍		
乎		
乏		
乐		
乒		
乓		
乔		
乖		
乘		
乙		
九		
乞		
也		
习		
乡		
书		
买		
乱		
乳		
乾		
了		
予		
争		
事		
二		
于		
亏		
云		
互		
五		
井		
亚		
些		
亡		
亢		
交		
亥		
亦		
产		
亩		
享		
京		
亭		
亮		
亲		
人		
亿		
什		
仁		
仅		
仆		
仇		
今		
介		
仍		
从		
仑		
仓		
仔		
他		
仗		
付		
仙		
代		
令		
以		
仪		
们		
仰		
仲		
件		
价		
任		
份		
仿		
企		
伊		
伍		
伏		
伐		
休		
众		
优		
伙		
会		
伞		
伟		
传		
伤		
伦		
伪		
伯		
估		
伴		
伶		
伸		
伺		
似		
佃		
但		
位		
低		
住		
佐		
佑		
体		
何		
余		
佛		
作		
你		
佣		
佩		
佳		
使		
侄		
侈		
例		
侍		
供		
依		
侠		
侣		
侥		
侦		
侧		
侨		
侮		
侯		
侵		
便		
促		
俄		
俊		
俏		
俐		
俗		
俘		
保		
信		
俩		
俭		
修		
俯		
俱		
俺		
倍		
倒		
倔		
倘		
候		
倚		
借		
倡		
倦		
债		
值		
倾		
假		
偎		
偏		
做		
停		
健		
偶		
偷		
偿		
傅		
傍		
储		
催		
傲		
傻		
像		
僚		
僧		
僵		
僻		
儒		
儿		
允		
元		
兄		
充		
兆		
先		
光		
克		
免		
兑		
兔		
党		
兜		
兢		
入		
全		
八		
公		
六		
兰		
共		
关		
兴		
兵		
其		
具		
典		
兹		
养		
兼		
兽		
冀		
内		
冈		
冉		
册		
再		
冒		
冗		
写		
军		
农		
冠		
冤		
冥		
冬		
冯		
冰		
冲		
决		
况		
冶		
冷		
冻		
净		
凄		
准		
凉		
凌		
减		
凑		
凛		
凝		
几		
凡		
凤		
凭		
凯		
凰		
凳		
凶		
凸		
凹		
出		
击		
函		
凿		
刀		
刁		
刃		
分		
切		
刊		
刑		
划		
列		
刘		
则		
刚		
创		
初		
删		
判		
刨		
利		
别		
刮		
到		
制		
刷		
券		
刹		
刺		
刻		
剂		
