第1水準漢字	第2水準漢字	第3水準漢字	第4水準漢字
一			
丁			
七			
万			
丈			
三			
上			
下			
不			
与			
丑			
且			
世			
丘			
丙			
丞			
両			
並			
中			
串			
丸			
丹			
主			
乃			
久			
之			
乍			
乎			
乏			
乗			
乙			
九			
乞			
也			
乱			
乳			
乾			
亀			
了			
予			
争			
事			
二			
云			
互			
五			
井			
亘			
亙			
些			
亜			
亡			
交			
亥			
亦			
亨			
享			
京			
亭			
亮			
人			
什			
仁			
仇			
今			
介			
仏			
仔			
仕			
他			
付			
仙			
代			
令			
以			
仮			
仰			
仲			
件			
任			
企			
伊			
伍			
伎			
伏			
伐			
休			
会			
伝			
伯			
伴			
伶			
伸			
伺			
似			
伽			
佃			
但			
位			
低			
住			
佐			
佑			
体			
何			
余			
作			
佳			
併			
佼			
使			
侃			
例			
侍			
供			
依			
侠			
価			
侭			
侮			
侯			
侵			
侶			
便			
係			
促			
俄			
俊			
俗			
保			
信			
俣			
修			
俳			
俵			
俸			
俺			
倉			
個			
倍			
倒			
倖			
候			
借			
倣			
値			
倦			
倫			
倭			
倶			
倹			
偉			
偏			
停			
健			
偲			
側			
偵			
偶			
偽			
傍			
傑			
傘			
備			
催			
傭			
債			
傷			
傾			
僅			
働			
像			
僑			
僕			
僚			
僧			
僻			
儀			
億			
儒			
償			
優			
儲			
允			
元			
兄			
充			
兆			
兇			
先			
光			
克			
免			
兎			
児			
党			
兜			
入			
全			
八			
公			
六			
共			
兵			
其			
具			
典			
兼			
内			
円			
冊			
再			
冒			
冗			
写			
冠			
冥			
冨			
冬			
冴			
冶			
冷			
凄			
准			
凋			
凌			
凍			
凝			
凡			
処			
凧			
凪			
凱			
凶			
凸			
凹			
出			
函			
刀			
刃			
分			
切			
刈			
刊			
刑			
列			
初			
判			
別			
利			
到			
制			
刷			
券			
刺			
刻			
剃			
則			
削			
前			
剖			
剛			
剣			
剤			
剥			
副			
剰			
割			
創			
劃			
劇			
劉			
力			
功			
加			
劣			
助			
努			
劫			
励			
労			
効			
劾			
勃			
勅			
勇			
勉			
動			
勘			
務			
勝			
募			
勢			
勤			
勧			
勲			
勺			
勾			
勿			
匁			
匂			
包			
化			
北			
匙			
匝			
匠			
匡			
匪			
匹			
区			
医			
匿			
十			
千			
升			
午			
半			
卑			
卒			
卓			
協			
南			
単			
博			
