10級	9級	8級	7級	6級	5級	4級	3級	準2級	2級	準1級	1級
										燦	
										營	
										燕	
										燒	
										燐	
										燈	
										熔	
										煽	
										煤	
										煉	
										焰	
										焚	
										焔	
										烹	
										烏	
										灼	
										灸	
										灣	
										灘	
										灌	
										瀨	
										瀧	
										瀦	
										瀞	
										瀕	
										瀆	
										濱	
										濤	
										濡	
										濠	
										濟	
										濕	
										澱	
										澤	
										澗	
										澁	
										潴	
										潛	
										潑	
										潅	
										漣	
										漕	
										漑	
										漉	
										滿	
										滯	
										溯	
										溫	
										溪	
										溢	
										溜	
										溌	
										湛	
										湘	
										湊	
										渴	
										渥	
										渠	
										渚	
										渕	
										淺	
										淸	
										淵	
										淳	
										淨	
										淚	
										淘	
										淋	
										淀	
										涜	
										涛	
										涌	
										涉	
										浬	
										浩	
										洲	
										洩	
										洛	
										沫	
										沓	
										沒	
										沌	
										汲	
										汝	
										汐	
										汀	
										氣	
										毘	
										每	
										毆	
										毅	
										殼	
										殘	
										殆	
										歸	
										歷	
										歪	
										步	
										此	
										歡	
										歐	
										歎	
										欽	
										欣	
										欝	
										權	
										櫻	
										櫛	
										櫓	
										檮	
										檢	
										檜	
										檎	
										檀	
										橿	
										橫	
										橢	
										橡	
										橘	
										樽	
										樺	
										樵	
										樫	
										樣	
										樟	
										樞	
										樗	
										樓	
										樋	
										樂	
										槻	
										槪	
										槙	
										槍	
										槌	
										槇	
										榮	
										榛	
										榎	
										榊	
										楳	
										楯	
										楢	
										楠	
										楚	
										楕	
										楓	
										楊	
										椿	
										椴	
										椛	
										椙	
										椋	
										椀	
										棲	
										棧	
										棉	
										梼	
										梶	
										梱	
										梯	
										梧	
										梢	
										條	
										梓	
										梁	
										桶	
										桧	
										桔	
										桓	
										桐	
										桂	
										栴	
										栗	
										栖	
										栂	
										柾	
										柴	
										柚	
										柘	
										柑	
										柏	
										柊	
										柁	
										枇	
										杷	
										杵	
										杭	
										杢	
										杜	
										杖	
										杓	
										杏	
										李	
										朔	
										朋	
										會	
										曾	
										曳	
										曝	
										曙	
										曉	
										曆	
										暢	
										智	
										晦	
										晝	
										晚	
										晒	
										晋	
										晉	
										晃	
										昏	
										昌	
										昂	
										旭	
										旣	
										於	
										斷	
										斯	
										斧	
										斡	
										斐	
										斌	
										數	
										敦	
										敕	
										敎	
										敍	
										效	
										收	
										攪	
										攝	
										擾	
										擴	
										擧	
										擢	
										據	
										擔	
										擊	
										擇	
										撹	
										撰	
										播	
										撫	
										撞	
										撚	
										撒	
										摺	
										摸	
										摑	
										搜	
										搖	
										搔	
										揭	
										揖	
										插	
										揃	
										掻	
										掴	
										掬	
										掩	
										掠	
										捺	
										捷	
										捲	
										捧	
										捌	
										挾	
										挽	
										挺	
										按	
										拜	
										拔	
										拂	
										扮	
										托	
										戾	
										戶	
										戲	
										戰	
										戟	
										或	
										戎	
										戊	
										戀	
										懷	
										應	
										憐	
										慾	
										慧	
										慘	
										愼	
										愈	
										惹	
										惱	
										惣	
										惡	
										惠	
										惟	
										惚	
										惇	
										悶	
										悌	
										悉	
										悅	
										恰	
										恢	
										恕	
										恆	
										怯	
										怜	
										忽	
										徽	
										德	
										徵	
										從	
										徑	
										彬	
										彪	
										彦	
										彥	
										彌	
										彊	
										彈	
										弼	
										弛	
										弘	
										弗	
										廿	
										廼	
										廻	
										廳	
										廣	
										廢	
										廠	
										廟	
										廚	
										廓	
										廐	
										廏	
										庵	
										庚	
										庖	
										庇	
										庄	
										幡	
										幌	
										帶	
										帖	
										帀	
										巽	
										巷	
										巴	
										巳	
										巢	
										巖	
										巌	
										嶽	
										嶺	
										嶋	
										嵳	
										嵯	
										嵩	
										崕	
										峽	
										峻	
										峯	
										峩	
										峨	
										岱	
										岨	
										屬	
										屢	
										屡	
										屑	
										屍	
										屆	
										尭	
										尤	
										尙	
										尖	
										對	
										專	
										將	
										寶	
										寵	
										寬	
										寫	
										實	
										寢	
										寓	
										寅	
										宥	
										宕	
										宏	
										宍	
										宋	
										學	
										孟	
										孜	
										孃	
										嬰	
										嬬	
										嬉	
										婁	
										娼	
										娩	
										娃	
										姶	
										姪	
										姦	
										姥	
										姑	
										姐	
										妾	
										妓	
										奬	
										奧	
										套	
										奄	
										夷	
										夙	
										壽	
										壻	
										壺	
										壹	
										壷	
										壯	
										壬	
										壤	
										壞	
										壘	
										壕	
										壓	
										墮	
										增	
										塵	
										塙	
										塘	
										堺	
										堵	
										堰	
										堯	
										埴	
										埠	
										埜	
										垢	
										坦	
										坤	
										坐	
										圭	
										團	
										圖	
										圓	
										圍	
										國	
										圈	
										圃	
										囑	
										囊	
										嚴	
										嚢	
										嚙	
										噺	
										噸	
										噛	
										噓	
										噌	
										噂	
										嘩	
										嘘	
										嘗	
										嘉	
										喰	
										單	
										喬	
										喧	
										喋	
										啞	
										啐	
										啄	
										唖	
										哩	
										哨	
										哉	
										咳	
										咒	
										呑	
										呆	
										吾	
										吻	
										吠	
										吞	
										吋	
										吊	
										吃	
										叶	
										只	
										叩	
										叢	
										叡	
										叛	
										叉	
										參	
										厰	
										厭	
										厩	
										厨	
										卿	
										卽	
										卷	
										卯	
										卦	
										卜	
										區	
										匪	
										匡	
										匝	
										匙	
										匁	
										勿	
										勺	
										勸	
										勵	
										勳	
										勞	
										劫	
										劑	
										劍	
										劉	
										劃	
										剩	
										剃	
										凾	
										函	
										凱	
										凰	
										凪	
										凧	
										凌	
										凋	
										冴	
										册	
										其	
										兩	
										內	
										兜	
										兔	
										兒	
										兎	
										兇	
										允	
										儲	
										儘	
										儉	
										僻	
										價	
										僞	
										僑	
										傳	
										傭	
										偲	
										偓	
										假	
										倶	
										倭	
										倦	
										倖	
										倂	
										俱	
										俣	
										俠	
										俄	
										侠	
										來	
										侃	
										佼	
										佛	
										佑	
										佃	
										伽	
										伶	
										伍	
										伊	
										仔	
										仇	
										什	
										亮	
										亨	
										亦	
										亥	
										亞	
										些	
										亙	
										亘	
										云	
										亂	
										也	
										乘	
										乎	
										乍	
										之	
										乃	
										丞	
										丑	
										㵎	
											賁
											莽
											絣
											瑇
											濆
											枅
											卉
											𬵪
											𫒼
											𩶗
											𣶏
											𠞰
											﨟
											龠
											龕
											龐
											齷
											齶
											齲
											齬
											齪
											齧
											齦
											齣
											齠
											齟
											齔
											齏
											齎
											鼾
											鼹
											鼴
											鼯
											鼬
											鼕
											鼈
											鼇
											黽
											黼
											黻
											黹
											黷
											黶
											黴
											黯
											黥
											黠
											黝
											黜
											黔
											黐
											黏
											黎
											黌
											麾
											麼
											麸
											麭
											麩
											麤
											麝
											麕
											麑
											麌
											麋
											麈
											麇
											麁
											鹹
											鹵
											鸞
											鸛
											鷽
											鷸
											鷯
											鷭
											鷦
											鷙
											鷓
											鷆
											鷂
											鷁
											鶻
											鶺
											鶸
											鶲
											鶫
											鶪
											鶩
											鶤
											鶚
											鶎
											鶍
											鶉
											鶇
											鶄
											鵺
											鵲
											鵯
											鵥
											鵤
											鵞
											鵝
											鵙
											鵑
											鵇
											鵆
											鵄
											鵁
											鴿
											鴾
											鴪
											鴥
											鴣
											鴟
											鴕
											鴒
											鴉
											鴆
											鴃
											鴂
											鳰
											鳬
											鳧
											鱸
											鱶
											鱲
											鱩
											鱧
											鱠
											鱟
											鱛
											鱚
											鱓
											鱏
											鱇
											鱆
											鰾
											鰰
											鰮
											鰧
											鰥
											鰤
											鰛
											鰚
											鰙
											鰘
											鰕
											鰔
											鰓
											鰒
											鰌
											鰊
											鰉
											鰈
											鰆
											鰄
											鯲
											鯱
											鯰
											鯤
											鯣
											鯢
											鯡
											鯔
											鯒
											鯑
											鯐
											鯏
											鯎
											鯊
											鯀
											鮹
											鮸
											鮴
											鮲
											鮱
											鮨
											鮠
											鮟
											鮗
											鮖
											鮓
											鮑
											鮇
											鮃
											魸
											魴
											魳
											魬
											魞
											魘
											魑
											魏
											魎
											魍
											魄
											魃
											鬻
											鬯
											鬮
											鬭
											鬩
											鬨
											鬧
											鬣
											鬢
											鬟
											鬚
											鬘
											鬆
											髻
											髷
											髴
											髱
											髯
											髫
											髦
											髥
											髣
											髢
											髑
											髏
											髀
											骼
											骰
											骭
											驪
											驩
											驥
											驤
											驢
											驟
											驕
											驎
											驍
											驃
											驂
											驀
											騾
											騭
											騫
											騙
											騏
											騈
											騅
											騁
											駻
											駸
											駱
											駮
											駭
											駢
											駟
											駝
											駛
											駘
											駑
											馮
											馭
											馥
											馘
											馗
											饕
											饒
											饑
											饐
											饌
											饋
											饉
											饅
											饂
											餾
											餽
											餮
											餬
											餤
											餡
											餞
											餔
											餒
											餉
											餃
											飭
											飫
											飩
											飜
											飆
											飄
											颶
											颱
											颯
											颪
											顴
											顳
											顱
											顰
											顬
											顫
											顋
											顆
											頽
											頹
											頷
											頤
											頡
											頏
											頌
											韶
											韵
											韲
											韞
											韜
											韋
											韈
											韆
											鞴
											鞳
											鞫
											鞨
											鞦
											鞣
											鞜
											鞐
											鞏
											鞋
											鞆
											鞅
											鞁
											靼
											靺
											靫
											靨
											靦
											靤
											靡
											靠
											靉
											靆
											靄
											靂
											霾
											霽
											霹
											霸
											霰
											霪
											霤
											霙
											霖
											霓
											霑
											霏
											霎
											霍
											霈
											霆
											霄
											雹
											雖
											雕
											雎
											雍
											雋
											雉
											隴
											隰
											隧
											隘
											隗
											隕
											隍
											隋
											陲
											陬
											陟
											陞
											陝
											陜
											陌
											陋
											陂
											阯
											阮
											阨
											阡
											闥
											闢
											闡
											闖
											闕
											闔
											闍
											闌
											闊
											闃
											閾
											閼
											閻
											閹
											閭
											閨
											閧
											閙
											閘
											閔
											閊
											閂
											钁
											鑿
											鑾
											鑽
											鑼
											鑷
											鑵
											鑰
											鑪
											鑢
											鑠
											鑞
											鑚
											鑒
											鐺
											鐶
											鐫
											鐚
											鐔
											鐓
											鐐
											鐃
											鏨
											鏤
											鏝
											鏘
											鏗
											鏖
											鏐
											鏈
											鏃
											鎺
											鎹
											鎰
											鎬
											鍼
											鍮
											鍠
											錻
											錺
											錵
											錣
											錚
											錙
											錏
											鋺
											鋩
											鋏
											銹
											銷
											銜
											銛
											銖
											銕
											銓
											鉞
											鉗
											鉋
											鉉
											鉈
											鉅
											鈿
											鈞
											鈕
											鈔
											鈑
											釿
											釵
											釐
											釉
											釁
											醺
											醵
											醴
											醯
											醪
											醢
											醋
											醂
											酳
											酲
											酩
											酥
											酣
											酖
											酊
											鄲
											鄙
											鄒
											鄂
											郤
											郢
											郛
											邵
											邱
											邯
											邨
											邏
											邇
											邃
											邂
											邁
											邀
											遽
											遶
											遯
											遨
											遘
											遖
											遒
											遑
											遐
											遏
											遉
											逾
											逵
											逬
											逧
											逡
											逞
											逖
											逕
											逑
											逎
											逍
											逋
											逅
											迹
											迸
											迴
											迪
											迥
											迢
											迚
											辷
											辮
											辟
											辜
											轤
											轢
											轜
											轗
											轎
											轌
											轆
											轅
											轂
											輾
											輻
											輹
											輳
											輦
											輟
											輜
											輛
											輙
											輓
											輒
											輌
											輊
											輅
											輀
											軾
											軼
											軻
											軫
											軛
											軋
											軈
											躾
											躱
											躮
											躬
											躪
											躡
											躙
											躔
											躓
											躑
											躋
											躊
											躇
											躅
											躄
											躃
											躁
											蹼
											蹻
											蹶
											蹲
											蹤
											蹣
											蹠
											蹙
											蹕
											蹐
											蹌
											蹊
											蹉
											蹈
											蹇
											蹂
											踵
											踴
											踰
											踟
											踞
											踝
											踑
											踉
											跿
											跼
											跫
											跪
											跣
											跟
											跛
											跚
											跖
											跏
											跎
											跌
											跋
											跂
											趾
											趺
											趙
											趁
											赳
											赭
											赬
											赧
											贖
											贔
											贓
											贐
											贏
											贍
											贇
											贅
											贄
											賽
											賻
											賺
											賚
											賈
											賁
											貽
											貶
											貲
											貘
											貎
											貊
											貉
											貂
											豺
											豢
											豕
											豌
											豈
											豁
											谿
											谺
											讙
											讖
											讒
											讐
											讎
											讌
											譴
											譬
											譫
											譟
											譛
											譚
											譖
											譏
											譎
											譌
											譁
											謾
											謳
											謫
											謨
											謦
											謚
											謗
											謖
											謔
											謐
											謌
											謇
											諷
											諳
											諱
											諤
											諢
											諡
											諠
											諞
											諛
											諚
											諍
											諄
											諂
											誨
											誦
											誥
											誣
											誡
											誚
											誑
											誅
											誄
											誂
											詼
											詭
											詬
											詢
											詛
											詒
											詈
											詆
											詁
											訶
											訥
											訝
											訛
											訖
											訐
											訌
											觴
											觥
											觝
											觜
											觚
											覿
											覲
											覯
											覬
											覩
											覦
											覡
											覘
											覓
											覈
											覃
											襷
											襴
											襯
											襭
											襪
											襦
											襤
											襠
											襞
											襍
											襌
											襄
											襁
											褻
											褸
											褶
											褫
											褪
											褥
											褞
											褝
											褓
											褌
											褊
											褄
											褂
											裼
											裹
											裴
											裲
											裨
											裙
											裘
											裔
											裎
											裄
											裃
											袿
											袵
											袱
											袰
											袤
											袢
											袞
											袙
											袗
											袒
											袍
											袂
											衾
											衽
											衵
											衲
											衮
											衫
											衢
											衙
											衒
											衍
											衊
											衄
											蠹
											蠱
											蠧
											蠢
											蠡
											蠖
											蠕
											蠑
											蠎
											蠍
											蠊
											蠆
											蟾
											蟷
											蟶
											蟯
											蟪
											蟠
											蟒
											蟎
											蟋
											蟇
											蟆
											蟄
											蟀
											螾
											螽
											螻
											螳
											螯
											螫
											螟
											螗
											螈
											螂
											蝸
											蝴
											蝲
											蝮
											蝨
											蝣
											蝠
											蝟
											蝙
											蝘
											蝗
											蝓
											蝎
											蝌
											蜿
											蜻
											蜹
											蜷
											蜴
											蜩
											蜥
											蜚
											蜓
											蜒
											蜑
											蜍
											蜋
											蜊
											蜉
											蜈
											蜆
											蜃
											蜀
											蛻
											蛹
											蛯
											蛬
											蛩
											蛟
											蛞
											蛔
											蛉
											蛆
											蛄
											蚶
											蚰
											蚯
											蚫
											蚪
											蚩
											蚣
											蚓
											蚌
											蚋
											虱
											虧
											虔
											虒
											蘿
											蘯
											蘢
											蘚
											蘗
											蘖
											蘋
											蘊
											蘆
											藾
											藺
											藹
											藜
											藕
											藐
											藉
											薺
											薹
											薨
											薤
											薜
											薛
											薔
											薑
											薐
											薏
											薊
											薈
											薇
											薀
											蕾
											蕷
											蕭
											蕣
											蕘
											蕕
											蕈
											蕁
											蕀
											蔬
											蔡
											蔟
											蔘
											蔗
											蔕
											蔔
											蓿
											蓼
											蓴
											蓙
											蓖
											蓐
											蓍
											蓆
											蓁
											蒿
											蒻
											蒹
											蒭
											蒡
											蒟
											蒂
											葷
											葯
											葭
											葩
											葆
											萼
											萸
											萵
											萢
											萍
											萃
											萁
											菽
											菴
											菲
											菫
											菠
											菘
											菎
											菁
											莽
											莪
											莨
											莢
											莠
											莟
											莚
											莓
											莎
											莉
											莅
											荼
											荵
											荳
											荐
											荅
											荀
											茹
											茵
											茴
											茲
											茱
											茯
											茫
											茣
											茘
											茗
											茉
											茆
											范
											苻
											苺
											苹
											苴
											苳
											苣
											苡
											苟
											苞
											苜
											苙
											苆
											芻
											芬
											芫
											芦
											芟
											芒
											芍
											艾
											艸
											艱
											艫
											艪
											艨
											艤
											艢
											艟
											艝
											艚
											艙
											艘
											艀
											舸
											舳
											舫
											舒
											舐
											舅
											舂
											舁
											臾
											臻
											臧
											臠
											臚
											臙
											臘
											臑
											臍
											臉
											臈
											臂
											臀
											膾
											膺
											膵
											膰
											膩
											膣
											膠
											膊
											膈
											膃
											膂
											膀
											腴
											腱
											腮
											腥
											腠
											腟
											腓
											腑
											腋
											腆
											腁
											脾
											脯
											脩
											脣
											脛
											胼
											胱
											胯
											胥
											胝
											胛
											胚
											胙
											胖
											胄
											肭
											肬
											肛
											肚
											肓
											肆
											肄
											聿
											聶
											聳
											聢
											聟
											聚
											聘
											聒
											聊
											聆
											耿
											耨
											耦
											耡
											耜
											耙
											耘
											耋
											耆
											耄
											翹
											翳
											翩
											翦
											翡
											翕
											翔
											翊
											翅
											羹
											羸
											羶
											羲
											羯
											羝
											羚
											羔
											羌
											羈
											羇
											羆
											羃
											羂
											罹
											罩
											罨
											罧
											罠
											罟
											罘
											罕
											罔
											罎
											罍
											罌
											罅
											缸
											纜
											纛
											纘
											纔
											纓
											纐
											纊
											纉
											纈
											纃
											繽
											繻
											繹
											繳
											繧
											繦
											繞
											繝
											繚
											繙
											繖
											繈
											繆
											繃
											縻
											縺
											縹
											縷
											縵
											縲
											縢
											縡
											縟
											縕
											縒
											縋
											縊
											縉
											縅
											緲
											緤
											緡
											緞
											緝
											緘
											緇
											綽
											綺
											綸
											綵
											綰
											綯
											綮
											綫
											綦
											綣
											綢
											綟
											綛
											綏
											綉
											絽
											絳
											絮
											絨
											絣
											絛
											絖
											絏
											絎
											絆
											絅
											紿
											紵
											紲
											紮
											紜
											紕
											紊
											紉
											紆
											紂
											糺
											糶
											糴
											糲
											糱
											糯
											糝
											糜
											糒
											糅
											糂
											糀
											粽
											粳
											粲
											粱
											粨
											粤
											粢
											粏
											粃
											籵
											籬
											籥
											籤
											籡
											籟
											籙
											籖
											籔
											籒
											籐
											籌
											籃
											籀
											簽
											簷
											簫
											簪
											簧
											簣
											簟
											簗
											簔
											簓
											簒
											簑
											簍
											簇
											簀
											篷
											篳
											篪
											篩
											篥
											篡
											篝
											篌
											篋
											篆
											篁
											箴
											箝
											箜
											箚
											箙
											箘
											箒
											箏
											箍
											筺
											筵
											筴
											筲
											筱
											筰
											筮
											筬
											筧
											筥
											筝
											筓
											筐
											筍
											筌
											筅
											笵
											笳
											笨
											笞
											笙
											笘
											笏
											笋
											笊
											笆
											笄
											竽
											竰
											竭
											竦
											竢
											竡
											竟
											竚
											站
											竕
											竓
											竏
											竍
											竇
											竅
											竄
											窿
											窶
											窩
											窘
											窖
											窕
											窈
											穽
											穹
											穢
											穡
											稷
											稠
											稟
											稍
											稈
											秬
											秧
											秣
											秕
											秉
											禺
											禹
											禳
											禧
											禝
											禊
											禀
											祺
											祠
											祟
											祚
											祗
											祓
											祀
											礬
											礫
											礙
											礒
											礑
											磽
											磴
											磬
											磧
											磚
											磔
											磑
											磋
											磊
											磅
											碾
											碼
											碪
											碣
											碚
											碌
											硼
											硅
											砠
											砒
											砌
											矼
											矻
											矮
											矣
											矜
											矚
											矍
											矇
											瞿
											瞽
											瞼
											瞻
											瞰
											瞠
											瞞
											瞑
											瞎
											瞋
											睾
											睹
											睫
											睨
											睥
											睛
											睚
											睇
											眸
											眷
											眩
											眦
											眥
											眛
											眈
											眇
											眄
											盻
											盪
											盧
											盥
											盞
											盒
											盍
											盂
											皺
											皹
											皸
											皴
											皰
											皚
											皙
											皖
											皓
											皎
											皁
											癸
											癴
											癲
											癰
											癭
											癬
											癪
											癩
											癨
											癧
											癢
											癜
											癘
											癈
											癇
											癆
											瘻
											瘴
											瘰
											瘧
											瘤
											瘢
											瘡
											瘠
											瘟
											瘋
											瘉
											瘁
											痿
											痾
											痼
											痺
											痹
											痳
											痲
											痰
											痣
											痞
											痙
											痒
											痍
											痊
											痃
											痂
											疽
											疼
											疸
											疵
											疳
											疱
											疥
											疣
											疝
											疚
											疔
											疇
											疆
											畸
											畴
											畭
											畬
											畤
											畛
											畚
											畋
											甸
											甦
											甕
											甓
											甎
											甍
											甌
											甅
											甄
											甃
											瓸
											瓷
											瓲
											瓱
											瓰
											瓮
											瓩
											瓧
											瓠
											瓔
											瓏
											瓊
											璢
											璞
											璋
											璇
											瑾
											瑶
											瑰
											瑯
											瑪
											瑩
											瑤
											瑣
											瑟
											瑜
											瑙
											瑕
											瑇
											瑁
											琺
											琲
											琥
											琅
											珮
											珥
											珞
											珈
											珀
											玻
											玳
											玫
											獺
											獰
											獮
											獪
											獗
											獏
											猾
											猴
											猯
											猩
											猥
											猝
											猜
											猗
											猖
											猋
											猊
											狷
											狢
											狡
											狠
											狒
											狎
											狆
											狄
											狃
											犲
											犢
											犖
											犒
											犇
											犂
											犁
											牾
											牴
											牘
											牖
											牋
											牆
											牀
											爰
											爬
											爨
											爛
											爍
											燿
											燼
											燻
											燹
											燵
											燮
											燬
											燧
											燠
											燗
											燔
											燎
											燉
											熾
											熹
											熬
											熨
											熙
											熕
											熏
											熈
											熄
											煬
											煦
											煥
											煢
											煖
											煕
											煌
											焠
											焜
											焙
											焉
											烽
											烱
											烟
											烝
											烙
											烋
											炸
											炷
											炳
											炯
											炮
											炬
											炙
											炒
											灑
											瀾
											瀲
											瀰
											瀟
											瀝
											瀛
											瀚
											瀑
											瀏
											瀋
											瀉
											瀁
											濾
											濺
											濶
											濬
											濛
											濘
											濔
											濆
											澹
											澳
											澪
											澣
											澡
											澎
											澆
											澂
											潺
											潸
											潯
											潭
											潦
											潘
											漿
											漾
											漲
											漱
											漓
											滾
											滸
											滷
											滲
											滬
											滕
											滔
											滓
											滌
											滉
											滄
											滂
											溽
											溷
											溲
											溥
											溟
											溘
											溏
											溂
											湲
											湮
											湫
											湎
											湍
											湃
											渾
											渺
											游
											渭
											渫
											渣
											渟
											渝
											渙
											淹
											淬
											淪
											淤
											淙
											淒
											淌
											淆
											淅
											涸
											涵
											涕
											涓
											涎
											涅
											浹
											浣
											浚
											浙
											洽
											洸
											洶
											洵
											洫
											洟
											洒
											洌
											泯
											泪
											泝
											泛
											泗
											泓
											泅
											泄
											沾
											沽
											沱
											沮
											沪
											沛
											沚
											沐
											沍
											沂
											沁
											汪
											汨
											汞
											汕
											氛
											氓
											氈
											毳
											毯
											毬
											毫
											毟
											毋
											殷
											殲
											殱
											殯
											殫
											殪
											殤
											殞
											殍
											殄
											殃
											殀
											歿
											歠
											歟
											歛
											歙
											歔
											歉
											歇
											歃
											欹
											欸
											欷
											欖
											欒
											欅
											櫺
											櫱
											櫪
											櫨
											櫟
											櫚
											櫃
											櫂
											櫁
											檻
											檸
											檳
											檬
											檪
											檣
											檠
											檗
											檔
											檐
											檋
											檄
											橦
											橙
											橈
											橇
											橄
											樸
											樛
											樔
											樒
											樊
											樅
											槿
											槹
											槲
											槭
											槨
											槧
											槔
											槓
											槐
											槎
											槊
											槃
											槁
											榾
											榻
											榴
											榱
											榧
											榜
											榕
											榔
											榑
											榁
											榀
											楾
											楹
											楸
											楮
											楫
											楡
											楞
											楝
											楔
											椽
											椹
											椶
											椰
											椚
											椒
											椏
											椈
											椄
											椁
											棹
											棣
											棠
											棘
											棗
											棕
											棍
											棊
											梻
											梺
											梵
											梳
											梲
											梭
											梠
											梟
											梛
											梔
											梏
											梃
											桿
											桷
											桴
											桝
											桛
											桙
											桎
											框
											桄
											桀
											栲
											栫
											栩
											栞
											柯
											柮
											柬
											柩
											柤
											柢
											柞
											柝
											柎
											枹
											枸
											枷
											枴
											枳
											枡
											枌
											枋
											枉
											枅
											杼
											杳
											杲
											杪
											杣
											杠
											杞
											杙
											杆
											朿
											朸
											朶
											朮
											朧
											朦
											朞
											朏
											曼
											曷
											曰
											曬
											曩
											曦
											曠
											曚
											曄
											曁
											暾
											暹
											暝
											暘
											暉
											暈
											暄
											晳
											晰
											晨
											晧
											晤
											晣
											晢
											晟
											晞
											晏
											晁
											昿
											昶
											昵
											昴
											昜
											昊
											昃
											旻
											旱
											旰
											旛
											旒
											旌
											旆
											旄
											旃
											旁
											斫
											斟
											斛
											斃
											斂
											敲
											敞
											敝
											敖
											攬
											攫
											攤
											攣
											攢
											攘
											攅
											攀
											擽
											擺
											擲
											擱
											擯
											擣
											擡
											擠
											擘
											擒
											擅
											擂
											撼
											撻
											撩
											撥
											撕
											撓
											撈
											摶
											摧
											摏
											摎
											搶
											搴
											搨
											搦
											搤
											搗
											搓
											搏
											搆
											揶
											揩
											揣
											揉
											揆
											揄
											揀
											掾
											掫
											掣
											掟
											掖
											掏
											掎
											掉
											掀
											捶
											捫
											捩
											捓
											捐
											捏
											捍
											挘
											挌
											挈
											挂
											拿
											拵
											拱
											拯
											拮
											拗
											拑
											拏
											拌
											拋
											拊
											拈
											拇
											拆
											抻
											抬
											抛
											抖
											抔
											抓
											抒
											抉
											抃
											找
											扼
											扨
											扣
											扠
											扞
											扛
											扎
											扈
											扁
											戳
											戮
											截
											戡
											戞
											戛
											戔
											戍
											戌
											戉
											戈
											懿
											懾
											懽
											懼
											懺
											懶
											懴
											懦
											懣
											懍
											懌
											懋
											懊
											懈
											懆
											懃
											憺
											憮
											憫
											憚
											憖
											憔
											憑
											憊
											慷
											慵
											慴
											慳
											慫
											慥
											慠
											慟
											慝
											慚
											慙
											慓
											慍
											慊
											慇
											慂
											愿
											愾
											愴
											愬
											愨
											愧
											愕
											愒
											愎
											愍
											愆
											愃
											愀
											惻
											惺
											惷
											惶
											惴
											惘
											惓
											惆
											悾
											悽
											悸
											悵
											悴
											悧
											悤
											悛
											悚
											悖
											悒
											悍
											悋
											悄
											悃
											悁
											恬
											恫
											恪
											恤
											恟
											恚
											恙
											恍
											恊
											恃
											恂
											恁
											怺
											怱
											怫
											怩
											怦
											怡
											怛
											怙
											怕
											怏
											怎
											忿
											忻
											忸
											忱
											忰
											忤
											忝
											忖
											徼
											徭
											徨
											徙
											徘
											徊
											很
											徇
											徂
											彿
											彽
											彷
											彭
											彝
											彜
											彗
											彎
											弸
											弯
											弭
											弩
											弖
											弑
											弍
											弌
											弋
											弉
											廸
											廱
											廬
											廩
											廨
											廡
											廝
											廛
											廖
											廈
											廂
											廁
											庠
											幺
											幷
											并
											幵
											幫
											幢
											幟
											幗
											幔
											幎
											幇
											幄
											幃
											幀
											帷
											帛
											帚
											帙
											帑
											巵
											已
											巫
											巓
											巒
											巍
											巉
											嶼
											嶷
											嶮
											嶬
											嶢
											嶝
											嶇
											嶄
											嶂
											嵬
											嵒
											嵎
											嵌
											嵋
											崢
											崟
											崛
											崚
											崙
											崘
											崔
											崑
											峭
											峪
											峙
											岫
											岔
											岑
											岌
											屹
											屶
											屮
											屭
											屠
											屛
											屓
											屏
											屎
											屁
											尹
											尸
											尨
											尠
											寰
											寨
											寥
											寤
											寞
											寔
											寐
											寇
											寃
											宸
											宦
											孽
											孼
											孺
											孶
											孵
											孳
											孱
											孰
											孩
											孥
											孛
											孚
											孕
											孒
											孑
											孅
											孀
											嬾
											嬶
											嬲
											嬪
											嬖
											嬌
											嬋
											嫻
											嫺
											嫩
											嫦
											嫣
											嫗
											嫖
											嫋
											嫂
											媾
											媽
											媼
											媚
											婬
											婪
											婢
											婉
											婀
											娶
											娵
											娥
											娟
											娜
											娑
											娉
											姸
											姮
											姨
											姜
											姚
											姙
											姆
											妲
											妣
											妝
											妍
											妁
											奸
											奢
											奠
											奚
											奘
											奕
											奐
											奎
											夾
											夸
											夲
											夭
											夬
											夥
											夐
											壼
											壥
											壟
											壜
											壙
											壑
											壎
											壅
											墻
											墟
											墅
											塿
											塹
											塒
											塋
											堽
											堡
											堝
											堙
											堋
											堊
											埳
											埒
											埆
											埃
											垤
											垠
											垓
											坿
											坩
											坡
											坏
											坎
											址
											圻
											圦
											圜
											圉
											圄
											圀
											囿
											囹
											囮
											囓
											囈
											囃
											囂
											囁
											囀
											嚼
											嚶
											嚮
											嚬
											嚥
											嚠
											嚔
											嚏
											嚊
											嚆
											嚀
											噯
											噬
											噫
											噪
											噦
											噤
											噎
											噁
											嘸
											嘶
											嘴
											嘯
											嘛
											嘖
											嘔
											嗾
											嗽
											嗷
											嗤
											嗟
											嗜
											嗚
											嗔
											嗇
											嗄
											喨
											喟
											喞
											喙
											喘
											喑
											喊
											喇
											喃
											喀
											啾
											啼
											啻
											啣
											啜
											啗
											啖
											啅
											啀
											唹
											唸
											唳
											售
											唔
											唏
											哽
											哳
											哮
											哭
											哦
											哥
											哢
											哈
											哇
											哄
											哂
											咸
											咬
											咫
											咨
											咥
											咤
											咢
											咐
											咏
											咎
											咆
											咄
											咀
											呻
											呷
											呶
											呵
											呱
											呰
											呟
											呏
											呎
											吽
											吼
											吶
											吮
											吭
