10級	9級	8級	7級	6級	5級	4級	3級	準2級	2級	準1級	1級
				条							
				暴							
				易							
				旧							
				断							
				救							
				故							
				政							
				支							
				損							
				提							
				接							
				採							
				授							
				招							
				技							
				慣							
				態							
				情							
				性							
				快							
				応							
				志							
				復							
				得							
				往							
				張							
				弁							
				序							
				幹							
				常							
				師							
				布							
				属							
				居							
				導							
				寄							
				容							
				婦							
				妻							
				夢							
				士							
				増							
				墓							
				境							
				報							
				堂							
				基							
				型							
				均							
				在							
				圧							
				囲							
				団							
				因							
				営							
				喜							
				告							
				史							
				可							
				句							
				厚							
				勢							
				務							
				効							
				則							
				制							
				判							
				刊							
				再							
				像							
				備							
				停							
				個							
				修							
				保							
				価							
				余							
				似							
				任							
				件							
				仮							
				仏							
				久							
					骨						
					預						
					頂						
					革						
					難						
					障						
					除						
					陛						
					降						
					閣						
					閉						
					鋼						
					銭						
					針						
					郷						
					郵						
					遺						
					退						
					賃						
					貴						
					警						
					諸						
					論						
					誤						
					誠						
					誕						
					認						
					誌						
					詞						
					訳						
					訪						
					討						
					覧						
					視						
					補						
					裏						
					装						
					裁						
					衆						
					蚕						
					蔵						
					蒸						
					著						
					若						
					舌						
					至						
					臨						
					臓						
					腹						
					腸						
					脳						
					胸						
					背						
					胃						
					肺						
					聖						
					翌						
					署						
					縮						
					縦						
					絹						
					純						
					納						
					紅						
					系						
					糖						
					簡						
					策						
					筋						
					窓						
					穴						
					穀						
					秘						
					私						
					磁						
					砂						
					看						
					盟						
					盛						
					皇						
					痛						
					疑						
					異						
					班						
					片						
					熟						
					灰						
					激						
					潮						
					源						
					済						
					派						
					洗						
					泉						
					沿						
					段						
					欲						
					樹						
					権						
					模						
					棒						
					株						
					染						
					枚						
					机						
					朗						
					暮						
					暖						
					晩						
					映						
					敵						
					敬						
					操						
					揮						
					推						
					探						
					捨						
					拡						
					拝						
					担						
					承						
					批						
					我						
					憲						
					恩						
					忠						
					忘						
					従						
					律						
					延						
					座						
					庁						
					幼						
					干						
					幕						
					巻						
					己						
					層						
					展						
					届						
					尺						
					就						
					尊						
					将						
					射						
					専						
					寸						
					密						
					宣						
					宝						
					宙						
					宗						
					宇						
					宅						
					孝						
					存						
					姿						
					奮						
					奏						
					域						
					垂						
					困						
					善						
					呼						
					吸						
					否						
					后						
					収						
					厳						
					卵						
					危						
					勤						
					劇						
					創						
					割						
					刻						
					券						
					処						
					冊						
					党						
					優						
					傷						
					値						
					俵						
					俳						
					供						
					仁						
					亡						
					乳						
					乱						
					並						
						齢					
						鼓					
						黙					
						麗					
						鮮					
						鬼					
						髪					
						驚					
						騒					
						駆					
						飾					
						頼					
						項					
						響					
						露					
						霧					
						震					
						需					
						雷					
						離					
						雌					
						雅					
						雄					
						隷					
						隣					
						隠					
						陰					
						陣					
						闘					
						鑑					
						鎖					
						鋭					
						鉛					
						鈍					
						釈					
						郎					
						避					
						遣					
						違					
						遅					
						途					
						透					
						逃					
						迫					
						迎					
						込					
						輩					
						輝					
						載					
						較					
						軒					
						躍					
						踏					
						踊					
						跳					
						跡					
						距					
						趣					
						越					
						贈					
						賦					
						販					
						豪					
						謡					
						誉					
						誇					
						詳					
						詰					
						訴					
						触					
						襲					
						被					
						薪					
						薄					
						蓄					
						菓					
						荒					
						茂					
						芝					
						芋					
						般					
						舟					
						舞					
						舗					
						致					
						膚					
						腰					
						腕					
						腐					
						脱					
						脚					
						脂					
						胴					
						肪					
						肩					
						耐					
						翼					
						罰					
						繰					
						繁					
						縁					
						緯					
						網					
						維					
						継					
						絡					
						紹					
						紫					
						紋					
						粒					
						範					
						箇					
						端					
						突					
						稿					
						稲					
						称					
						秀					
						祈					
						砲					
						矛					
						瞬					
						眠					
						盾					
						盤					
						監					
						盗					
						盆					
						皆					
						療					
						疲					
						畳					
						甘					
						環					
						珍					
						玄					
						獲					
						獣					
						猛					
						狭					
						狩					
						狂					
						爆					
						燥					
						煮					
						煙					
						烈					
						為					
						濃					
						濁					
						澄					
						漫					
						滴					
						溶					
						渡					
						添					
						淡					
						涙					
						浸					
						浮					
						浜					
						泊					
						況					
						沼					
						沢					
						沈					
						汚					
						汗					
						殿					
						殖					
						歳					
						歓					
						欄					
						桃					
						柔					
						柄					
						枯					
						杯					
						朽					
						朱					
						替					
						更					
						曇					
						暦					
						暇					
						普					
						是					
						旬					
						旨					
						斜					
						敷					
						敏					
						攻					
						撃					
						摘					
						搬					
						援					
						握					
						描					
						掘					
						捕					
						振					
						拠					
						拓					
						拍					
						押					
						抵					
						抱					
						抜					
						抗					
						扱					
						払					
						扇					
						戯					
						戒					
						憶					
						慮					
						慢					
						慎					
						惨					
						惑					
						悩					
						恵					
						恥					
						恒					
						恐					
						恋					
						怖					
						怒					
						忙					
						徴					
						微					
						御					
						征					
						彼					
						影					
						彩					
						弾					
						弐					
						床					
						幾					
						幅					
						帽					
						巨					
						巡					
						峰					
						峠					
						屈					
						尾					
						尽					
						尋					
						寝					
						寂					
						婚					
						娘					
						威					
						姓					
						妙					
						奴					
						奥					
						奇					
						壱					
						壊					
						壁					
						塔					
						堤					
						堅					
						執					
						坊					
						圏					
						噴					
						嘆					
						唐					
						咲					
						吹					
						含					
						吐					
						召					
						叫					
						及					
						却					
						即					
						占					
						匹					
						勧					
						劣					
						剤					
						剣					
						刺					
						到					
						刈					
						凶					
						凡					
						冒					
						兼					
						儀					
						僧					
						傾					
						傍					
						偉					
						倒					
						俗					
						侵					
						依					
						伺					
						仰					
						介					
						互					
						乾					
						丹					
						丘					
						与					
						丈					
							鶏				
							鯨				
							魔				
							魅				
							魂				
							髄				
							騎				
							駐				
							餓				
							飽				
							顧				
							霊				
							零				
							雇				
							隻				
							隔				
							随				
							隆				
							陶				
							陵				
							陳				
							陪				
							阻				
							閲				
							鐘				
							鎮				
							鍛				
							錯				
							錬				
							錠				
							鋳				
							酵				
							酔				
							郭				
							郊				
							邪				
							邦				
							遵				
							遭				
							遇				
							遂				
							逮				
							辱				
							辛				
							軸				
							軌				
							超				
							赴				
							赦				
							賢				
							賊				
							貫				
							豚				
							譲				
							謀				
							諾				
							諮				
							請				
							誘				
							該				
							詠				
							託				
							訂				
							覆				
							裸				
							裂				
							袋				
							衰				
							衝				
							蛮				
							虚				
							虐				
							藩				
							葬				
							華				
							菊				
							苗				
							芳				
							膨				
							膜				
							脅				
							胞				
							胎				
							胆				
							肝				
							聴				
							翻				
							繕				
							縫				
							縛				
							緩				
							締				
							緊				
							綱				
							絞				
							紺				
							紛				
							糧				
							粘				
							粗				
							粋				
							籍				
							簿				
							篤				
							符				
							窒				
							穫				
							穏				
							穂				
							稚				
							祉				
							礎				
							碑				
							硬				
							癖				
							痘				
							疾				
							畜				
							畔				
							甲				
							獄				
							猟				
							犠				
							牲				
							焦				
							炎				
							炊				
							炉				
							瀬				
							濫				
							潤				
							潜				
							漏				
							漂				
							滞				
							滝				
							滑				
							滅				
							湿				
							湾				
							浪				
							泌				
							没				
							殴				
							殊				
							欺				
							欧				
							概				
							楼				
							棋				
							棄				
							桑				
							某				
							架				
							暫				
							晶				
							昇				
							既				
							施				
							斥				
							斤				
							斗				
							敢				
							擦				
							擁				
							撮				
							摂				
							搾				
							携				
							揺				
							換				
							揚				
							掲				
							措				
							控				
							掛				
							排				
							掌				
							掃				
							拘				
							抽				
							択				
							抑				
							房				
							憩				
							憎				
							憂				
							慰				
							慨				
							慕				
							慌				
							慈				
							愚				
							惜				
							悦				
							悟				
							悔				
							恨				
							怪				
							怠				
							忌				
							徐				
							彫				
							弧				
							廊				
							廉				
							幽				
							幻				
							帝				
							帆				
							巧				
							崩				
							峡				
							岳				
							尿				
							封				
							寿				
							審				
							宴				
							孤				
							孔				
							嬢				
							嫁				
							婿				
							婆				
							娯				
							姫				
							妨				
							如				
							奪				
							契				
							奉				
							壇				
							墾				
							墳				
							墨				
							墜				
							塗				
							塊				
							埋				
							坑				
							嘱				
							喫				
							喚				
							啓				
							哲				
							哀				
							吏				
							吉				
							双				
							又				
							厘				
							卸				
							卓				
							卑				
							匿				
							匠				
							募				
							勘				
							励				
							削				
							刑				
							凝				
							凍				
							冠				
							冗				
							免				
							克				
							債				
							催				
							偶				
							倹				
							倣				
							促				
							侍				
							佳				
							伸				
							伴				
							伐				
							伏				
							企				
							了				
							乙				
							乏				
								麻			
								騰			
								駄			
								飢			
								顕			
								頻			
								頒			
								頑			
								韻			
								靴			
								霜			
								雰			
								隅			
								陥			
								附			
								閥			
								閑			
								銘			
								銃			
								鉢			
								鈴			
								釣			
								醸			
								醜			
								酷			
								酬			
								酪			
								酢			
								酌			
								邸			
								還			
								遷			
								遮			
								遍			
								逸			
								逝			
								逓			
								逐			
								迭			
								迅			
								轄			
								軟			
								践			
								購			
								賠			
								賜			
								賓			
								賄			
								貢			
								貞			
								譜			
								謹			
								謙			
								謄			
								謁			
								諭			
								誓			
								詔			
								詐			
								診			
								訟			
								覇			
								襟			
								褒			
								褐			
								裕			
								衷			
								衡			
								融			
								蛍			
								蛇			
								蚊			
								虞			
								虜			
								藻			
								薫			
								薦			
								菌			
								荘			
								茎			
								艦			
								艇			
								舶			
								臭			
								肯			
								肢			
								肖			
								肌			
								耗			
								翁			
								羅			
								罷			
								缶			
								繭			
								繊			
								緒			
								紳			
								累			
								索			
								紡			
								糾			
								粧			
								粛			
								筒			
								竜			
								窯			
								窮			
								窃			
								稼			
								秩			
								租			
								禍			
								禅			
								祥			
								礁			
								磨			
								碁			
								硫			
								硝			
								砕			
								矯			
								督			
								睡			
								眺			
								盲			
								癒			
								痴			
								痢			
								症			
								疫			
								疎			
								畝			
								甚			
								瓶			
								璽			
								琴			
								珠			
								猿			
								猶			
								献			
								猫			
								爵			
								煩			
								濯			
								漸			
								漬			
								漠			
								漆			
								溝			
								渦			
								渓			
								渋			
								渉			
								渇			
								淑			
								涼			
								涯			
								浦			
								浄			
								洪			
								津			
								洞			
								泰			
								泥			
								泡			
								沸			
								江			
								汁			
								殻			
								殉			
								款			
