AT車
A判
BC兵器
B判
B級
CGS単位系
EP盤
IH調理器
K点
LP盤
L判
L字溝
MKSA単位系
M判
O脚
PL法
P波
Q熱
Rh因子
R指定
SI単位
SP盤
S判
S波
T字路
T定規
V字
X線
X脚
Y字路
Z旗
iPS細胞
α波
α線
β線
γ線
○×式
〆切
〆粕
〆高
〆鯖
あっと言う間に
あっと言わせる
あの手この手
あばら屋
あほう払
あほう払い
あら汁
いざ知らず
いせ込
いせ込み
いの一番
いびり出す
い音便
うそ寒い
うら若い
うるさ型
うろ覚え
うんもすうも無く
う音便
えて公
えのころ草
えも言われぬ
おっ母
おっ父
おもしろ半分
おもしろ尽
おもしろ尽く
お伺いを立てる
お勉め品
お勉品
お多福
お多福豆
お多福風邪
お安くない
お寺さん
お払い箱
お払箱
お目ざ
お目に掛かる
お目に掛ける
お腹
お里が知れる
お高く止まる
かっ飛ばす
かと思うと
かと言って
かなぐり捨てる
かも知れない
かるが故に
かわいい子には旅をさせよ
かんかん帽
かんかん虫
かんじん縒
かんじん縒り
か弱い
か細い
か黒い
がた減
がた減り
がた落
がた落ち
がちゃ目
がぶ飲
がぶ飲み
がらがら声
がらがら蛇
がら空
がら空き
がり勉
きな臭い
きの字
きりきり舞
きりきり舞い
ぎっくり腰
ぎゅう詰
ぎゅう詰め
ぎょろ目
くたびれ儲
くたびれ儲け
くの字点
くれ手
くノ一
ぐい吞
ぐい吞み
ぐい呑
ぐい呑み
ぐい飲
ぐい飲み
ぐうの音
ぐしょ濡
ぐしょ濡れ
ぐれん隊
けいず買
けいず買い
けじめを食らう
けちん坊
けん玉
ここを以
ここを以て
こそ泥
こっ酷い
こどもの日
こども園
こびり着く
ころ柿
こん畜生
ごた混
ごた混ぜ
ごちゃ混
ごちゃ混ぜ
ごった煮
ごった返す
ごて得
ごね得
ごみ取
ごみ取り
ごみ屋敷
ごみ溜
ごみ溜め
ごろ寝
さらけ出す
さん付
さん付け
さ入れ言葉
さ緑
さ迷う
ざく切
ざく切り
ざまは無い
ざら場
ざら紙
ざんばら髪
したり顔
しだれ柳
しだれ桜
しち難しい
しち面倒
しゃがみ込む
しゃしゃり出る
しゃっ面
しょげ込む
しょげ返る
しょっつる鍋
しょっ引く
しょぼ濡れる
じゃが芋
じゃじゃ馬
じゃん拳
じり安
じり押
じり押し
じり貧
じり高
すっぽ抜ける
すっ飛ばす
すっ飛ぶ
するのは訳が無い
する訳には行かない
ずうずう弁
ずば抜ける
ずぶ濡
ずぶ濡れ
ずべ公
ずり上がる
ずり上る
ずり落ちる
ずれ込む
ずわい蟹
ずん切
ずん切り
ず太い
ず抜ける
せぐり上げる
せせら笑う
そう言えば
そそけ立つ
そそり立つ
そぼ濡れる
そぼ降る
そよ吹く
それ見たことか
そんじょ其処ら
そ首
ぞろ目
たくし上げる
たくし込む
たった今
たぶの木
ため口
たるを失わない
たわい無い
たんぽ槍
たん瘤
だからと言って
だだっ広い
だだら遊
だだら遊び
だふ屋
だぼ鯊
だら幹
だれ気味
ちぎり絵
ちぎれ雲
