AT車
A判
B判
B級
CGS単位系
IH調理器
JIS漢字
K点
O脚
PL法
Rh式血液型
R指定
T字路
T定木
T定規
X線
X脚
Z旗
あえ物
あか光り
あか抜け
あか抜ける
あきれ果てる
あきれ返る
あく抜き
あぐら鼻
あぐり網
あげくの果て
あざ笑う
あし原
あし毛
あし笛
あし辺
あずかり知る
あぜ編み
あぜ道
あだ名
あだ情け
あだ桜
あだ花
あだ討ち
あつらえ向き
あつらえ物
あで姿
あに図らん
あに図らんや
あの世
あの子
あの手この手
あばたも靨
あばら家
あばら骨
あぶり出し
あぶり出す
あぶり物
あめ煮
あめ玉
あめ細工
あめ色
あやかり者
あや取り
あや取る
あや織り
あら捜し
あら汁
あら煮
ありの塔
ありの実
あり余る
あり合わせ
あり地獄
あり得る
あり方
あり塚
ある時払い
あわ立つ
あんころ餅
あんこ型
あん肝
いい人
いい仲
いい加減
いい気
いい顔
いかもの食い
いかり草
いがみ合い
いがみ合う
いが栗
いきり立つ
いけ好かない
いさり火
いざ知らず
いざ鎌倉
いじめっ子
いため革
いちょう返し
いで湯
いとこ煮
いとし子
いとまを乞う
いの一番
いびり出す
いぶし銀
いぼ痔
いもち病
いやが上に
いや増さる
いや増す
いり卵
いり玉子
いり粉
いり豆
いり豆腐
いろは歌
いわし雲
うかがい知る
うがち過ぎ
うぐいす嬢
うぐいす張り
うぐいす色
うぐいす豆
うぐいす餅
うさぎ跳び
うしお汁
うしお煮
うじ虫
うずみ火
うずら豆
うず高い
うせ物
うそから出た実
うそも方便
うそを吐け
うそ偽り
うそ八百
うそ字
うそ寒い
うそ寒さ
うそ泣き
うたい文句
うたぐり深い
うたた寝
うだつが上がらない
うつし世
うどん粉
うなぎ登り
うな丼
うな重
うば桜
うまい汁を吸う
うまず女
うま口
うま煮
うま酒
うら寂しい
うら寂しげ
うら寂しさ
うら恥ずかしい
うら恥ずかしげ
うら恥ずかしさ
うら悲しい
うら悲しげ
うら悲しさ
うら木
うら枯れ
うら枯れる
うら若い
うら若げ
うら若さ
うりざね顔
うり二つ
うるさ型
うれしい悲鳴
うれし泣き
うれし涙
うろこ雲
うろ抜き
うろ抜く
うろ覚え
うわの空
えて公
えの油
えびす講
えびす顔
えびで鯛を釣る
えび固め
えび染め
えび腰
えび茶
えび錠
えり分ける
えり好み
えり嫌い
えり抜き
えり抜く
おうむ返し
おか釣り
おき火
おすそ分け
おたふく豆
おたふく風邪
おちょぼ口
おち方
おっぽり出す
おつぼ口
おとぎ話
おびき出す
おびき寄せる
おぼろ夜
おぼろ昆布
おぼろ月
おぼろ雲
おみこしを上げる
おろし金
おろ抜き
おろ抜く
お七夜
お三どん
お三時
お上
お上りさん
お下がり
お下げ
お下地
お世辞
お中
お丸
お主
お互い
お互い様
お交じり
お人よし
お人好し
お仕着せ
お仕置き
お仕舞い
お付き
お付け
お代
お作り
お供
お供え
お侠
お俠
お偉方
お側
お傍
お先棒
お先真っ暗
お先真っ闇
お八つ
お冠
お冷や
お出かけ
お出まし
お初
お初穂
お前
お勤め品
お化け
お口汚し
お古
お召し
お召し替え
お召し物
お告げ
お呼ばれ
お呼びでない
お呼び立て
お喋り
お国
お国入り
お土産
お坊ちゃん
お墨付き
お声がかり
