㵎壑
㵎声
㵎水
㵎渓
㵎渓（溪）・㵎谿・㵎壑・㵎谷
㵎溪
㵎籟
㵎聲
㵎谷
㵎谿
㵎阿
㵎響
㵎響（響）・㵎声（聲）・㵎籟
㵎響
䪡塩
䪡塩（鹽）
䪡粉
䪡鹽
一世
一乗
一乗（乘）
一乘
一些
一人
一介
一体
一体（體）
一倡三嘆
一倡三歎
一倡三嘆
一元
一元論
一函
一刀三礼
一刀三礼（禮）
一刀三禮
一刀両断
一刀両斷
一刀両（兩）断（斷）
一刀兩断
一刀兩斷
一切
一切経
一切経音義
一切経（經）
一切経（經）音義
一切經
一切經音義
一刻
一刻千金
一力
一匡
一双
一双（雙）
一口
一名
一向
一味
一命
一唱三嘆
一唱三歎
一唱三嘆
一唱（＝倡）三嘆（嘆）（＝歎）
一喜一憂
一団
一団和気
一団和氣
一団（團）
一団（團）和気（氣）
一国
一国三公
一国（國）
一国（國）三公
一國
一國三公
一團
一團和気
一團和氣
一坐
一場春夢
一壺外
一壺天
一夏
一天
一天万乗
一天万乘
一天万（萬）乗（乘）
一天萬乗
一天萬乘
一夫
一如
一字千金
一字師
一字褒貶
一宗
一定
一家
一家言
一寒
一寸光陰不可軽
一寸光陰不可軽（輕）
一寸光陰不可輕
一将功成万骨枯
一将功成萬骨枯
一将（將）功成万（萬）骨枯
一將功成万骨枯
一將功成萬骨枯
一尊
一局
一己
一帆風順
一帯
一帯（帶）
一帶
一幅
一年之計在于春
一座
一座・一坐
一張一弛
一往
一往一來
一往一来
一往一来（來）
一律
一心
一応
一応（應）
一念
一念通天
一意
一應
一所懸命
一抔土
一抹
一括
一挙
一挙一動
一挙両得
一挙兩得
一挙手一投足
一挙（擧）
一挙（擧）一動
一挙（擧）両（兩）得
一挙（擧）手一投足
一掃
一掬
一掬涙
一掬涙（淚）
一掬淚
一揆
一撮
一撮土
一擧
一擧一動
一擧両得
一擧兩得
一擧手一投足
一擲
一擲賭乾坤
一攫千金
一敗塗地
一散
一斉
一斉（齊）
一斑
一斑評全豹
一斛
一新
一旅
一日
一日三秋
一日之長
一日千里
一日暴之十日寒之
一日難再晨
一日難（難）再晨
一日難再晨
一旦
一旦有緩急
一昨
一時
一暴十寒
一曲
一曲之士
一更
一望千里
一朝
一朝一夕
一朝之忿
一朝之患
一期
一札
一朶
一朶雲
一条鞭
一条（條）鞭
一枝春
一條鞭
一概
一概（槪）・一槩
一槩
一槪
一死生
一殺多生
一毛不抜
一毫
一気
一気呵成
一気（氣）
一気（氣）呵成
一氣
一氣呵成
一汁一菜
一沐三捉髪
一洗
一涯
一瀉千里
一炊之夢
一炷
一片
一片冰心
一片月
一片氷心
一片氷（＝冰）心
一物不知
一犬吠形百犬吠声
一犬吠形百犬吠声（聲）
一犬吠形百犬吠聲
一狐之腋
一狐裘三十年
一献
一献（獻）
一獻
一生面
一盞
一目十行
一目散
一目散・一散
一目瞭然
一瞥
一知半解
一石
一石二鳥
一碧
一碧万頃
一碧万（萬）頃
一碧萬頃
一稔
一端
一竿
一竿風月
一笑
一簑
一簞食一瓢飲
一簞食一瓢飲・一簞食一豆羹
一簞食一豆羹
一簣
一簣之功
一籌
一粟
