一世
一乗
一乗（乘）
一乘
一五一十
一人
一人当千
一人当（當）千
一人當千
一介
一会
一会（會）
一体
一体（體）
一倡三歎
一元
一入
一再
一刀両断
一刀両断（兩斷）
一刀兩斷
一切
一切合切
一切経音義
一切経（經）音義
一切經音義
一切衆生
一別
一刹那
一刻
一刻千金
一匡
一半
一双
一双（雙）
一向
一味
一命
一品
一喜一憂
一喝
一喝（喝）
一嚬一笑
一堂
一場春夢
一壺天
一天
一天万乗
一天万乗（萬乘）
一天萬乘
一如
一字之師
一字千金
一字褒貶
一存
一宇
一定
一家言
一寸
一寸光陰不可軽
一寸光陰不可軽（輕）
一寸光陰不可輕
一将功成万骨枯
一将（將）功成万（萬）骨枯
一將功成萬骨枯
一尊
一局
一巡
一帯
一帯（帶）
一帶
一幅
一座
一廉
一張一弛
一張羅
一律
一得一失
一徹
一心
一応
一応（應）
一念
一意
一應
一所懸命
一抔土
一抹
一挙
一挙一動
一挙両得
一挙両（擧兩）得
一挙手一投足
一挙（擧）
一挙（擧）一動
一挙（擧）手一投足
一掃
一掬
一揆
一揖
一握
一撮
一擧
一擧一動
一擧兩得
一擧手一投足
一擲
一攫千金
一敗塗地
一斉
一斉（齊）
一斑
一斑評全豹
一日
一日三秋
一日之長
一日千里
一日暴之十日寒之
一日難再晨
一日難（難）再晨
一日難再晨
一旦
一旦有緩急
一曲之士
一更
一會
一服
一望千頃
一朝
一朝一夕
一朝之忿
一期
一期一会
一期一会（會）
一期一會
一札
一朶
一枝春
一概
一死一生知交情
一殺多生
一毫
一気呵成
一気（氣）呵成
一氣呵成
一汁一菜
一沐三捉髪
一沐三捉髪（髮）
一沐三捉髮
一涯
一瀉千里
一炊之夢
一点鐘
一点（點）鐘
一片
一片氷心
一犬吠形百犬吠声
一犬吠形百犬吠声（聲）
一犬吠形百犬吠聲
一狐之腋
一狐裘三十年
一献
一献（獻）
一獻
一環
一生懸命
一生面
一病息災
一盞
一盞灯
一盞灯（燈）
一盞燈
一目散
一目瞭然
一瞥
一知半解
一石二鳥
一碧万頃
一碧万（萬）頃
一碧萬頃
一端
一竿風月
一笑
一簞食一瓢飲
一簣
一簣之功
一粲
一統
一網打尽
一網打尽（盡）
一網打盡
一縷
一罰百戒
一脈
一臂
一茶頃
一葉落知天下秋
一葦
一蓮托生
一衣帯水
一衣帯（帶）水
一衣帶水
一裘一葛
一見如旧
一見識
一視同仁
一視（視）同仁
一触即発
一触即発（觸卽發）
一觴一詠
一觸卽發
一言出口駟不及舌
一言半句
一言居士
一計
一諾千金
一議
一貫
一路
一蹴
一躍
一軌
一辺倒
一辺（邊）倒
一途
一進一退
一過
一邊倒
一部始終
一郭
一鉤
一門
一閑張
一陣
一陽來復
一陽来復
一陽来（來）復
一隻眼
一雙
一面識
一韻到底
一顧
一顧傾城
一食頃
一飧之徳
一飧之徳（德）
一飧之德
一飯三吐哺
一餉
一饋而十起
一騎当千
一騎当（當）千
一騎當千
一體
一髪
一髪引千鈞
一髪（髮）
一髪（髮）引千鈞
一髮
一髮引千鈞
一點鐘
一齊
一喝
一視同仁
一（弌）
丁丁
丁丁発止
丁丁発（發）止
丁丁發止
丁半
丁口
丁場
丁壮
丁壮（壯）
丁壯
丁夜
丁女
丁子
丁寧
丁寧｛叮嚀｝
丁年
丁幾
丁当
丁当（當）
丁役
丁憂
丁男
丁當
丁祭
丁稚
丁重
丁銀
丁香
丁香結
丁髷
丁｛鄭｝重
七七日
七五三縄
七五三縄（繩）
七五三繩
七十二候
七十子
七去
七国
七国之乱
七国（國）
七国（國）之乱（亂）
七國
七國之亂
七堂
七夕
七大
七宝
七宝（寶）
七寶
七尺
七尺去不踏師影
七徳
七徳（德）
七德
七情
七政
七教
七星
七曜
七書
七校
七歩才
七生
七略
七福神
七福神（福神）
七竅
七経
七経（經）
七經
七縦七擒
七縦（縱）七擒
七縱七擒
七言古詩
七言律詩
七言絶句
七賢
七転〔（轉）｛顚｝〕八倒
七転八倒
七転八起
七転（轉）八起
七轉八倒
七轉八起
七難
七難（難）
七音
七顚八倒
七香車
七福神
七難
万一
万万
万万（萬萬）
万世
万乗之君
万乗（萬乘）之君
万井
万人敵
万仞
万全
万力
万化
万古
万国
万国（萬國）
万姓
万宇
万宝
万宝（萬寶）
万寿
万寿節
万寿節（萬壽節）
万寿（萬壽）
万屋
万巻
万巻（萬卷）
万年青
万径
万径（萬徑）
万感
万態
万慮一失
万戸
万戸侯
万斛
万斯同
万方
万朶
万機
万歳
万歳楽
万死
万死一生
万物
万物逆旅
万状
万状（萬狀）
万畳
万畳（萬疊）
万目
万石
万福
万福（萬福）
万端
万策
万籟
万紫千紅
万緑叢中紅一点
万緑（萬綠）叢中紅一点（點）
万縁
万縁（萬緣）
万能
万般
万葉
万象
万里侯
万里同風
万里橋
万里長城
万鈞
万鍾
万障
万難
万難（萬難）
万雷
万頃
万骨
万（萬）一
万（萬）世
万（萬）井
万（萬）人敵
万（萬）仞
万（萬）全
万（萬）力
万（萬）化
万（萬）古
万（萬）姓
万（萬）宇
万（萬）屋
万（萬）年青
万（萬）感
万（萬）態
万（萬）慮一失
万（萬）戸
万（萬）戸侯
万（萬）斛
万（萬）斯同
万（萬）方
万（萬）朶
万（萬）機
万（萬）歳
万（萬）歳楽（樂）
万（萬）死
万（萬）死一生
万（萬）物
万（萬）物逆旅
万（萬）目
万（萬）石
万（萬）端
万（萬）策
万（萬）籟
万（萬）紫千紅
万（萬）能
万（萬）般
万（萬）葉
万（萬）象
万（萬）里侯
万（萬）里同風
万（萬）里橋
万（萬）里長城
万（萬）鈞
万（萬）鍾
万（萬）障
万（萬）雷
万（萬）頃
万（萬）骨
万（萬）（万）
丈丈
丈人
丈六
丈夫
丈室
丈母
丈（𠀋）
三三九度
三三五五
三上
三不去
三世
三五夜
三人成市虎
三人行必有我師
三代
三伏
三伝
三伝（傳）
三位一体
三位一体（體）
三位一體
三体
三体詩
三体（體）
三体（體）詩
三余
三余（餘）
三傑
三傳
三元
三公
三冬
三分鼎足
三十二相
三十六宮
三十六策走是上計
三十六計
三千世界
三友
三台
三史
三司
三后
三和土
三品
三唐
三嘆
三嘆（嘆）
三器
三国
三国志
三国演義
三国（國）
三国（國）志
三国（國）演義
三國
三國志
三國演義
三墳五典
三変
三変（變）
三夏
三多
三大聖樹
三大青銅器
三孤
三宅観瀾
三宅観（觀）瀾
三宅觀瀾
三宝
三宝（寶）
三家
三寒四温
三寒四温（溫）
三寒四溫
三寶
三寸舌
三尊
三尸
三尺
三尺童子
三峡
三峡（峽）
三島毅
三峽
三巳
三巴
三師
三幅対
三幅対（對）
三幅對
三年不窺園
三年不蜚不鳴
三弦
三弦｛絃｝
三径
三径（徑）
三徑
三従
三従（從）
三從
三徳
三徳（德）
三德
三思
三愆
三戒
三才
三才図会
三才図会（圖會）
三才圖會
三折肱
三教
三方
三族
三易
三春
三昧
三時
三晉
三晋
三晋（晉）
三曲
三更
三本
三業
三楽
三楽（樂）
三樂
三権
三権（權）
三權
三正
三毬杖
三民主義
三河
三浣
三災
三牲
三猿
三王
三界
三畏
三略
三番叟
三百代言
三皇
三皇五帝
三省
三知
三礼
三礼（禮）
三神山
三神（神）山
三禮
三秋
三秋思
三章
三筆
三絃
三経
三経（經）
三經
三綱
三綱領
三老
三老五更
三聖
三苗
三蔵
三藐三菩提
三蘇
三行
三計
三論
三變
三蹟
三軍
三軍可奪帥
三辰
三辺
三辺（邊）
三途
三途川
三通
三邊
三都
三都賦
三里
三鈷
三門
三閭大夫
三革
三鞭酒
三韓
三韻
三顧
三飧
三餘
三體
三體詩
三鼓
三神山
三嘆
三（弎）
上丁
上下
上世
上乗
上乗（乘）
上乘
上交
上京
上人
上仙
上元
上冬
上医
上医（醫）
上午
上卿
上古
上司
上告
上品
上善
上国
上国（國）
上國
上墓
上士
上声
上声（聲）
上壽
上天
上奏
上官儀
上客
上寿
上寿（壽）
上将
上将（將）
上將
上巳
上帝
上平
上弦
上意
上戸
上手
上指
上日
上旨
上旬
上書
上林
上柱国
上柱国（國）
上柱國
上根
上梓
上棟
上洛
上清
上游
上田
上甲
上申
上界
上略
上皇
上相
上知
上程
上第
上策
上納
上聞
上聲
上肢
上腿
上膊
上苑
上蔟
上衆
上表
上覧
上覧（覽）
上覽
上計
上訴
上諭
上謁
上謁（謁）
上賓
上足
上農
上道
上達
上達部
上醫
上頭
上﨟
上謁
上（丄）
下世
下世話
下乗
下乗（乘）
下乘
下交
下人
下付
下体
下体（體）
下元
下克上
下克｛剋｝上
下剋上
下剤
下剤（劑）
下劑
下劣
下午
下司
下吏
下向
下命
下品
下問
下国
下国（國）
下國
下土
下地
下堂
下士
下壽
下奴
下婢
下学上達
下学集
下学（學）上達
下学（學）集
下學上達
下學集
下官
下寿
下寿（壽）
下帷
下平
下座
下弦
下情
下意
下愚
下戸
下手
下手人
下放
下旬
下枝
下根
下民
下泉
下游
下火
下獄
下界
下痢
下直
下知
下種
下第
下筆
下策
下肢
下腿
下舂
下落
下血
下衆
下賜
下賤
下走
下足
下車
下輩
下達
下邳
下酒物
下里
下野
下降
下陳
下馬評
下體
下﨟
下（丅）
不一
不世
不世出
不中
不予
不予（豫）
不仁
不佞
不例
不侮暗室
不便
不俱戴天
不倒翁
不倫
不偏
不偏不党
不偏不党（黨）
不偏不黨
不備
不党
不党（黨）
不入虎穴不得虎子
不共
不具
不刊
不動尊
不動明王
不即不離
不即（卽）不離
不卽不離
不友
不可
不可思議
不可解
不可諱
不問
不善
不器
不図
不図（圖）
不圖
不埒
不堪
不壊
不壊（壞）
不壞
不夜城
不如帰
不如帰（歸）
不如意
不如歸
不孝
不孫
不定
不実
不実（實）
不宣
不實
不審
不尽
不尽（盡）
不屈
不屑
不帰
不帰（歸）
不平
不幸
不庭
不弁咫尺
不弁菽麦
不弁（辨）咫尺
不弁（辨）菽麦（麥）
不弟
不当
不当（當）
不得要領
不忍
不忠
不快
不忿
不悱不発
不悱不発（發）
不悱不發
不惑
不惜身命
不愧于屋漏
不慮
不憤不啓
不成器
不才
不抜
不抜（拔）
不拔
不撓
不敏
不敢当
不敢当（當）
不敢當
不敬
不敵
不文律
不断
不断（斷）
不斷
不日
不易
不服
不朽
不材
不束
不歸
不死身
不毛
不求甚解
不治
不況
不浄
不浄（淨）
不淑
不淨
不測
不漁
不然
不犯
不由径
不當
不盡
不知其子視其友
不知其子視（視）其友
不知其子視其友
不知手之舞足之蹈
不知火
不磨
不祥
不祥事
不祥（祥）
不祥（祥）事
不祿
不禄
不禄（祿）
不穀
不穀（穀）
不穏
不穏（穩）
不穩
不窋
不立文字
不第
不粋
不粋（粹）
不粹
不精
不経
不経（經）
不經
不羈
不群
不義
不老不死
不肖
不能
不腆
不臣
不興
不苟
不蔵怒
不虞
不血食
不行跡
不見転
不見転（轉）
不見轉
不覚
不覚（覺）
不覺
不解衣帯
不解衣帯（帶）
不解衣帶
不言
不言之教
不言実行
不言実（實）行
不言實行
不訾
不諱
不識一丁字
不豫
不貞
不貴尺璧重寸陰
不起
不践迹
不践（踐）迹
不踐迹
不踰矩
不躓於山躓於垤
不軌
不辜
不辨咫尺
不辨菽麥
不辰
不退転
不退転（轉）
不退轉
不通
不通水火
不逞
不遇
不運
不道
不遷怒
不釈巻
不釈（釋）巻
不釋巻
不随
不随（隨）
不隨
不颺
不黨
不祥
不祥事
不穀
与不善人居如入鮑魚之肆
与与
与与（與）
与世推移
与件
与党
与党（黨）
与其有諾責也寧有已怨
与力
与国
与国（國）
与國
与太者
与奪
与時俯仰
与知
与議
与黨
与（與）
与（與）其有諾責也寧有已怨
与（與）時俯仰
丐取
丐命
丐子
丐戸
丑三
丑（丒）
且夫
且月
且説
丕命
丕図
丕図（圖）
丕圖
丕基
丕子
丕承
丕祚
丕績
丕顕
丕顕（顯）
丕顯
世主
世事
世交
世人
世代
世俗
世儒
世務
世塵
世外
世嫡
世子
世家
世帯
世帯（帶）
世帶
世徳
世徳（德）
世德
世情
世態
世才
世故
世栄
世栄（榮）
世業
世榮
世母
世父
世用
世界
世知
世祖
世祖（祖）
世祿
世禄
世禄（祿）
世系
世累
世胄
世臣
世表
世襲
世説
世説新語
世論
世譜
世辞
世辞（辭）
世辭
世途
世運
世道
世間
世祖
世（丗）（卋）
丘冢
丘園
丘土
丘墟
丘墳
丘壑
丘山
丘木
丘民
丘索
丘軻
丘里之言
丘阜
丘陵
丘隴
丘首
丘（坵）
丙丁
丙午
丙夜
丞丞
丞史
丞相
両両
両両（兩）
両京
両儀
両全
両制
両可
両周
両岐
両当
両当（當）
両得
両心
両成敗
両断
両断（斷）
両斷
両朝
両浙
両淮
両漢
両漢（漢）
両當
両税法
両立
両端
両舌
両虎共闘
両虎共闘（鬪）
両虎共鬪
両部
両都
両重陽
両間
両雄不俱立
両頭蛇
両髦
両漢
両（兩）（两）
並世
並称
並称（稱）
並稱
並肩
並行
並（竝）（傡）
丫頭
中二千石
中井履軒
中京
中人
中伏
中使
中傷
中元
中冬
中分
中務省
中医
中医（醫）
中原
中原之鹿
中和
中品
中唐
中啓
中国
中国（國）
中國
中土
中堂
中堅
中士
中壽
中夏
中夕
中外
中夜
中天
中子
中孚
中官
中宮
中宵
中寿
中寿（壽）
中射
中将
中将（將）
中將
中尉
中山
中岳
中岳（嶽）
中嶽
中座
中庭
中庶子
中庸
中廚
中情
中懐
中懐（懷）
中懷
中断
中断（斷）
中斷
中日
中旬
中春
中書
中書令
中書省
中書舎人
中有
中朝
中枢
中枢（樞）
中樞
中正
中歳
中毒
中気
中気（氣）
中氣
中江藤樹
中涓
中男
中秋
中空
中絶
中老
中肯綮
中腸
中腹
中興
中舎
中華
中葉
中行
中貴
中途
中道
中郎
中酒
中醫
中風
中食
中饋
中﨟
丰容
丰采
丱女
丱童
丱角
串戯
串戯（戲）
串戲
丸薬
丸髷
丹丘
丹前
丹堊
丹墀
丹壑
丹心
丹念
丹書
丹朱
丹液
丹田
丹砂
丹精
