A/D変換
ABC兵器
AM放送
AO入試
A判
BC兵器
B判
B型肝炎
B級
CBR兵器
CBU爆弾
CFE条約
CGS単位
CR生産
C型肝炎
D/A変換
DNA鑑定
EP盤
ES細胞
EUREKA計画
FM放送
GG石油
GT車
IP電話
JIS漢字
K点
LF飲料
LP盤
MHD発電
MKSA単位
MKS単位
NBC兵器
NIS諸国
NK細胞
O脚
PL法
P波
Rh因子
R因子
R指定
SAL便
SPF豚
SP盤
S波
T字路
T定規
T細胞
U字溝
W杯
XY型
X線
X脚
ZD運動
Z旗
iPS細胞
x線
x脚
γ線
டり付ける
ட咤
ட声
ட正
ட責
ああ言えばこう言う
あいそが尽きる
あいそも小想も尽き果てる
あいそを尽かす
あいづちを打つ
あうんの呼吸
あおすじを立てる
あおは藍より出でて藍より青し
あおりを食う
あかごの手を捩じる
あかしを立てる
あかの他人
あかるみに出る
あがきが取れない
あきかぜが立つ
あきなすは嫁に食わすな
あきの扇
あきの日は釣瓶落とし
あきの空
あきらめが付く
あき立つ
あくが抜ける
あくじょの深情け
あくじ千里を走る
あくせん身に付かず
あくたれを叩く
あくる日
あけに染まる
あげあしを取る
あげくの果て
あげぜん据え膳
あごが干上がる
あごが落ちる
あごで使う
あごを出す
あごを外す
あさおきは三文の徳
あさってを向く
あさの中の蓬
あさの如し
あしが乱れる
あしが付く
あしが出る
あしが地に付かない
あしが早い
あしが遠のく
あしの踏み場もない
あしもとから鳥が立つ
あしもとにも及ばない
あしもとに付け込む
あしもとに火がつく
あしもとの明るい中
あしもとへも寄り付けない
あしもとを見る
あしを伸ばす
あしを出す
あしを取られる
あしを向ける
あしを奪われる
あしを引っ張る
あしを掬う
あしを棒にする
あしを洗う
あじも素っ気もない
あじを占める
あすは我が身
あせの結晶
あせみずを流す
あせを流す
あたい千金
あたって砕けろ
あたまが上がらない
あたまが下がる
あたまが低い
あたまが痛い
あたまに来る
あたまの上の蠅も追えぬ
あたまの天辺から足の爪先まで
あたまの黒い鼠
あたまを下げる
あたまを丸める
あたまを冷やす
あたまを悩ます
あたまを抱える
あたまを捻る
あたまを撥ねる
あたまを擡げる
あたま隠して尻隠さず
あたらしい酒を古い皮袋に盛る
あたらずといえども遠からず
あたらず障らず
あたりを払う
あたるも八卦当たらぬも八卦
あだや疎か
あちら立てれば此方が立たぬ
あっかは良貨を駆逐する
あっけに取られる
あっと言う間に
あっと言わせる
あつさ寒さも彼岸まで
あつものに懲りて膾を吹く
あとあしで砂をかける
あとの祭り
あとの雁が先になる
あとは野となれ山となれ
あとへ引く
あとを付ける
あとを弔う
あとを引く
あとを暗ます
あとを濁す
あとを絶たない
あとを絶つ
あとを追う
あと白波
あながあったら入りたい
あなのあくほど見る
あに図らんや
あばたも靨
あぶない橋を渡る
あぶらがみに火の付いたよう
あぶらが乗る
あぶらに水
あぶらを売る
あぶらを注ぐ
あぶらを絞る
あぶれ者
あぶ蜂取らず
あまい汁を吸う
あまく見る
あまだれ石を穿つ
あまりと言えば
あまり有る
あみを張る
あみ吞舟の魚を漏らす
あめが降ろうと槍が降ろうと
あめと鞭
あめ塊を破らず
あめ降って地固まる
あやまちては則ち改むるに憚ること勿れ
あやめも分かぬ
あらぎもを拉ぐ
あらしの前の静けさ
あらまし事
ありし世
ありし日
ありし昔
ありの穴から堤も崩れる
ありの這い出る隙もない
あわせる顔がない
あわびの片思い
あわを吹かせる
あわを食う
あんしょうに乗り上げる
あんじょう人なく鞍下馬なし
あんずるより産むが易し
あんやの礫
いい子になる
いい年
いい得て妙
いい目
