α波
α線
β版
β線
γ線
〆縄
〇度
〇時
〇歳
〇点
ああ言えばこう言う
あがきが取れない
あくが強い
あごが干上がる
あごで使う
あごを出す
あごを外す
あごを撫でる
あしたはあしたの風が吹く
あずかって力がある
あたかも好し
あちら立てればこちらが立たず
あっという間
あっと言わせる
あつものに懲りてなますを吹く
あつものに懲りて膾を吹く
あの世
あの手この手
あぶれ者
あめ玉をしゃぶらせる
あらん限り
あり付く
あり余る
あり合わせ
あり得ない
あり得べき
あり得る
ある意味
ある時払い
ある程度
ある種
ある限り
あんぽ柿
あん馬
あ痛
いい人
いい仲
いい加減
いい加減にしろ
いい勝負
いい子
いい子いい子
いい年
いい意味で
いい所
いい所取り
いい気
いい気味
いい目
いい線
いい薬
いい面の皮
いい顔
いけ好かない
いざ知らず
いざ鎌倉
いじめっ子
いずれあやめか杜若
いずれ劣らぬ
いずれ菖蒲かかきつばた
いずれ菖蒲か杜若
いたちの道を切ったよう
いても立ってもいられない
いとこ煮
いとこ違い
いの一番
いわしの頭も信心から
うぐいす鳴かせたこともある
うず高い
うそから出たまこと
うそで塗り固める
うそも方便
うそも百回言えば本当になる
うそ寒い
うたた寝
うた沢
うだつが上がらない
うっちゃりを食う
うつつを抜かす
うのまねをする烏
うの目たかの目
うの目鷹の目
うまい汁を吸う
うま味
うま味調味料
うら寂しい
うら寂れる
うら恥ずかしい
うら悲しい
うら若い
うりのつるになすびは生らぬ
うりのつるに茄子はならぬ
うりのつるに茄子は生らぬ
うるさ型
うる覚え
うれしい悲鳴を上げる
うろ覚え
うわさがうわさを呼ぶ
うわさが立つ
うわさをすれば影
うわさをすれば影がさす
うんちくを傾ける
えつぼに入る
えびでたいを釣る
えびで鯛を釣る
おかに上がったかっぱ
おかに上がった河童
おかまを掘る
おきゅうを据える
おくびにも出さない
おことばに甘える
おぞけを震う
おたふく風邪
おだを上げる
おちょぼ口
おっ始める
おっ放り出す
おっ放る
おっ母
おっ立てる
おつりが来る
おととい来やがれ
おひげのちりを払う
おひげの塵を払う
おみ足
おめでた婚
おろ抜き
お一人様
お七夜
お三時
お上
お上りさん
お上手
お下がり
お下げ
お下劣
お下地
お世話
お世話様
お世辞
お主
お久
お亀
お互い
お互い様
お交じり
お人好し
お仕着せ
お仕置き
お仕舞い
お付き
お代
お代わり
お任せ
お休み
お休みなさい
お伴
お似まし
お伽
お伽噺
お伽話
お作り
お使い
お使い姫
お使い物
お供
お供え
お侠
お俠
お倉
お値打ち
お偉いさん
お偉方
お兄さん
お先
お先棒
お先棒を担ぐ
お先真っ暗
お先走り
お八つ
お内裏様
お冠
お冷や
お出で
お出座し
お出掛け
お初
お別れ
お前
お勉め品
お勝手
お勤め
お勧め
お包み
お化け
お印
お参り
お友達
お取り寄せ
お受験
お口汚し
お古
お召し
お召し替え
お召し物
お向かい
お向こう
お含み置き
お告げ
お告げ文
お呼ばれ
お呼び
お呼びがかかる
お呼びでない
お呼び立て
お喋り
お四季施
お団子
お国
お国入り
お国振り
お国言葉
お土産
お坊さん
お坊ちゃん
お坐り
お堅い
お墨付き
お声掛かり
お多福
お天気
お天気屋
お天道様
お太鼓
お好み
お好み焼き
お姉
お姉さん
お姫様
お姫様抱っこ
お婆
お婆さん
お婆ちゃん
お婿さん
お嫁さん
お嬢
お嬢さん
お嬢様
お子様
お子達
お宅
お守り
お安い
お安くない
お定まり
お宝
お客
お客様
お宮
お家
お家芸
お家騒動
お寒い
お寺様
お尋ね者
お尻
お屋敷
お屠蘇
お山の大将
お巡り
お巡りさん
お帰り
お帰りなさい
お平らに
お年
お年玉
お店屋さん
お座
お座がさめる
お座なり
お座り
お座布
お座敷
お座敷がかかる
お弁当
お引き摺り
お弾き
お役御免
お役所仕事
お待ち遠様
お後
お後がよろしいようで
お得
お得意
お復習い
お忍び
お恵み
お悔やみ
お悩み
お情け
お愛想
お慈悲
お慰み
お所
お手
お手々
お手の物
お手の筋
お手を拝借
お手上げ
お手並み
お手並み拝見
お手付き
お手伝い
お手元
お手前
お手手
お手拭き
お手柄
お手柔らか
お手玉
お手盛り
お手許
お払い
お払い箱
お抱え
お拾い
お持たせ
お持ち帰り
お捻り
お控えなすって
お揃い
お握り
お新香
お方
お日様
お早う
お早うございます
お星様
お晩です
お月様
お株
お株を奪う
お構い
お構いなし
お櫃
お欠き
お歯
お歯に合う
お歯黒
お歴々
お歴歴
お母さん
お気に
お気に入り
お気の毒様
お気楽
お水
お水取り
お汁
お決まり
お河童
お泊まり
お洒落
お流れ
お浸し
お涙
お涙頂戴
お湯割り
お湿り
お漏らし
お澄まし
お灸
お点前
お為
お為ごかし
お焚き上げ
お焦げ
お焼き
お熱
お燗
お父
お父さん
お爺
お爺さん
お爺ちゃん
お猪口
お玉
お生憎様
お産
お番菜
お疲れ
お疲れ様
お百度
お百度を踏む
お盆
お盛ん
お目
お目々
お目にかかる
お目にかける
お目文字
お目汚し
お目玉
お目目
お目見得
お目通し
お目通り
お直し
お直り
お相手
お相撲
お眠
お眼鏡
お知らせ
お礼
お礼参り
お礼奉公
お祓い
お祖母さん
お祖母ちゃん
お祖父さん
お祖父ちゃん
お神楽
お祭り
お祭り騒ぎ
お福分け
お移り
お稲荷さん
お積もり
お立ち
お立ち会い
お立ち台
お笑い
お筆先
お節
お節介
お籠もり
お粉
お粗末
お約束
お終い
お経
お結び
お絞り
お絵描き
お練り
お縄
お義理
お義理にも
お脳
お腰
お腹
お腹いっぱい
お膝下
お膝元
お膳立て
お色直し
お花畑
お花畠
お茶
お茶っ葉
お茶の子
お茶の間
お茶をひく
お茶を挽く
お茶を濁す
お茶会
お茶汲み
お茶目
お茶請け
お荷物
お菜
お萩
お蔭
お蔵
お蔵になる
お蔵入り
お薄
お薦め
お薬手帳
お蚕
お蚕ぐるみ
お袋
お裾分け
お襁褓
お見え
お見合い
お見知り置き
お見通し
お見逸れ
お触れ
お言葉
お詣り
お試し
お話
お調子者
お越し
お足
お転婆
お輿入れ
お辞儀
お辞宜
お迎え
お返し
お通し
お通じ
お通夜
お通夜のよう
お造り
お遊戯
お運び
お遍路
お道化る
お達し
お遣い物
お邌り
お邪魔
お邪魔虫
お酉様
お酌
お釈迦
お釈迦様
お里
お里が知れる
お重
お釜
お針
お針子
お釣り
お鈴
お鉢
お鉢が回る
お銚子
お鍋
お門違い
お開き
お陀仏
お陰
お隠れ
お雛様
お零れ
お預け
お題
お願い
お飯菜
お飾り
お香
お馬鹿
お馴染み
お骨
お高く
お高くとまる
お髭
かいなを返す
かえるの子はかえる
かえるの面に水
かくなる上は
かく言う
かさに着る
かじを切る
かじを取る
かぜを引く
かちんと来る
かち割る
かっこ悪い
かっ飛ばす
かつ丼
かと思いきや
かと思えば
かと言って
かなえの軽重を問う
かなぐり捨てる
かには甲羅に似せて穴を掘る
