一个
一二
一介
一代
一例
一偏
一元
一再
一切
一列
一別
一刻
一去
一双
一味
一命
一喝
一場
一天
一夫
一奇
一字
一宿
一対
一封
一将
一尊
一局
一幅
一座
一弄
一律
一心
一念
一意
一抔
一拶
一挙
一掃
一掬
一揆
一握
一斉
一斑
一新
一旦
一是
一時
一曲
一望
一朝
一期
一朶
一束
一杯
一枝
一架
一楼
一概
一様
一次
一死
一段
一気
一沐
一洗
一派
一流
一瀉
一理
一盞
一眸
一瞬
一碧
一竿
一筆
一策
一箇
一簡
一簣
一籌
一粒
一粲
一紀
一終
一統
一縄
一縷
一老
一聯
一脈
一臂
一臠
一臥
一致
一般
一芸
一行
一覚
一覧
一言
一計
一詠
一諾
一貫
一路
一躍
一転
一途
一遊
一遍
一道
一酔
一門
一陣
一陽
一隅
一隻
一雨
一面
一領
一類
一顧
一髪
丁丁
丁中
丁倒
丁冊
丁冬
丁口
丁壮
丁夜
丁夫
丁女
丁妻
丁子
丁字
丁実
丁寧
丁属
丁年
丁彊
丁当
丁役
丁憂
丁東
丁税
丁稚
丁算
丁籍
丁老
丁艱
丁賦
丁部
丁銭
丁香
丁黄
七七
七九
七兵
七去
七命
七哀
七商
七啓
七夕
七大
七子
七学
七宮
七宿
七尺
七弁
七微
七徳
七患
七悪
七情
七政
七曲
七書
七歩
七激
七牢
七献
七略
七発
七祀
七秩
七竅
七絃
七絶
七緯
七縦
七虞
七襄
七言
七計
七諫
七賢
七起
七踊
七逆
七録
七雄
七音
万一
万万
万丈
万世
万乗
万事
万人
万仞
万代
万億
万全
万兵
万分
万別
万劫
万化
万区
万千
万卒
万古
万品
万善
万国
万域
万壑
万声
万変
万夫
万姓
万宇
万官
万室
万家
万寿
万尋
万屋
万岳
万川
万年
万幾
万庶
万彙
万形
万念
万恨
万感
万態
万慮
万戸
万故
万数
万斛
万斤
万方
万族
万春
万有
万木
万朶
万条
万枢
万株
万樹
万機
万歳
万死
万水
万法
万派
万流
万灯
万燭
万物
万生
万畳
万病
万盞
万目
万石
万祥
万福
万秋
万竅
万端
万籟
万糸
万緑
万緒
万縷
万舞
万般
万花
万葉
万衆
万行
万言
万象
万貨
万載
万轂
万邦
万里
万重
万金
万鈞
万銭
万鍾
万鎰
万雷
万霊
万頃
万類
万騎
万骨
万鬼
丈丈
丈人
丈六
丈冊
丈匹
丈器
丈夫
丈室
丈尺
丈席
丈度
丈量
三上
三下
三世
三両
三事
三仁
三代
三伏
三余
三俎
三倒
三儀
三元
三光
三党
三公
三冬
三出
三務
三単
三叉
三友
三台
三后
三吏
三吐
三命
三咤
三品
三嘆
三垂
三墨
三墳
三壇
三壺
三夏
三多
三大
三太
三始
三姑
三宥
三宰
三寒
三寸
三寿
三少
三尸
三尺
三属
三層
三巳
三師
三帰
三庚
