䫏頭
一丁
一丁字
一上一下
一世
一世一代
一世之雄
一丸
一乗
一乗（乘）
一乘
一人
一介
一代
一件
一任
一休沐
一伝
一伝（傳）
一体
一体（體）
一倡三歎
一傳
一元
一元論
一入
一円
一円（圓）
一再
一刀
一刀三礼
一刀三礼（禮）
一刀三禮
一刀両断
一刀両斷
一刀両（兩）断（斷）
一刀兩断
一刀兩斷
一切
一切有情
一切経
一切経（經）
一切經
一切衆生
一別
一利一害
一刹那
一刻
一刻千金
一刻者
一力
一匡
一匹
一匹・一疋
一双
一双（雙）
一口
一名
一向宗
一周忌
一味
一命
一品
一唱三歎
一唱三歎・一倡三歎
一喜一憂
一喝
一喝（喝）
一嚬一笑
一嚬一笑・一顰一笑
一団
一団和気
一団和氣
一団（團）
一団（團）和気（氣）
一国
一国三公
一国者
一国（國）
一国（國）三公
一国（國）者・一刻者
一國
一國三公
一國者
一圓
一團
一團和気
一團和氣
一坐
一堂
一場
一場春夢
一壺外
一壺天
一変
一変（變）
一夏
一夕
一大事
一天
一天万乗
一天万乘
一天万（萬）乗（乘）
一天四海
一天萬乗
一天萬乘
一夫
一如
一子相伝
一子相伝（傳）
一子相傳
一字
一字千金
一字師
一字褒貶
一字褒（襃）貶
一字襃貶
一宇
一宗
一定
一実
一実（實）
一宮
一家
一家団圝
一家団（團）圝
一家團圝
一家言
一實
一寸
一寸丹心
一寸光陰不可軽
一寸光陰不可軽（輕）
一寸光陰不可輕
一寸赤心
一対
一対（對）
一封
一将功成万骨枯
一将功成萬骨枯
一将（將）功成万（萬）骨枯
一將功成万骨枯
一將功成萬骨枯
一尊
一對
一局
一層
一層（層）
一山
一山一寧
一己
一巻石
一市
一帯
一帯（帶）
一帶
一年之計在春
一座
一座・一坐
一廓
一張一弛
一張羅
一弾
一弾（彈）
一彈
一往
一往一來
一往一来
一往一来（來）
一律
一得
一徹
一心
一心不乱
一心不乱（亂）
一心不亂
一心同体
一心同体（體）
一心同體
一応
一応（應）
一念
一念発起
一念発（發）起
一念發起
一念通天
一息
一意
一意専心
一意専（專）心・一意摶心
一意專心
一意摶心
一意攻苦
一應
一所
一所懸命
一抔土
一折
一抹
一括
一挙
一挙一動
一挙両得
一挙兩得
一挙手一投足
一挙（擧）
一挙（擧）一動
一挙（擧）両（兩）得
一挙（擧）手一投足
一掃
一掬涙
一揆
一撮
一擧
一擧一動
一擧両得
一擧兩得
一擧手一投足
一擲
一擲賭乾坤
一攫千金
一敗塗地
一散
一敵国
一敵国（國）
一敵國
一斉
一斉（齊）
一斑
一斑評全豹
一新
一新紀元
一日
一日三秋
一日之計在晨
一日之長
一日千秋
一日千里
一日暴之、十日寒之
一日難再晨
一旦
一旦有緩急
一昔
一時
一暴十寒
一曲
