一つ
一に看病二に薬
一を聞いて十を知る
一を識りて二を知らず
一丁
一丁字
一丁字を識らず
一上一下
一世を風靡する
一世一代
一両日
一丸
一了百了
一事
一事が万事
一人
一人当千
一人静
一介
一件落着
一伍一什
一体分身
一元
一元描写
一先ず
一党
一入
一八
一六銀行
一具
一円
一再
一刀三礼
一刀両断
一切
一切合切
一切衆生
一別以来
一利
一利一害
一刹那
一刻千金
一刻者
一助
一労永逸
一匹
一匹狼
一升の餅に五升の取り粉
一半
一双
一口両舌
一同
一向
一向に
一周忌
一味同心
一味徒党
一唱三嘆
一問一答
一喜一憂
一喝
一団和気
一国者
一堂
一場春夢
一塩
一塵法界
一変
一夏
一夕
一夜十起
一夜漬
一大事
一大決心
一天
一天万乗
一天四海
一如
一姫二太郎
一子相伝
一字三礼
一字不説
一字千金
一存
一家は遠のく蚤は近寄る
一家団欒
一家眷族
一家言
一宿一飯
一富士二鷹三茄子
一寸
一寸の光陰軽んずべからず
一寸の虫にも五分の魂
一寸丹心
一寸先は闇
一寸逃れ
一対
一将功成りて万骨枯る
一層
一巡
一己
一巻
一席
一帯
一帳羅
一幅
一年
一年の計は元旦にあり
一年草
一廉
一廓
一式
一弦琴
一張一弛
一張羅
一往
一往一来
一律
一得一失
一徳一心
一徹
一心一徳
一心不乱
一心同体
一応
一念発起
一意専心
一意攻苦
一戦
一所
一手
一抱え
一抹
一押し二金三男
一括
一指
一挙一動
一挙両失
一挙両得
一挙手一投足
一挺
一捻り
一掃
一掬
一揃
一揃い
一揆
一揖
一握り
一擲
一擲千金
一攫千金
一敗
一敗地に塗れる
一文
一文不通
一文半銭
一文吝みの百知らず
一斉
一斑
一斑を見て全豹を卜す
一斤染め
一新
一新紀元
一族
一族郎党
一旗
一日
一日の計は朝にあり
一日の長
一日作さざれば一日食らわず
一日再び晨なり難し
一日千秋
一旦
一昨々年
一昨々日
一昨年
一昨日
一昨昨年
一昨昨日
一時
一時流行
一暴十寒
一月三舟
一服
一望千頃
一望無垠
一朝
一朝一夕
一朝富貴
一期
一期一会
一木一草
一本槍
一本気
一本独鈷
一本釣り
一札
一朶
一杯
一枚
一枚岩
一枚看板
一栄一辱
一業所感
一概に
一様
一樹の蔭一河の流れも他生の縁
一樹百穫
一死七生
一死報国
一段落
一殺多生
一毛不抜
一毫
一気呵成
一汁一菜
一治一乱
一泡
一派
一流
一渉り
一渡り
一溜り
一瀉千里
一炊の夢
一炷
一点
一点一画
一点張り
一片
一片氷心
一牛鳴地
一物
一犬形に吠ゆれば百犬声に吠ゆ
一献
一球入魂
一理
一環
一生
一生懸命
一生面
一番い
一疋
一病息災
一癖
一登竜門
一盞
一目十行
一目散
一目瞭然
一眼
一睡
一瞥
一瞬
一矢
一知半解
一石
一石二鳥
一碧万頃
一端
一笑
一笑千金
一筆
一筆抹殺
一筋縄
一策
一節切
一簣
一籌
一粒万倍
一粒種
一粲
一糸
一紙半銭
一絃琴
一絡げ
一統
一網打尽
一緒
一線
一縷
一纏め
一罰百戒
一義的
一翼
一考
一肌
一脈
一臂
一致
一興
一般
一花
一芸は道に通ずる
一荷
