一丁字
一世
一乗
一乗（乘）
一乘
一二
一人
一人当千
一介
一体
一体（體）
一倡三歎
一元
一切
一切経
一切経音義
一切経（經）
一切経（經）音義
一切經
一切經音義
一刻
一刻千金
一力
一匡
一名
一向
一味
一命
一唱三嘆
一唱三嘆・一倡三歎
一喜一憂
一団
一団和気
一団和氣
一団（團）
一団（團）和気（氣）
一團
一團和気
一團和氣
一堂
一壺天
一大事
一天
一天万乗
一天万乘
一天万（萬）乗（乘）
一天萬乗
一天萬乘
一夫
一如
一字千金
一字王
一家言
一寸光陰不可軽
一寸光陰不可軽（輕）
一寸光陰不可輕
一将功成万骨枯
一将功成萬骨枯
一将（將）功成万（萬）骨枯
一將功成万骨枯
一將功成萬骨枯
一尊
一局
一帯
一帯（帶）
一帶
一年之計在春
一張一弛
一往
一律
一心
一応
一応（應）
一念
一意
一應
一所懸命
一抔土
一抹
一挙
一挙一動
一挙両得
一挙兩得
一挙手一投足
一挙（擧）
一挙（擧）一動
一挙（擧）両（兩）得
一挙（擧）手一投足
一掬
一揆
一撮
一擧
一擧一動
一擧両得
一擧兩得
一擧手一投足
一擲
一擲賭乾坤
一攫千金
一敗塗地
一斉
一斉（齊）
一斑
一斑評全豹
一新
一日
一日三秋
一日三秋・一日千秋
一日之長
一日千秋
一日千里
一日暴之 十日寒之
一日暴之 十日寒之・一暴十寒
一旦
一旦有緩急
一暴十寒
一曲之人
一曲之士
一曲之士・一曲之人
一更
一更・一鼓
一望千里
一望千頃
一望千頃・一望千里
一朝
一朝一夕
一朝之忿
一朝之患
一期
一期一会
一期一会（會）
一期一會
一札
一朶
一枕黃粱
一枕黄粱
一枕黄（黃）粱
一枝春
一概
一概（槪）
一槪
一殺多生
一毛不抜
一毛不抜（拔）
一毛不拔
一毫
一気呵成
一気（氣）呵成
一氣呵成
一沐三捉髪
一沐三捉髪（髮）
一沐三捉髮
一涯
一瀉千里
一瀉千里・一瀉百里
一瀉百里
一炊之夢
一片
一片氷心
一犬吠形百犬吠声
一犬吠形百犬吠声（聲）
一犬吠形百犬吠聲
一狐之腋
一狐裘三十年
一献
一献（獻）
一獲千金
一獲千金・一攫千金
一獻
一生面
一皆
一盞
一目瞭然
一瞥
一瞬
一知半解
一石二鳥
一碧
一碧万頃
一碧万（萬）頃
一碧萬頃
一端
一竿風月
一簣
一簣之功
一籌
一統
一網打尽
一網打尽（盡）
一網打盡
一縷
一脈相通
一臂
一般
一葉
一葉落知天下秋
一葦
一蓮托生
一衣帯水
一衣帯（帶）水
一衣帶水
一裘一葛
一見如旧
一見如旧知
一見如旧（舊）・一見如旧知
一見如舊
一視同仁
一視（視）同仁
一言半句
一言半句・一言半辞（辭）
一言半辞
一言半辭
一言居士
一諾千金
一貫
一身
一軌
一轍
一過
一道
一酔千日
一酔（醉）千日
一醉千日
一陣
一陽來復
一陽来復
一陽来（來）復
一隅
一隅之見
一隅之解
一隅之解・一隅之見
一隻眼
一面識
一韻到底
一飧之徳
一飯三吐哺
一飯之報
一飯之恩
一飯之頃
一騎当千
一騎当（當）千・一人当千
一騎當千
一體
一髪
一髪引千鈞
一髪（髮）
一髪（髮）引千鈞
一髮
一髮引千鈞
一鳴驚人
一鼓
一鼓作気
一鼓作気（氣）
一鼓作氣
一齊
一視同仁
丁丁
丁丁発止
丁丁発（發）止
丁丁發止
丁冬
丁口
丁壮
丁壮（壯）
丁壯
丁夜
丁夫
丁子
丁寧
丁年
丁当
丁当（當）・丁冬・丁東・丁璫
丁役
丁憂
丁東
丁璫
丁男
丁男・丁夫
丁當
丁稚
丁艱
丁艱・丁憂
丁銀
丁香
丁香結
七七日
七修類稿
七出
七十二候
七十子
七去
七去・七出
七古
七国
七国之乱
七国之亂
七国（國）・七雄
七国（國）之乱（亂）
七國
七國之乱
七國之亂
七堂
七夕
七大
七宝
七宝（寶）
七寶
七尺去不踏師影
七廟
七律
七徳
七情
七政
七教
七星
七曜
七書
七校
七歩之詩
七歩才
七歩才・七歩之詩
七生
七略
七竅
七経
七経（經）
七絶
七經
七縦七擒
七縦（縱）七擒
七縱七擒
七襄
七言古詩
七言古詩・七古
七言律詩
七言律詩・七律
七言絶句
七言絶句・七絶
七賢
七転八倒
七転（轉）八倒・七顚八倒
七轉八倒
七雄
七難
七音
七顚八倒
七香車
万一
万万
万世
万世不易
万乗
万乗之国
万乗之國
万乗（乘）
万乗（乘）之国（國）
万乘
万乘之国
万乘之國
万事休
万井
万人敵
万仞
万仞・万尋
万全
万劫
万化
万古
万壽
万壽節
万壽節
万姓
万安
万寿
万寿節
万寿節
万寿（壽）
万寿（壽）節（節）
万尋
万年
万年青
万幾
万戸
万戸侯
万斛
万斯同
万方
万有
万朶
万機
万機・万幾
万歳
万歳楽
万歳楽（樂）
万歳樂
万死
万死一生
万物之霊
万物之霊（靈）
万物之靈
万物逆旅
万状
万状（狀）
万狀
万目
万石
万福
万福（福）
万端
万籟
万紫千紅
万綠叢中紅一点
万綠叢中紅一點
万緑叢中紅一点
万緑叢中紅一點
万緑（綠）叢中紅一点（點）
万緣
万縁
万縁（緣）
万能
万般
万謝
万象
万載
万邦
万里侯
万里同風
万里橋
万里長城
万重
万金
万鈞
万鍾
万雷
万頃
万馬斉喑
万馬斉（齊）喑
万馬齊喑
万福
丈丈
丈人
丈六
丈夫
丈室
丈母
三上
三不去
三世
三乗
三乗（乘）
三乘
三五
三五夜
三人成市虎
三人行必有我師
三仁
三代
三伏
三伝
三伝（傳）
三体
三体石経
三体石經
三体詩
三体（體）
三体（體）石経（經）
三体（體）詩
三余
三余（餘）
三侑
三倉
三倉・三蒼
三傳
三儀
三元
三公
三公曹尚書
三冬
三刀
三刀之夢
三分鼎足
三十二相
三十六策走是上計
三十輻共一轂
三千世界
三卿
三友
三台
三史
三司
三司使
三后
三吏三別
三品
三唐
三嘆
三嘆・三歎
三器
三国
三国志
三国志演義
三国（國）
三国（國）志
三国（國）志演義
三國
三國志
三國志演義
三塗
三墳
三変
三変（變）
三夏
三多
三字石経
三字石経（經）
三字石經
三字経
三字経（經）
三字經
三季
三孤
三孤・三少
三学
三学（學）
三學
三宝
三宝（寶）
三宥
三宥・三侑
三宮
三家
三寶
三寸舌
三尊
三少
三尸
三尺
三尺秋水
三尺童子
三峡
三峡（峽）
三峽
三巳
三巴
三師
三帰
三帰（歸）
三年不窺園
三年不蜚不鳴
三年之喪
三弦
三弦・三絃
三径
三径（徑）
三徑
三従
三従（從）
三從
三徳
三思
三悪道
三悪（惡）道
三惡道
三愆
三戒
三才
三才図会
三才図會
三才図（圖）会（會）
三才圖会
三才圖會
三教
三族
三旬
三明
三易
三星
三春
三昧
三時
三晉
三晋
三晋（晉）
三更
三曹
三朝
三朝名臣言行錄
三朝名臣言行録
三朝名臣言行録（錄）
三本
三業
三極
三楽
三楽（樂）
三槐
三樂
三権
三権（權）
三權
三歎
三正
三歸
三殤
三毒
三民主義
三河
三浣
三浣・三澣・三旬
三澣
三災
三焦
三牲
三玄
三王
三甲
三界
三畏
三略
三皇
三皇五帝
三盲摸象
三省
三知
三礼
三礼（禮）
三神山
三神（神）山
三禮
三秋
三秋思
三秦
三紙無驢
三絃
三経
三経（經）
三經
三綱
三綱五常
三綱領八条目
三綱領八条（條）目
三綱領八條目
三老
三老五更
三考
三聖
三舎法
三苗
三蒼
三蔵
三蔵（藏）
三藏
三蘇
三虫
三虫（蟲）
三蟲
三行
三衙
三言
三計
三論
三變
三赦
三軍
三軍可奪帥
三輔
三辰
三辺
三辺（邊）
三途
三途・三塗
三通
三達尊
三邊
三都
三都賦
三里
三門
三閭大夫
三隠集
三隠（隱）集
三隱集
三革
三韓
三韻
三顧
三顧・三顧之礼（禮）
三顧之礼
三顧之禮
三餘
三體
三體石経
三體石經
三體詩
三鼓
三神山
上丁
上下
上世
上乗
上乗（乘）
上乘
上九
上交
上京
上人
上仙
上代
上供
上元
上六
上冬
上務
上午
上卿
上口
上古
上古音
上司
上品
上啓
上善
上国
上国（國）
上國
上墓
上士
上声
上声（聲）
上壽
上夏
上天
上奏
上官儀
上客
上家
上寿
上寿（壽）
上将
上将（將）
上將
上工
上巳
上帝
上座
上弦
上意
上意下達
上戸
上手
上才
上才・上材
上指
上日
上旨
上旬
上春
上智
上書
上材
上林
上柱国
上柱国（國）
上柱國
上根
上梓
上洛
上流
上浣
上浣・上澣
上海
上海（海）
上清
上游
上澣
上田
上甲
上申
上申・上陳
上界
上略
上疏
上皇
上相
上知
上知・上智
上秋
上第
上納
上聞
上聲
上臘
上舎
上苑
上表
上覧
上覧（覽）
上覽
上計
上訴
上諭
上謁
上謁（謁）
上賓
上足
上農
上道
上達
上都
上院
上陳
上陽
上霊
上霊（靈）
上靈
上頭
上駟
上騰
上海
上謁
下世
下乗
下乗（乘）
下乘
下交
下人
下付
下付・下附
下体
下体（體）
下元
下克上
下克上・下剋上
下冬
下剋上
下剤
下剤（劑）
下劑
下午
下吏
下品
下問
下国
下国（國）
下國
下土
下地
下堂
下士
下声
下声（聲）
下壽
下夏
下大夫
下奴
下妻
下婢
下学上達
下学集
下学（學）上達
下学（學）集
下學上達
下學集
下官
下寿
下寿（壽）
下帷
下座
下弦
下情
下愚
下戸
下手
下旬
下春
下根
下榻
下殤
下江
下泉
下流
下浣
下浣・下澣
下游
下澣
下火
下物
下獄
下界
下番
下直
下秋
下第
下筆
下策
下聲
下舂
下落
下賤
下走
下足
下車
下輩
下邑
下邳
下酒物
下酒物・下物
下里
下野
下附
下風
下飯
下馬
下體
不一
不世
不世・不世出
不世出
不中
不亀手之薬
不亀手之藥
不亀（龜）手之薬（藥）
不予
不予（豫）
不仁
不以人廃言
不以人廃（廢）言
不以人廢言
不作
不佞
不例
不便
不俱戴天
不倒翁
不倫
不偏不党
不偏不党（黨）
不偏不黨
不入虎穴不得虎子
不共
不具
不刊
不刊之書
不動尊
不即不離
不即（卽）不離
不卽不離
不友
不可思議
不可思議・不思議
不可諱
不問
不器
不壊
不壊（壞）
不壞
不夜城
不如帰
不如帰（歸）
不如意
不如歸
不孫
不孫・不遜
不定
不宣
不審
不尽
不尽（盡）
不屑
不屑之教誨
不平
不庭
不弁咫尺
不弁菽麥
不弁菽麦
不弁（辨）咫尺
不弁（辨）菽麦（麥）
不弐過
不弐（貳）過
不弟
不弟・不悌
不律
不得要領
不徳
不忍
不快
不思議
不恥下問
不悉
不悌
不悱不発
不悱不発（發）
不悱不發
不惑
不惜身命
不意
不愧于屋漏
不慮
不憤不啓
不憫
不成器
不才
不抜
不抜（拔）
不拔
不拾遺
不撓
不敏
不敏（敏）
不敢当
不敢当（當）
不敢當
不敵
不日
不易
不昧
不時
不朽
不朽之芳
不朽之誉
不朽之誉（譽）・不朽之芳
不朽之譽
不材
不欺暗室
不歯
不歯（齒）
不毛
不淑
不測
不然
不犯
不由径
不由径（徑）
不由徑
不盡
不知
不知其子視其友
不知其子視（視）其友
不知其子視其友
不知手之舞足之蹈
不磨
不祥
不祥（祥）
不祿
不禄
不禄（祿）
不稽
不穀
不立文字
不第
不経
不経（經）
不絶如縷
不經
不羈
不群
不義
不老不死
不聊生
不肖
不腆
不臣
不舎昼夜
不舎昼（晝）夜
不舎晝夜
不苟
不蔓不枝
不蔵怒
不蔵（藏）怒
不藏怒
不虞
不血食
不覚
不覚屐歯之折
不覚（覺）
不覺
不覺屐歯之折
不言之教
不言之花
不諱
不識一丁字
不豫
不貳過
不起
不践迹
不践（踐）迹
不踐迹
不踰矩
不躐等
不軌
不辜
不辨咫尺
不辨菽麥
不辨菽麦
不退転
不退転（轉）
不退轉
不通水火
不逞
不遇
不道
不遜
不遷怒
不釈卷
不釈巻
不釈（釋）巻
不釈（釋）巻（卷）
不釋卷
不釋巻
不齒
不龜手之薬
不龜手之藥
不祥
不敏
与与
与世
与世推移
与人為善
与人為（爲）善
与人爲善
与会
与会（會）
与党
与党（黨）
与共
与及
与国
与国（國）
与國
与奪
与時俯仰
与會
与民同楽
与民同楽（樂）
与民同樂
与知
与薬
与薬（藥）
与藥
与謀
与議
与黨
与（與）世推移
与（與）時俯仰
丐乞
丐児
丐兒
丐取
丐命
丐夫
丐子
丐子・丐児（兒）・丐者・丐夫
丐戸
丐者
丑三
丑寅
且字
且月
丕休
丕子
丕承
丕業
丕烈
丕祚
丕顕
丕顕（顯）
丕顯
世上
世事
世交
世交・世好・世誼
世代
世俗
世儒
世兵制
世務
世卿
世嗣
世塗
世塵
世士
世外
世好
世嫡
世子
世子・世嗣
世宗
世官
世宝
世宝（寶）
世家
世寵
世寶
世尊
世帯
世帯（帶）
世帶
世幹
世徳
世患
世情
世故
世教
世栄
世栄（榮）
世業
世榮
世母
世父
世界
世相
世祖
世祖（祖）
世祿
世禄
世禄（祿）
世禍
世禍（禍）
世系
世系・世繫
世累
世縄
世縄（繩）
世繩
世繫
世胄
世臣
世表
世襲
世要
世誉
世誉（譽）
世説
世説新語
世誼
世論
世譜
世譽
世資
世路
世途
世途・世塗
世運
世道
世鑑
世間
世祖
世禍
丘冢
丘冢・丘塚・丘塋・丘墓
丘園
丘土
丘塋
丘塚
丘墓
丘墟
丘墟・丘虚（虛）
丘墳
丘壑
丘壟
丘壟・丘隴
丘山
丘民
丘濬
丘索
丘虚
丘虛
丘軻
丘里之言
丘陵
丘隴
丘首
丙丁
丙午
丙夜
丙魏
丞史
丞相
両両
両京
両儀
両全
両制
両可
両周
両岐
両当
両当（當）・両襠
両得
両曜
両朝
両榜
両浙
両淮
両漢
両當
両税使
両税法
両端
両虎
両虎共闘
両虎共闘（鬪）
両虎共鬪
両襠
両輪
両造
両部
両間
両雄
両雄不俱立
両頭蛇
両髦
両鬢
並世
並列
並称
並称（稱）
並稱
並立
並肩
並行
並行不悖
中世
中二千石
中井履軒
中人
中代
中伏
中使
中傷
中允
中元
中冬
中分
中原
中原逐鹿
中原音韻
中厨
中古
中古音
中唐
中国
中国（國）
中國
中土
中坐
中堂
中堅
中塁校尉
中塁（壘）校尉
中塗
中壘校尉
中士
中壽
中夏
中夕
中外
中夜
中大夫
中天
中孚
中官
中宮
中宵
中寿
中寿（壽）
中射
中射・中射士
中射士
中尉
中山
中岳
中岳（嶽）
中嶽
中州
中常侍
中座
中庭
中庶子
中庸
中式
中心
中情
中懐
中懐（懷）
中懷
中才
中才・中材
中散大夫
中日
中旬
中春
中書
中書令
中書侍郎
中書監
中書省
中書舎人
中有
中朝
中朝官
中材
中枢
中枢（樞）
中樞
中歳
中殤
中江藤樹
中流
中浣
中浣・中澣
中涓
中澣
中男
中畿
中秋
中腸
中興
中舎
中舎・中舎人
中舎人
中華
中葉
中表
中説
中護軍
中貴
中貴・中貴人
中貴人
中路
中軍
中軸
中途
中途・中塗・中路
中道
中郎将
中郎将（將）
中郎將
中酒
中陰
中陰・中有
中霤
中領軍
中饋
丱女
丱歯
丱歯（齒）
丱童
丱角
丱齒
串戯
串戯（戲）
串戲
串童
丸剤
丸劑
丸薬
丸薬（藥）・丸剤（劑）
丸藥
丹丘
丹丘子
丹冊
丹台
丹台（臺）
丹唇
丹堊
丹墀
丹壑
丹寸
丹府
丹心
丹心・丹寸・丹誠・丹赤
丹書
丹朱
丹沙
丹液
丹田
丹砂
丹砂・丹沙
丹碧
丹脂
丹臺
丹花
丹英
丹英・丹花
丹薬
丹薬（藥）
丹藥
丹誠
丹赤
丹鉛
丹闕
丹陛
丹霄
丹霞
丹青
丹頂
丹鳳
主一無適
主上
主事
主人
主人公
主人公・主人翁
主人翁
主体
主体（體）
主公
主司
主器
主客
主客郎中
主宰
主家
主帥
主幹
主張
主張・主持
主恩
主戸
主持
主敬存誠
主文
主母
主爵
主父
主第
主簿
主義
主翁
主考
主膳
主観
主観（觀）
主觀
主計
主賓
主辦
主静
主静（靜）
主靜
主領
主體
乂安
乃且
乃公
乃父
乃祖
乃祖（祖）
乃者
乃至
乃祖
久佚
久已
久故
久曠
久淹
久淹・久留
久滞
久滞（滯）
久滯
久留
久要
久視
久視（視）
久逸
久逸・久佚
久違
久闊
久視
之乎者也
之字路
之罘
乎古止点
乎古止点（點）
乎古止點
乏匱
乏少
乏月
乏絶
乖互
乖互・乖忤・乖迕
乖張
乖忤
乖悖
乖戻
乖戻・乖悖
乖散
乖殊
乖異
乖絶
乖繆
乖誤
乖迕
乖違
乖違・乖異
乖間
乖隔
乖離
乗伝
乗伝（傳）
乗傳
乗勢
乗塞
乗法
乗田
乗矢
乗竜
乗竜（龍）
乗車之会
乗車之会（會）
乗車之會
乗輿
乗除
乗鶴
乗黃
乗黄
乗黄（黃）
乗龍
乗（乘）勢
乘勢
乙乙
乙夜
乙夜之覧
乙夜之覧（覽）
乙夜之覽
乙榜
乙禽
乙科
乙第
乙鳥
乙鳥・乙禽
九丘
九五
九仞
九仞・九尋
九仞功虧一簣
九伯
九刑
九卿
九原
九合
九品
九品中正法
九品官人法
九品官人法・九品中正法
九回腸
九土
九土・九域・九隅
九垓
九垓・九陔・九畡・九閡
九域
九夏
九天
九天玄女
九天直下
九夷
九官
九尋
九嶷
九川
九州
九微
九思
九折
九拜
九拝
九拝（拜）
九族
九旗
九星
九春
九曜
九曜・九曜星
九曜星
九月九日
九服
九服・九畿
九死一生
九江
九泉
九法
九派
九流
九淵
九牛一毛
九牧
九畡
九畿
九疇
九疇・九法
九疑
九疑・九嶷
九皐
九秋
九穀
九穴
九竅
九竅・九穴
九章
九章算術
九経
九経（經）
九經
九華
九華帳
九華灯
九華灯（燈）
九華燈
九衢
九賓
九軍
九逝
九重
九重天
九閡
九陌
九陔
九隅
九霄
九鼎
乞丐
乞丐・乞匃
乞匃
乞命
乞巧
乞巧・乞巧奠
乞巧奠
乞求
乞身
乞食
乞骸
乞骸・乞身
乞骸骨
乱世
乱世之英雄
乱俗
乱倫
乱兵
乱山
乱弊
乱朝
乱流
乱点
乱点（點）
乱発
乱発（發）
乱發
乱神
乱神（神）
乱算
乱臣
乱臣賊子
乱舞
乱道
乱邦
乱階
乱離
乱雲
乱首
乱魁
乱麻
乱點
乱神
乱（亂）算
乳人
乳名
乳媼
乳嫗
乳母
乳母・乳嫗・乳媼・乳人
乳気
乳気（氣）
乳氣
乳糜
乳育
乳臭
乳虎
乳酪
乳養
乳養・乳育
乾乾
乾儀
乾元
乾児
乾児（兒）
乾兒
乾坤
乾坤一擲
乾徳
乾文
乾枯
乾沒
乾没
乾没（沒）
乾浄
乾浄（淨）
乾涸
乾涸・乾枯
乾淨
乾湿
乾湿（濕）
乾濕
乾燥
乾端坤倪
乾糧
乾綱
乾覆
乾酪
乾隆帝
乾飯
乾飯・乾餱・乾糧
乾餱
乾鵲
亀兆
亀卜
亀坼
亀手
亀文鳥跡
亀書
亀殻
亀毛
亀毛・亀毛兎角
亀毛兎角
亀玉
亀甲獣骨
亀甲獣（獸）骨
亀甲獸骨
亀策
亀策・亀筴・亀筮
亀筮
亀筴
亀紐
亀紫
亀背
亀茲
亀裂
亀趺
亀鏡
亀鑑
亀鑑・亀鏡
亀鶴
亀鼎
亀齡
亀齢
亀齢（齡）
亂算
了了
了尽
了尽（盡）
了得
了悟
了承
了無
了然
了盡
了知
了簡
了簡・了見
了見
了解
予一人
予告
予奪
予小子
予度
予後
予怠
予感
予料
予期
予測
予程
予章
予見
予譲
予讓
予豈好弁哉
予豈好弁（辯）哉
予豈好辯哉
予（豫）告
予（豫）後
予（豫）怠
予（豫）感
予（豫）期
予（豫）測・予度・予料
予（豫）程
予（豫）章
予（豫）見
予（豫）譲（讓）
争光
争列
争友
争奈
争奈・争那
争奪
争子
争端
争臣
争衡
争訟
争那
争鋒
争長
事事
事事物物
事以密成
事会
事会（會）
事例
事典
事功
事半功倍
事変
事変（變）
事大
事大主義
事宜
事役
事情
事態
事故
事會
事業
事機
事況
事無二成
事理
事由
事端
事要
事變
事象
事跡
事蹟
事迹
事迹・事跡・事蹟
事類
二三
二三子
二世
二人同心其利断金
二人同心其利断（斷）金
二人同心其利斷金
二儀
二元論
二六対
二六対（對）
二六對
二典
二十一史
二十二史
二十二史箚記
二十二史考異
二十八宿
二十四史
二十四孝
二十四節気
二十四節氣
二十四節（節）気（氣）
二十四衙門
二十四詩品
二十四節気
二十四節氣
二十等爵
二千石
二千里外故人心
二南
二四不同
二天
二姓
二尊
二府
二心
二志
二拍
二更
二更・二鼓
二月花
二柄
二毛
二氏
二気
二気（氣）
二氣
