8の字
AM放送
AO入試
A級
B級
CGS単位系
ES細胞
FM放送
IP電話
JIS漢字
MKSA単位系
OTC医薬品
O脚
P波
Rh因子
S波
T字路
X線
X脚
Z旗
iPS細胞
α線
β線
γ線
あこう鯛
あの手この手
あばら家
あばら屋
あぶれ者
あやかり者
いいとこ取り
いい加減
いい所
いい気
いきせき切る
いけ図図しい
いけ好かない
いの一番
いびり出す
いぼじり巻
いぼじり巻き
いぼたの虫
いぼたろう虫
うそ寒い
うつ伏す
うつ伏せ
うつ伏せる
うな丼
うな重
うら寂しい
うら恥しい
うら恥ずかしい
うら悲しい
うら淋しい
うら若い
うるさ型
うろ抜く
うろ覚え
うわ言
えも言われぬ
おが屑
おしら様
おちょぼ口
おぶい紐
おみ足
おろ抜き
おん出る
お七夜
お三時
お上りさん
お上手
お下
お下がり
お下げ
お下地
お世話
お世辞
お主
お互い様
お人好し
お仕着せ
お付
お代
お代り
お代わり
お休み
お伴
お伽
お伽噺
お作り
お使い物
お使い立て
お供
お供え
お俠
お偉方
お側
お先
お先棒
お八つ
お冠
お冷
お冷や
お出で
お出でお出で
お出でる
お出まし
お初
お初穂
お勉め品
お勤め品
お化け
お取り膳
お古
お召し替え
お呼ばれ
お呼び立て
お喋り
お土砂
お声掛かり
お声掛り
お壺口
お多福
お多福豆
お多福風
お多福風邪
お大事に
お天気
お太鼓
お好み焼
お好み焼き
お姫様
お婆さん
お嬢様
お宅
お守
お守り
お安い
お定まり
お宝
お宮
お寒い
お山
お巡り
お平
お平ら
お年玉
お店者
お座
お座なり
お座付
お引き摺り
お引摺り
お役所仕事
お待たせ
お待ち遠様
お待遠様
お忍び
お情
お情け
お慰み
お手の物
お手の筋
お手上げ
お手付き
お手付け
お手前
お手柔らかに
お手玉
お手盛
お手盛り
お払い箱
お披露目
お抱え
お持たせ
お捻り
お握り
お新香
お日様
お早う
お昼
お札
お株
お櫃
お次
お歴歴
お母さん
お決まり
お決り
お河童
お洒落
お流れ
お浚い
お湿り
お漏らし
お澄し
お澄まし
お為ごかし
お為筋
お為顔
お焦げ
お父さん
お爺さん
お猪口
お玉
お玉杓子
お産
お目ざ
お目に掛かる
お目に掛る
お目もじ
お目玉
お眼鏡
お祖母さん
お祖父さん
お祭り騒ぎ
お祭騒ぎ
お福分け
お移り
お稲荷さん
お立ち
お立ち会い
お立ち台
お立ち合い
お立会
お立合
お笑い
お節
お節介
お粗末
お納戸色
お結び
お絞り
お練り
お腰
お膝下
お膝突
お膳立て
お花
お花畑
お花畠
お茶
お茶の子
お茶子
お茶挽
お茶挽き
お茶目
お茶請け
お荷物
お菜
お萩
お蔵
お薄
お蚕
お蚕ぐるみ
お裾分け
お見え
お見逸れ
お詫
お詫び
お調子者
お貰い
お賓頭盧
お越し
お足
お転婆
お辞儀
お返し
お通し
お通じ
お通夜
お運び
お遣い物
お邪魔虫
お酌
お釈迦
お釈迦様
お里
お針
お針子
お釣
お釣り
お鉢
お銭
お鍋
お鏡
お門多い
お門違い
お開き
お陀仏
お隠れ
お雛様
お零れ
お預け
お高く
